"ETAPA \ GENERADOR","MAJES","CARPAPATA","REPARTICION","PARAMONGA","HUAYCOLORO","LA JOYA","STACRUZ12","HUASAHUASI","RONCADOR","PURMACANA","NIMPERIAL","MAPLE","TACNASOLAR","PANAMERICANASOLAR","PIZARRAS","PIAS","POECHOS2","PE TALARA","PE CUPISNIQUE","ELOR","CURUMUY","POECHOS1","CANCHAYLLO","CHANCAY","RUCUY","RUNATULLOII","RUNATULLOIII","LAGRINGAV","MOQUEGUASOLAR","PQEEOLICOMARCONA","PQEEOLICO3HERMANAS","YANAPAMPA","TABLAZO","POTRERO","CH MARANON","CS RUBI","YARUCAYA","INTIPAMPA","CHHER1","CHANGELI","CHANGELII","CHANGELIII","CTB DONA CATALINA","WAYRAI","CHZANA","8AGOSTO","EL CARMEN","CT CANA BRAVA","CT SAN JACINTO","CH MANTA","CTB CALLAO","HUAMBOS","DUNA","CT TALLANCA","SANTA ROSA 1","SANTA ROSA 2","CSF YARUCAYA","TUPURI","CE PUNTA LOMITASBL1","CE PUNTA LOMITASBL2","PTALOMITASEXPBL1","PTALOMITASEXPBL2","CSCLEMESI","PE SAN JUAN","WAYRAEXP","CS CARHUAQUERO","CH HUALLIN","CS MATARANI","CS SAN MARTIN","CTAGROOLMOS","CSSUNNY","CTCASAGRANDETV1","CTCASAGRANDETV3"
1.00,0.00,17.67,0.00,14.00,1.45,7.30,5.80,6.30,2.10,0.40,3.30,20.00,0.00,0.00,18.05,0.00,0.00,15.53,39.54,7.90,0.00,4.80,2.50,18.15,14.63,17.56,19.51,1.40,0.00,8.34,20.79,2.20,27.00,19.51,18.05,0.00,18.05,0.00,0.60,19.51,19.51,19.51,2.40,12.00,12.88,13.66,3.00,10.80,8.77,9.80,2.40,1.74,1.26,18.00,0.00,0.00,0.00,1.00,44.03,59.23,0.98,1.23,0.00,44.37,9.00,0.00,2.00,0.00,0.00,11.00,0.00,0.00,22.40
2.00,0.00,17.67,0.00,14.00,1.45,7.30,5.80,6.30,2.10,0.40,3.30,20.00,0.00,0.00,18.05,0.00,0.00,15.53,39.54,7.90,0.00,4.80,2.50,18.15,14.63,17.56,19.51,1.40,0.00,8.34,20.79,2.20,27.00,19.51,18.05,0.00,18.05,0.00,0.60,19.51,19.51,19.51,2.40,9.00,12.88,13.66,3.00,10.80,8.77,9.80,2.40,1.74,1.26,18.00,0.00,0.00,0.00,1.00,44.03,59.23,0.98,1.23,0.00,41.75,6.00,0.00,2.00,0.00,0.00,11.00,0.00,0.00,22.40
3.00,0.00,17.03,0.00,14.00,1.45,7.30,5.80,6.30,2.10,0.40,3.30,20.00,0.00,0.00,18.05,0.00,0.00,16.17,39.89,7.90,0.00,4.80,2.50,18.15,14.63,17.56,19.51,1.40,0.00,7.28,17.95,2.20,27.00,19.51,18.05,0.00,18.05,0.00,0.60,19.51,19.51,19.51,2.40,6.00,12.88,13.66,3.00,10.80,8.77,9.80,2.40,1.37,0.91,18.00,0.00,0.00,0.00,1.00,40.73,55.39,0.77,0.98,0.00,39.14,4.00,0.00,2.00,0.00,0.00,11.00,0.00,0.00,22.40
4.00,0.00,17.02,0.00,14.00,1.45,7.30,5.80,6.30,2.10,0.40,3.30,20.00,0.00,0.00,18.05,0.00,0.00,16.54,39.70,7.90,0.00,4.80,2.50,18.15,14.63,17.56,19.51,1.40,0.00,7.17,17.27,2.20,27.00,19.51,18.05,0.00,18.05,0.00,0.60,19.51,19.51,19.51,2.40,5.00,12.88,13.66,3.00,10.80,8.77,9.80,2.40,1.22,0.83,18.00,0.00,0.00,0.00,1.00,38.25,53.47,0.69,0.89,0.00,37.51,3.00,0.00,2.00,0.00,0.00,11.00,0.00,0.00,22.40
5.00,0.00,17.04,0.00,14.00,1.45,7.30,5.80,6.30,2.10,0.40,3.30,20.00,0.00,0.00,18.05,0.00,0.00,16.90,39.39,7.90,0.00,4.80,2.50,18.15,14.63,17.56,19.51,1.40,0.00,7.02,16.60,2.20,27.00,19.51,18.05,0.00,18.05,0.00,0.60,19.51,19.51,19.51,2.40,4.00,12.88,13.66,3.00,10.80,8.77,9.80,2.40,1.09,0.75,18.00,0.00,0.00,0.00,1.00,35.52,51.37,0.62,0.79,0.00,35.88,2.00,0.00,2.00,0.00,0.00,11.00,0.00,0.00,22.40
6.00,0.00,15.66,0.00,14.00,1.45,7.30,5.80,6.30,2.10,0.40,3.30,20.00,0.00,0.00,18.05,0.00,0.00,17.23,38.73,7.90,0.00,4.80,2.50,18.15,14.63,17.56,19.51,1.40,0.00,6.73,15.95,2.20,27.00,19.51,18.05,0.00,18.05,0.00,0.60,19.51,19.51,19.51,2.40,3.00,12.88,13.66,3.00,10.80,8.77,9.80,2.40,1.01,0.68,18.00,0.00,0.00,0.00,1.00,32.01,48.76,0.58,0.67,0.00,35.52,2.00,0.00,2.00,0.00,0.00,11.00,0.00,0.00,22.40
7.00,0.00,15.39,0.00,14.00,1.45,7.30,5.80,6.30,2.10,0.40,3.30,20.00,0.00,0.00,18.05,0.00,0.00,17.78,38.35,7.90,0.00,4.80,2.50,18.15,14.63,17.56,19.51,1.40,0.00,6.50,15.42,2.20,27.00,19.51,18.05,0.00,18.05,0.00,0.60,19.51,19.51,19.51,2.40,3.00,12.88,13.66,3.00,10.80,8.77,9.80,2.40,0.94,0.60,18.00,0.00,0.00,0.00,1.00,28.90,47.09,0.56,0.58,0.00,35.16,2.00,0.00,2.00,0.00,0.00,11.00,0.00,0.00,22.40
8.00,0.00,14.91,0.00,14.00,1.45,7.30,5.80,6.30,2.10,0.40,3.30,20.00,0.00,0.00,18.05,0.00,0.00,18.98,38.85,8.00,0.00,4.80,2.50,18.15,14.63,17.56,19.51,1.40,0.00,6.44,15.23,2.20,27.00,19.51,18.05,0.00,18.05,0.00,0.60,19.51,19.51,19.51,2.40,4.00,12.88,13.66,3.00,10.80,8.77,9.80,2.40,0.88,0.52,18.00,0.00,0.00,0.00,1.00,27.02,48.25,0.58,0.58,0.00,35.21,2.00,0.00,2.00,0.00,0.00,11.00,0.00,0.00,22.40
9.00,0.00,14.62,0.00,14.00,1.45,7.30,5.80,6.30,2.10,0.40,3.30,20.00,0.00,0.00,18.05,0.00,0.00,19.96,38.81,7.90,0.00,4.80,2.50,18.15,14.63,17.56,19.51,1.40,0.00,6.46,15.22,2.20,27.00,19.51,18.05,0.00,18.05,0.00,0.60,19.51,19.51,19.51,2.40,6.00,12.88,13.66,3.00,10.80,8.77,9.80,2.40,0.80,0.43,18.00,0.00,0.00,0.00,1.00,25.32,49.59,0.61,0.63,0.00,35.25,4.00,0.00,2.00,0.00,0.00,11.00,0.00,0.00,22.40
10.00,0.00,13.59,0.00,14.00,1.45,7.30,5.80,6.30,2.10,0.40,3.30,20.00,0.00,0.00,18.05,0.00,0.00,20.27,37.12,7.90,0.00,4.80,2.50,18.15,14.63,17.56,19.51,1.40,0.00,6.73,15.74,2.20,27.00,19.51,18.05,0.00,18.05,0.00,0.60,19.51,19.51,19.51,2.40,9.00,12.88,13.66,3.00,10.80,8.77,9.80,2.40,0.63,0.33,18.00,0.00,0.00,0.00,1.00,24.16,51.48,0.69,0.80,0.00,35.60,6.00,0.00,2.00,0.00,0.00,11.00,0.00,0.00,22.40
