"ETAPA \ GENERADOR","MAJES","CARPAPATA","REPARTICION","PARAMONGA","HUAYCOLORO","LA JOYA","STACRUZ12","HUASAHUASI","RONCADOR","PURMACANA","NIMPERIAL","MAPLE","TACNASOLAR","PANAMERICANASOLAR","PIZARRAS","PIAS","POECHOS2","PE TALARA","PE CUPISNIQUE","ELOR","CURUMUY","POECHOS1","CANCHAYLLO","CHANCAY","RUCUY","RUNATULLOII","RUNATULLOIII","LAGRINGAV","MOQUEGUASOLAR","PQEEOLICOMARCONA","PQEEOLICO3HERMANAS","YANAPAMPA","TABLAZO","POTRERO","CH MARANON","CS RUBI","YARUCAYA","INTIPAMPA","CHHER1","CHANGELI","CHANGELII","CHANGELIII","CTB DONA CATALINA","WAYRAI","CHZANA","8AGOSTO","RENOVANDESH1","EL CARMEN","CT CANA BRAVA","CT SAN JACINTO","CH MANTA","CTB CALLAO","HUAMBOS","DUNA","CT TALLANCA","CSF YARUCAYA","TUPURI","CE PUNTA LOMITASBL1","CE PUNTA LOMITASBL2","PTALOMITASEXPBL1","PTALOMITASEXPBL2","CSCLEMESI","PE SAN JUAN","WAYRAEXP","CS CARHUAQUERO","CH HUALLIN","CS MATARANI","CS SAN MARTIN"
1.00,0.00,23.93,0.00,14.00,4.20,8.30,9.70,17.95,0.00,0.00,3.50,0.00,0.00,0.00,17.56,0.00,7.80,9.71,23.42,0.00,10.00,14.54,5.00,19.32,19.32,19.51,19.51,0.00,0.00,18.53,44.18,3.20,0.00,19.51,19.32,0.00,9.20,0.00,0.60,20.00,19.51,19.51,2.40,29.00,12.88,19.51,19.51,7.00,0.00,0.00,17.56,2.40,0.46,0.70,9.00,0.00,1.00,19.08,34.56,1.29,1.12,0.00,47.80,29.89,0.00,2.00,0.00,0.00
2.00,0.00,23.83,0.00,14.00,4.20,8.30,9.70,17.95,0.00,0.00,3.50,0.00,0.00,0.00,17.56,0.00,7.80,9.47,23.47,0.00,10.00,14.54,5.00,19.32,19.32,19.51,19.51,0.00,0.00,18.54,45.61,3.20,0.00,19.51,19.32,0.00,9.20,0.00,0.60,20.00,19.51,19.51,2.40,36.00,12.88,19.51,19.51,7.00,0.00,0.00,17.56,2.40,0.51,0.82,9.00,0.00,1.00,19.46,34.57,1.24,1.02,0.00,49.61,24.22,0.00,2.00,0.00,0.00
3.00,0.00,24.02,0.00,14.00,4.20,8.30,9.70,17.95,0.00,0.00,3.50,0.00,0.00,0.00,17.56,0.00,7.80,9.87,22.71,0.00,10.00,14.54,5.00,19.32,19.32,19.51,19.51,0.00,0.00,18.56,46.47,3.20,0.00,19.51,19.32,0.00,9.20,0.00,0.60,20.00,19.51,19.51,2.40,39.00,12.88,19.51,19.51,7.00,0.00,0.00,17.56,2.40,0.55,0.92,9.00,0.00,1.00,23.28,38.09,1.26,0.98,0.00,55.37,27.87,0.00,2.00,0.00,0.00
4.00,0.00,23.96,0.00,14.00,4.20,8.30,9.70,17.95,0.00,0.00,3.50,0.00,0.00,0.00,17.56,0.00,7.80,10.48,21.68,0.00,10.00,14.54,5.00,19.32,19.32,19.51,19.51,0.00,0.00,18.60,46.66,3.20,0.00,19.51,19.32,0.00,9.20,0.00,0.60,20.00,19.51,19.51,2.40,40.00,12.88,19.51,19.51,7.00,0.00,0.00,17.56,2.40,0.59,1.02,9.00,0.00,1.00,26.06,40.52,1.29,0.96,0.00,57.71,30.26,0.00,2.00,0.00,0.00
5.00,0.00,24.08,0.00,14.00,4.20,8.30,9.70,17.95,0.00,0.00,3.50,0.00,0.00,0.00,17.56,0.00,7.80,11.35,21.02,0.00,10.00,14.54,5.00,19.32,19.32,19.51,19.51,0.00,0.00,18.58,44.81,3.20,0.00,19.51,19.32,0.00,9.20,0.00,0.60,20.00,19.51,19.51,2.40,34.00,12.88,19.51,19.51,7.00,0.00,0.00,17.56,2.40,0.61,1.04,9.00,0.00,1.00,25.81,39.71,1.34,0.97,0.00,58.67,28.91,0.00,2.00,0.00,0.00
6.00,0.00,23.85,0.00,14.00,4.20,8.30,9.70,17.95,0.00,0.00,3.50,0.00,0.00,0.00,17.56,0.00,7.80,12.31,20.50,0.00,10.00,14.54,5.00,19.32,19.32,19.51,19.51,0.00,0.00,18.49,43.09,3.20,0.00,19.51,19.32,0.00,9.20,0.00,0.60,20.00,19.51,19.51,2.40,29.00,12.88,19.51,19.51,7.00,0.00,0.00,17.56,2.40,0.62,1.05,9.00,0.00,1.00,24.87,38.06,1.38,0.99,0.00,64.46,27.39,0.00,2.00,0.00,0.00
7.00,0.00,23.65,0.00,14.00,4.20,8.30,9.70,17.95,0.00,0.00,3.50,0.00,0.00,0.00,17.56,0.00,7.80,12.69,19.96,0.00,10.00,14.54,5.00,19.32,19.32,19.51,19.51,0.00,0.00,18.55,41.76,3.20,0.00,19.51,19.32,0.00,9.20,0.00,0.60,20.00,19.51,19.51,2.40,26.00,12.88,19.51,19.51,7.00,0.00,0.00,17.56,2.40,0.62,1.07,9.00,0.00,1.00,21.92,33.89,1.30,0.93,0.00,69.70,25.39,0.00,2.00,0.00,0.00
8.00,0.00,23.62,0.03,14.00,4.20,8.30,9.70,17.95,0.00,0.00,3.50,0.00,0.12,1.13,17.56,0.00,7.80,12.88,19.41,8.10,10.00,14.54,5.00,19.32,19.32,19.51,19.51,0.00,1.16,18.75,40.14,3.20,0.00,19.51,19.32,1.63,9.20,0.38,0.60,20.00,19.51,19.51,2.40,22.00,12.88,19.51,19.51,7.00,0.00,0.00,17.56,2.40,0.62,1.09,9.00,0.00,1.00,19.00,29.95,1.18,0.84,1.15,69.05,23.53,0.00,2.00,1.23,0.00
9.00,0.48,23.92,0.78,14.00,4.20,8.30,9.70,17.95,0.00,0.00,3.50,0.00,0.39,6.40,17.56,0.00,7.80,12.44,19.07,8.10,10.00,14.54,5.00,19.32,19.32,19.51,19.51,0.00,6.19,18.83,37.51,3.20,0.00,19.51,19.32,24.39,9.20,5.20,0.60,20.00,19.51,19.51,2.40,19.00,12.88,19.51,19.51,7.00,0.00,0.00,17.56,2.40,0.64,1.16,9.00,0.03,1.00,16.33,26.74,1.03,0.75,17.18,65.49,22.13,0.00,2.00,10.71,0.90
10.00,2.83,12.21,3.08,14.00,4.20,8.30,9.70,17.95,0.00,0.00,3.50,0.00,12.17,12.26,17.56,0.00,7.80,11.80,18.79,8.10,10.00,14.54,5.00,19.32,19.32,19.51,19.51,0.00,10.69,18.78,35.53,3.20,0.00,19.51,19.32,71.33,9.20,15.41,0.60,20.00,19.51,19.51,2.40,16.00,12.88,19.51,19.51,7.00,0.00,0.00,17.56,2.40,0.66,1.25,9.00,0.06,1.00,13.21,23.16,0.86,0.65,53.96,61.85,20.77,0.00,2.00,27.88,3.69
