"ETAPA \ GENERADOR","MAJES","CARPAPATA","REPARTICION","PARAMONGA","HUAYCOLORO","LA JOYA","STACRUZ12","HUASAHUASI","RONCADOR","PURMACANA","NIMPERIAL","MAPLE","TACNASOLAR","PANAMERICANASOLAR","PIZARRAS","PIAS","POECHOS2","PE TALARA","PE CUPISNIQUE","ELOR","CURUMUY","POECHOS1","CANCHAYLLO","CHANCAY","RUCUY","RUNATULLOII","RUNATULLOIII","LAGRINGAV","MOQUEGUASOLAR","PQEEOLICOMARCONA","PQEEOLICO3HERMANAS","YANAPAMPA","TABLAZO","POTRERO","CH MARANON","CS RUBI","YARUCAYA","INTIPAMPA","CHHER1","CHANGELI","CHANGELII","CHANGELIII","CTB DONA CATALINA","WAYRAI","CHZANA","8AGOSTO","EL CARMEN","CT CANA BRAVA","CT SAN JACINTO","CH MANTA","CTB CALLAO","HUAMBOS","DUNA","CT TALLANCA","SANTA ROSA 1","SANTA ROSA 2","CSF YARUCAYA","TUPURI","CE PUNTA LOMITASBL1","CE PUNTA LOMITASBL2","PTALOMITASEXPBL1","PTALOMITASEXPBL2","CSCLEMESI","PE SAN JUAN","WAYRAEXP","CS CARHUAQUERO","CH HUALLIN","CS MATARANI","CS SAN MARTIN","CTAGROOLMOS","CSSUNNY","CASAGRANDE","CSCOENERGY","CSEXPANSIONINTIPAMPA"
12.00,11.19,23.66,11.71,14.00,4.20,7.90,7.20,12.00,3.50,0.40,3.40,19.00,16.81,17.11,15.55,0.00,6.80,12.12,60.92,0.00,5.50,8.60,4.20,18.46,18.46,19.44,19.44,1.45,14.42,25.37,81.56,3.35,28.12,19.44,18.46,123.00,17.88,38.09,0.60,19.44,19.44,19.44,0.00,119.00,8.00,19.44,5.00,9.00,7.23,14.58,2.40,2.74,2.62,18.00,0.00,0.00,0.65,1.23,64.80,84.70,11.12,9.36,88.56,111.02,118.00,0.10,2.00,78.54,252.25,11.00,201.45,22.00,0.33,43.00
13.00,9.73,23.76,10.08,14.00,4.20,7.90,7.20,12.00,3.50,0.40,3.40,19.00,14.99,16.57,15.55,0.00,6.80,12.20,60.00,0.00,5.50,8.60,4.20,18.46,18.46,19.44,19.44,1.45,13.96,25.30,81.30,3.35,28.12,19.44,18.46,116.00,17.88,36.96,0.60,19.44,19.44,19.44,0.00,122.00,8.00,19.44,5.00,9.00,7.23,14.58,2.40,2.52,2.23,18.00,0.00,0.00,0.54,1.23,64.50,85.50,10.93,9.27,83.52,110.59,122.00,0.10,2.00,77.52,252.00,11.00,195.10,22.00,0.28,41.96
14.00,7.93,23.69,5.68,14.00,4.20,7.90,7.20,12.00,3.50,0.40,3.40,19.00,12.34,15.76,15.55,0.00,6.80,12.39,59.52,0.00,5.50,8.60,4.20,18.46,18.46,19.44,19.44,1.45,13.34,24.82,80.83,3.35,28.12,19.44,18.46,108.00,17.88,34.27,0.60,19.44,19.44,19.44,0.00,125.00,8.00,19.44,5.00,9.00,7.23,14.58,2.40,2.94,2.73,18.00,0.00,0.00,0.39,1.23,64.80,84.00,10.37,8.83,77.76,109.79,122.00,0.10,2.00,75.49,251.35,11.00,182.28,22.00,0.24,37.74
15.00,5.25,23.70,0.80,14.00,4.20,7.90,7.20,12.00,3.50,0.40,3.40,19.00,8.92,14.49,15.55,0.00,6.80,12.45,58.53,0.00,5.50,8.60,4.20,18.46,18.46,19.44,19.44,1.45,12.31,24.40,80.21,3.35,28.12,19.44,18.46,92.00,17.88,29.77,0.60,19.44,19.44,19.44,0.00,127.00,8.00,19.44,5.00,9.00,7.23,14.58,2.40,3.26,3.04,18.00,0.00,0.00,0.34,1.23,64.20,82.50,9.77,8.36,66.24,108.92,122.00,0.10,2.00,67.39,246.30,11.00,160.95,22.00,0.19,33.53
16.00,2.64,23.68,0.02,14.00,4.20,7.90,7.20,12.00,3.50,0.40,3.40,19.00,2.72,12.05,15.55,0.00,6.80,12.16,56.05,0.00,5.50,8.60,4.20,18.46,18.46,19.44,19.44,1.45,9.83,24.16,79.14,3.35,28.12,19.44,18.46,69.00,17.88,20.55,0.60,19.44,19.44,19.44,0.00,128.00,8.00,19.44,5.00,9.00,7.23,14.58,2.40,3.27,2.77,18.00,0.00,0.00,0.24,1.23,67.30,81.30,9.05,7.80,49.68,107.83,121.00,0.00,2.00,44.02,187.45,11.00,126.31,22.00,0.13,24.90
17.00,1.21,23.68,0.00,14.00,4.20,7.90,7.20,12.00,3.50,0.40,3.40,19.00,0.05,7.33,15.55,0.00,6.80,11.93,53.58,0.00,5.50,8.60,4.20,18.46,18.46,19.44,19.44,1.45,5.17,23.94,78.05,3.35,28.12,19.44,18.46,43.00,17.88,9.40,0.60,19.44,19.44,19.44,0.00,129.00,8.00,19.44,5.00,9.00,7.23,14.58,2.40,3.19,2.48,18.00,0.00,0.00,0.08,1.23,66.80,80.10,8.22,7.12,30.96,106.73,119.00,0.00,2.00,20.30,86.38,11.00,75.17,22.00,0.09,16.27
18.00,0.41,23.65,0.00,14.00,4.20,7.90,7.20,12.00,3.50,0.40,3.40,19.00,0.00,3.24,15.55,0.00,6.80,11.86,51.14,0.00,5.50,15.55,4.20,18.46,18.46,19.44,19.44,1.45,1.35,23.76,76.94,3.35,28.12,19.44,18.46,16.00,17.88,3.08,0.60,19.44,19.44,19.44,0.00,129.00,8.00,19.44,5.00,9.00,7.23,14.58,2.40,2.84,2.13,18.00,0.00,0.00,0.04,1.23,65.80,79.20,7.02,6.09,11.52,105.63,117.00,0.00,2.00,6.57,21.41,11.00,25.59,22.00,0.04,8.53
19.00,0.11,23.64,0.00,14.00,4.20,7.90,7.20,12.00,3.50,0.40,3.40,19.00,0.00,0.87,15.55,0.00,6.80,11.45,48.93,4.60,5.50,15.55,4.20,18.46,18.46,19.44,19.44,1.45,0.19,23.43,75.00,3.35,28.12,19.44,18.46,1.00,17.88,0.57,0.60,19.44,19.44,19.44,0.00,128.00,8.00,19.44,5.00,9.00,7.23,14.58,2.40,2.50,1.73,18.00,0.00,0.00,0.00,1.23,65.20,78.30,5.97,5.13,0.72,104.24,111.00,0.00,2.00,1.21,4.95,11.00,3.51,22.00,0.00,0.79
20.00,0.00,23.79,0.00,14.00,4.20,7.90,7.20,12.00,3.50,0.40,3.40,19.00,0.00,0.00,15.55,0.00,6.80,9.97,47.47,7.30,5.50,15.55,4.20,18.46,18.46,19.44,19.44,1.45,0.00,22.67,70.58,3.35,28.12,19.44,18.46,0.00,17.88,0.00,0.60,19.44,19.44,19.44,0.00,126.00,8.00,19.44,5.00,9.00,7.23,14.58,2.40,2.19,1.20,18.00,0.00,0.00,0.00,1.23,62.90,77.00,5.36,4.35,0.00,101.96,101.00,0.00,2.00,0.00,0.00,11.00,0.00,22.00,0.00,0.39
21.00,0.00,23.65,0.00,14.00,4.20,7.90,7.20,12.00,3.50,0.40,3.40,19.00,0.00,0.00,15.55,0.00,6.80,8.61,45.97,7.40,5.50,15.55,4.20,18.46,18.46,19.44,19.44,1.45,0.00,21.89,66.11,3.35,28.12,19.44,18.46,0.00,17.88,0.00,0.60,19.44,19.44,19.44,0.00,121.00,8.00,19.44,5.00,9.00,7.23,14.58,2.40,1.87,0.82,18.00,0.00,0.00,0.00,1.23,61.70,76.60,4.89,3.74,0.00,99.57,91.00,0.00,2.00,0.00,0.00,11.00,0.00,22.00,0.00,0.00
22.00,0.00,23.65,0.00,14.00,4.20,7.90,7.20,12.00,3.50,0.40,3.40,19.00,0.00,0.00,15.55,0.00,6.80,8.11,43.16,7.40,5.50,15.55,4.20,18.46,18.46,19.44,19.44,1.45,0.00,21.08,61.52,3.35,28.12,19.44,18.46,0.00,17.88,0.00,0.60,19.44,19.44,19.44,0.00,112.00,8.00,19.44,5.00,9.00,7.23,14.58,2.40,1.55,0.87,18.00,0.00,0.00,0.00,1.23,63.70,78.80,4.86,3.59,0.00,96.84,78.00,0.00,2.00,0.00,0.00,11.00,0.00,22.00,0.00,0.00
23.00,0.00,23.77,0.00,14.00,4.20,7.90,7.20,12.00,3.50,0.40,3.40,19.00,0.00,0.00,15.55,0.00,6.80,7.97,39.81,7.40,5.50,15.55,4.20,18.46,18.46,19.44,19.44,1.45,0.00,20.08,56.70,3.35,28.12,19.44,18.46,0.00,17.88,0.00,0.60,19.44,19.44,19.44,0.00,99.00,8.00,19.44,5.00,9.00,7.23,14.58,2.40,1.26,0.93,18.00,0.00,0.00,0.00,1.23,65.30,80.60,4.79,3.41,0.00,92.63,66.00,0.00,2.00,0.00,0.00,11.00,0.00,22.00,0.00,0.00
24.00,0.00,23.69,0.00,14.00,4.20,7.90,7.20,12.00,3.50,0.40,3.40,19.00,0.00,0.00,15.55,0.00,6.80,8.46,35.88,7.50,5.50,15.55,4.20,18.46,18.46,19.44,19.44,1.45,0.00,18.49,51.20,3.35,28.12,19.44,18.46,0.00,17.88,0.00,0.60,19.44,19.44,19.44,0.00,81.00,8.00,19.44,5.00,9.00,7.23,14.58,2.40,1.05,1.06,18.00,0.00,0.00,0.00,1.23,65.30,81.40,4.59,3.13,0.00,84.02,55.00,0.00,2.00,0.00,0.00,11.00,0.00,22.00,0.00,0.00
25.00,0.00,23.57,0.00,14.00,4.20,7.90,7.20,12.00,3.50,0.40,3.40,19.00,0.00,0.00,15.55,0.00,6.80,8.84,31.96,6.90,5.50,15.55,4.20,18.46,18.46,19.44,19.44,1.45,0.00,16.80,45.48,3.35,28.12,19.44,18.46,0.00,17.88,0.00,0.60,19.44,19.44,19.44,0.00,67.00,8.00,19.44,5.00,9.00,7.23,14.58,2.40,0.88,1.19,18.00,0.00,0.00,0.00,1.23,64.80,81.70,4.25,2.78,0.00,76.58,44.00,0.00,2.00,0.00,0.00,11.00,0.00,22.00,0.00,0.00
26.00,0.00,23.97,0.00,14.00,4.20,7.90,7.20,12.00,3.50,0.40,3.40,19.00,0.00,0.00,15.55,0.00,6.80,8.91,28.10,5.60,5.50,15.55,4.20,18.46,18.46,19.44,19.44,1.45,0.00,14.76,39.12,3.35,28.12,19.44,18.46,0.00,17.88,0.00,0.60,19.44,19.44,19.44,0.00,55.00,8.00,19.44,5.00,9.00,7.23,14.58,2.40,0.76,1.33,18.00,0.00,0.00,0.00,1.23,62.60,80.10,3.51,2.20,0.00,72.67,34.00,0.00,2.00,0.00,0.00,11.00,0.00,22.00,0.00,0.00
27.00,0.00,23.64,0.00,14.00,4.20,7.90,7.20,12.00,3.50,0.40,3.40,19.00,0.00,0.00,15.55,0.00,6.80,9.04,24.57,2.50,5.50,15.55,4.20,18.46,18.46,19.44,19.44,1.45,0.00,12.79,33.18,3.35,28.12,19.44,18.46,0.00,17.88,0.00,0.60,19.44,19.44,19.44,0.00,44.00,8.00,19.44,5.00,9.00,7.23,14.58,2.40,0.71,1.40,18.00,0.00,0.00,0.00,1.23,61.30,78.90,2.81,1.67,0.00,68.31,25.00,0.00,2.00,0.00,0.00,11.00,0.00,22.00,0.00,0.00
28.00,0.00,23.83,0.00,14.00,4.20,7.90,7.20,12.00,3.50,0.40,3.40,19.00,0.00,0.00,15.55,0.00,6.80,9.35,22.06,0.00,5.50,15.55,4.20,18.46,18.46,19.44,19.44,1.45,0.00,10.96,28.48,3.35,28.12,19.44,18.46,0.00,17.88,0.00,0.60,19.44,19.44,19.44,0.00,35.00,8.00,19.44,5.00,9.00,7.23,14.58,2.40,0.81,1.25,18.00,0.00,0.00,0.00,1.23,62.50,79.00,2.22,1.26,0.00,62.57,16.00,0.00,2.00,0.00,0.00,11.00,0.00,22.00,0.00,0.00
29.00,0.00,23.70,0.00,14.00,4.20,7.90,7.20,12.00,3.50,0.40,3.40,19.00,0.00,0.00,15.55,0.00,6.80,9.66,19.83,0.00,5.50,15.55,4.20,18.46,18.46,19.44,19.44,1.45,0.00,9.41,24.49,3.35,28.12,19.44,18.46,0.00,17.88,0.00,0.60,19.44,19.44,19.44,0.00,27.00,8.00,19.44,5.00,9.00,7.23,14.58,2.40,0.91,1.09,18.00,0.00,0.00,0.00,1.23,63.10,78.70,1.65,0.90,0.00,57.00,11.00,0.00,2.00,0.00,0.00,11.00,0.00,22.00,0.00,0.00
30.00,0.00,23.67,0.00,14.00,4.20,7.90,7.20,12.00,3.50,0.40,3.40,19.00,0.00,0.00,15.55,0.00,6.80,10.01,18.43,0.00,5.50,15.55,4.20,18.46,18.46,19.44,19.44,1.45,0.00,8.67,22.64,3.35,28.12,19.44,18.46,0.00,17.88,0.00,0.60,19.44,19.44,19.44,0.00,20.00,8.00,19.44,5.00,9.00,7.23,14.58,2.40,0.98,0.94,18.00,0.00,0.00,0.00,1.23,61.50,77.20,1.15,0.66,0.00,51.93,9.00,0.00,2.00,0.00,0.00,11.00,0.00,22.00,0.00,0.00
