"ETAPA \ GENERADOR","MAJES","CARPAPATA","REPARTICION","PARAMONGA","HUAYCOLORO","LA JOYA","STACRUZ12","HUASAHUASI","RONCADOR","PURMACANA","NIMPERIAL","MAPLE","TACNASOLAR","PANAMERICANASOLAR","PIZARRAS","POECHOS2","PE TALARA","PE CUPISNIQUE","ELOR","CURUMUY","POECHOS1","CANCHAYLLO","CHANCAY","RUCUY","RUNATULLOII","RUNATULLOIII","LAGRINGAV","MOQUEGUASOLAR","PQEEOLICOMARCONA","PQEEOLICO3HERMANAS","YANAPAMPA","TABLAZO","POTRERO","CH MARANON","CS RUBI","YARUCAYA","INTIPAMPA","CHHER1","CHANGELI","CHANGELII","CHANGELIII","CTB DONA CATALINA","WAYRAI","CHZANA","8AGOSTO","EL CARMEN","CT CANA BRAVA","CT SAN JACINTO","CH MANTA","CTB CALLAO","HUAMBOS","DUNA","CT TALLANCA","CSF YARUCAYA","TUPURI","CE PUNTA LOMITASBL1","CE PUNTA LOMITASBL2","PTALOMITASEXPBL1","PTALOMITASEXPBL2","CSCLEMESI","PE SAN JUAN","WAYRAEXP","CS CARHUAQUERO","CH HUALLIN","CS MATARANI","CS SAN MARTIN","CTAGROOLMOS","CSSUNNY","CASAGRANDE","CSCOENERGY","CSEXPANSIONINTIPAMPA","CSSUNNYEXPANSION","CSWAYRASOLAR"
1.00,15.73,18.76,15.57,13.53,1.40,7.30,4.00,9.00,1.20,0.00,3.50,15.46,12.76,16.25,3.10,7.20,19.85,6.26,8.00,5.10,6.90,5.00,18.74,9.70,5.00,7.00,2.80,12.58,2.59,7.54,0.00,26.60,3.20,10.90,112.00,9.20,29.27,0.60,8.00,8.00,8.00,2.30,5.36,4.90,16.00,4.00,10.43,7.62,3.40,2.30,15.70,15.34,9.50,1.21,0.37,17.18,19.69,1.53,1.81,80.64,13.24,5.60,0.10,1.34,78.71,226.60,10.63,171.34,12.14,0.38,37.65,87.41,12.57
2.00,15.71,19.00,15.67,13.53,1.40,7.30,4.00,9.00,1.20,0.00,3.50,15.46,13.19,16.32,3.10,7.20,20.18,12.51,8.00,5.10,6.90,5.00,18.74,9.70,5.00,7.00,2.80,12.67,3.04,7.66,0.00,26.40,3.20,10.91,112.00,9.20,29.29,0.60,8.00,8.00,8.00,2.30,10.73,4.90,16.00,4.00,10.43,7.62,3.40,2.30,15.93,15.37,9.50,1.23,0.37,20.71,21.39,2.84,2.04,80.64,14.24,11.21,0.10,1.34,79.71,228.07,10.63,169.76,12.14,0.39,37.55,85.61,12.68
3.00,15.60,18.64,15.48,13.53,1.40,7.30,4.00,9.00,1.20,0.00,3.50,15.46,13.37,16.44,3.10,7.20,21.42,17.20,4.50,5.10,6.90,5.00,18.74,9.70,5.00,7.00,2.80,12.76,3.63,6.10,0.00,26.20,3.20,10.93,112.00,9.20,29.35,0.60,8.00,8.00,8.00,2.30,20.09,4.90,16.00,4.00,10.43,7.62,3.40,2.30,16.05,15.43,9.50,1.22,0.37,24.35,23.29,2.73,2.61,80.64,16.18,10.72,0.10,1.32,79.30,229.35,10.63,167.55,12.14,0.39,37.57,83.51,12.78
4.00,14.03,18.63,14.49,13.53,1.40,7.30,4.00,9.00,1.20,0.00,3.50,15.46,13.34,16.57,3.10,7.20,22.67,21.88,3.70,5.10,6.90,5.00,18.74,9.70,5.00,7.00,2.80,12.83,4.21,4.53,0.00,26.00,3.20,10.95,113.00,9.20,29.55,0.60,8.00,8.00,8.00,2.30,29.47,4.90,16.00,4.00,10.43,7.62,3.40,2.30,16.07,15.46,9.50,1.22,0.37,28.00,25.19,3.06,2.91,81.36,18.12,10.23,0.10,1.32,77.51,230.76,10.63,165.36,12.14,0.40,37.82,81.50,12.85
5.00,13.59,18.37,13.82,13.53,1.40,7.30,4.00,9.00,1.20,0.00,3.50,15.46,12.05,16.65,3.10,7.20,23.78,28.88,3.70,5.10,6.90,5.00,18.74,9.70,5.00,7.00,2.80,12.93,4.80,4.38,0.00,25.80,3.20,10.96,112.00,9.20,29.59,0.60,8.00,8.00,8.00,2.30,51.19,4.90,16.00,4.00,10.43,7.62,3.40,2.30,16.32,15.45,9.50,1.22,0.37,29.41,27.93,3.45,2.81,80.64,20.23,16.10,0.00,1.31,74.39,231.63,10.63,161.43,12.14,0.41,38.07,77.57,12.90
6.00,12.72,18.56,12.87,13.53,1.40,7.30,4.00,9.00,1.20,0.00,3.50,15.46,11.45,16.71,3.10,7.20,24.88,35.87,3.70,5.10,6.90,5.00,18.74,9.70,5.00,7.00,2.80,13.01,5.38,4.21,0.00,25.80,3.20,10.97,111.00,9.20,29.76,0.60,8.00,8.00,8.00,2.30,72.93,4.90,16.00,4.00,10.43,7.62,3.40,2.30,15.90,15.02,9.50,1.03,0.37,30.82,30.68,4.57,3.07,79.92,22.33,21.96,0.00,1.33,69.83,231.21,10.63,157.90,12.14,0.41,38.30,73.46,13.00
7.00,12.05,18.34,11.80,13.53,1.40,7.30,4.00,9.00,1.20,0.00,3.50,15.46,10.41,16.76,3.10,7.20,25.55,42.32,3.60,5.10,6.90,5.00,18.74,9.70,5.00,7.00,2.80,12.99,5.96,4.16,0.00,26.10,3.20,10.98,110.00,9.20,29.59,0.60,8.00,8.00,8.00,2.30,75.47,4.90,16.00,4.00,10.43,7.62,3.40,2.30,15.94,15.05,9.50,1.00,0.37,32.66,31.33,4.69,3.25,79.20,25.12,32.96,0.00,1.35,63.67,230.12,10.63,155.40,12.14,0.41,38.09,70.68,13.39
8.00,10.00,18.36,10.00,13.53,1.40,7.30,4.00,9.00,1.20,0.00,3.50,15.46,10.08,16.71,3.10,7.20,26.23,48.77,3.60,5.10,6.90,5.00,18.74,9.70,5.00,7.00,2.80,12.87,6.54,4.11,0.00,26.70,3.20,11.00,108.00,9.20,29.15,0.60,8.00,8.00,8.00,2.30,78.01,4.90,16.00,4.00,10.43,7.62,3.40,2.30,15.88,15.10,9.50,0.93,0.37,34.51,31.96,4.94,3.20,77.76,27.90,43.97,0.00,1.38,56.04,226.07,10.63,148.69,12.14,0.41,37.84,65.43,13.13
9.00,8.98,18.22,8.45,13.53,1.40,7.30,4.00,9.00,1.20,0.00,3.50,15.46,8.17,16.47,3.10,7.20,26.66,51.38,3.60,5.10,6.90,5.00,18.74,9.70,5.00,7.00,2.80,12.53,6.97,4.81,0.00,26.30,3.20,10.97,100.00,9.20,27.82,0.60,8.00,8.00,8.00,2.30,82.01,4.90,16.00,4.00,10.43,7.62,3.40,2.30,15.70,15.11,9.50,0.78,0.38,34.47,32.20,5.41,3.47,72.00,29.96,55.86,0.00,1.36,46.95,219.63,10.63,138.03,12.14,0.38,37.83,58.41,13.00
10.00,6.02,18.06,5.85,13.53,1.40,7.30,4.00,9.00,1.20,0.00,3.50,15.46,6.30,15.80,3.10,7.20,27.10,54.01,3.60,5.10,6.90,5.00,18.74,9.70,5.00,7.00,2.80,11.72,7.42,5.51,0.00,26.50,3.20,10.98,86.00,9.20,23.15,0.60,8.00,8.00,8.00,2.30,86.00,4.90,16.00,4.00,10.43,7.62,3.40,2.30,15.59,14.85,9.50,0.57,0.38,34.43,32.43,4.38,3.57,61.92,32.03,67.74,0.00,1.38,35.45,209.66,10.63,117.19,12.14,0.33,36.21,50.55,12.61
11.00,4.81,18.01,4.06,13.53,1.40,7.30,4.00,9.00,1.20,0.00,3.50,15.46,2.58,14.15,0.00,7.20,26.91,52.82,3.60,5.10,6.90,5.00,18.74,9.70,5.00,7.00,2.80,10.21,7.08,5.00,0.00,26.90,3.20,10.97,66.00,9.20,13.83,0.60,8.00,8.00,8.00,2.30,89.13,4.90,16.00,4.00,10.43,7.62,3.40,2.30,15.41,14.86,9.50,0.49,0.37,32.28,31.76,4.78,3.62,47.52,29.66,66.00,0.00,1.41,22.27,169.64,10.63,73.17,12.14,0.25,25.98,32.47,6.70
12.00,1.55,18.15,1.45,13.53,1.40,7.30,4.00,9.00,1.20,0.00,3.50,15.46,0.56,9.00,0.00,7.20,26.71,51.64,3.60,5.10,6.90,5.00,18.74,9.70,5.00,7.00,2.80,4.96,6.76,4.49,0.00,26.90,3.20,10.95,39.00,9.20,5.57,0.60,8.00,8.00,8.00,2.30,92.24,4.90,16.00,4.00,10.43,7.62,3.40,2.30,15.67,14.95,9.50,0.34,0.37,30.14,31.10,5.39,3.49,28.08,27.29,64.26,0.00,1.43,9.92,97.33,10.63,28.70,12.14,0.16,14.72,14.16,1.57
13.00,0.85,18.15,0.48,13.53,1.40,7.30,4.00,9.00,1.20,0.00,3.50,15.46,0.04,2.67,0.00,7.20,26.28,51.44,6.40,5.10,6.90,5.00,18.74,9.70,5.00,7.00,2.80,0.95,6.64,4.69,0.00,27.20,3.20,10.95,10.00,9.20,1.10,0.60,8.00,8.00,8.00,2.30,86.70,4.90,16.00,4.00,10.43,7.62,3.40,2.30,15.39,14.95,9.50,0.12,0.40,29.68,30.54,4.78,3.12,7.20,26.74,53.91,0.00,1.46,2.62,28.55,10.63,5.31,12.14,0.06,4.46,3.39,0.89
14.00,0.00,17.60,0.00,13.53,2.80,7.30,4.00,9.00,1.20,0.00,3.50,15.46,0.00,0.10,0.00,7.20,25.85,51.23,8.00,5.10,15.46,5.00,18.74,9.70,5.00,7.00,2.80,0.05,6.53,4.91,0.00,27.40,3.20,10.96,0.00,9.20,0.00,0.60,8.00,8.00,8.00,2.30,81.15,4.90,16.00,4.00,10.43,7.62,3.40,2.30,15.38,14.94,9.50,0.06,0.41,29.23,29.97,5.59,3.29,0.00,26.19,43.55,0.00,1.48,0.00,1.01,10.63,0.00,12.14,0.03,0.00,0.00,0.86
15.00,0.00,17.81,0.00,13.53,2.80,7.30,4.00,9.00,1.20,0.00,3.50,15.46,0.00,0.00,0.00,7.20,25.10,49.03,8.00,5.10,15.46,5.00,18.74,9.70,5.00,7.00,2.80,0.00,6.55,5.41,0.00,27.70,3.20,10.95,0.00,9.20,0.00,0.60,8.00,8.00,8.00,2.30,84.15,4.90,16.00,4.00,10.43,7.62,3.40,2.30,15.52,15.07,9.50,0.00,0.41,28.68,30.57,4.83,3.36,0.00,26.39,40.98,0.00,1.57,0.00,0.00,10.63,0.00,12.14,0.00,0.00,0.00,0.18
16.00,0.00,18.71,0.00,13.53,2.80,7.30,4.00,9.00,1.20,0.00,3.50,15.46,0.00,0.00,0.00,7.20,24.36,46.82,8.00,5.10,15.46,5.00,18.74,9.70,5.00,7.00,2.80,0.00,6.56,5.92,0.00,27.80,3.20,10.96,0.00,9.20,0.00,0.60,8.00,8.00,8.00,2.30,87.15,4.90,16.00,4.00,10.43,7.62,3.40,2.30,15.17,14.84,9.50,0.00,0.42,28.14,31.16,4.94,3.10,0.00,26.60,38.42,0.00,1.66,0.00,0.00,10.63,0.00,12.14,0.00,0.00,0.00,0.00
17.00,0.00,19.24,0.00,13.53,2.80,7.30,4.00,9.00,1.20,0.00,3.50,15.46,0.00,0.00,0.00,7.20,24.15,43.61,8.10,5.10,15.46,5.00,18.74,9.70,5.00,7.00,2.80,0.00,6.73,7.35,0.00,27.90,3.20,10.97,0.00,9.20,0.00,0.60,8.00,8.00,8.00,2.30,76.60,4.90,16.00,4.00,10.43,0.00,3.40,2.30,15.39,15.12,9.50,0.00,0.42,28.79,32.57,4.42,2.97,0.00,27.06,28.67,0.00,1.66,0.00,0.00,10.63,0.00,12.14,0.00,0.00,0.00,0.00
18.00,0.00,21.30,0.00,13.53,2.80,7.30,4.00,9.00,1.20,0.00,3.50,15.46,0.00,0.00,0.00,7.20,23.96,40.39,8.00,5.10,15.46,5.00,18.74,9.70,5.00,7.00,2.80,0.00,6.89,8.78,0.00,27.90,3.20,10.97,0.00,9.20,0.00,0.60,8.00,8.00,8.00,2.30,66.07,4.90,16.00,4.00,10.43,0.00,3.40,2.30,15.33,15.33,9.50,0.00,0.42,29.43,33.99,4.90,2.81,0.00,27.50,18.92,0.00,1.66,0.00,0.00,10.63,0.00,12.14,0.00,0.00,0.00,0.00
19.00,0.00,22.07,0.00,13.53,2.80,7.30,4.00,9.00,1.20,0.00,3.50,15.46,0.00,0.00,3.10,7.20,24.17,37.46,8.00,5.10,15.46,5.00,18.74,9.70,5.00,7.00,2.80,0.00,7.20,9.28,0.00,27.90,3.20,10.95,0.00,9.20,0.00,0.60,8.00,8.00,8.00,2.30,54.51,4.90,16.00,4.00,10.43,0.00,3.40,2.30,14.76,14.82,9.50,0.00,0.42,30.87,33.74,5.12,2.79,0.00,27.24,17.23,0.00,1.68,0.00,0.00,10.63,0.00,12.14,0.00,0.00,0.00,0.00
