"COSTO DE ARRANQUES TERMICOS :",7.715
"COSTO DE OPERACION TERMICAS :",1579.391
"COSTO DE OPERACION HIDROS :",55.029
"COSTO DE VERTIMIENTO EN HIDROS :",0.000
"COSTO DE VERTIMIENTO EN EMBALSES :",0.000
"COSTO DE RACIONAMIENTO (DEFICIT DE DEMANDA) :",0.000
"COSTO DE EXCESOS DE POTENCIA :",0.000
"COSTO DE RESERVA SECUNDARIA (UP) :",0.118
"COSTO DE RESERVA SECUNDARIA (DOWN) :",4.043
"COSTO DE DEFICIT DE RESERVA SECUNDARIA (UP) :",0.000
"COSTO DE DEFICIT DE RESERVA SECUNDARIA (DOWN) :",0.000
"COSTO DE DEFICIT POR REGION DE SEGURIDAD :",0.000
"COSTO DE EXCESO POR REGION DE SEGURIDAD :",0.000
"COSTO FUTURO :",0.000
"TIEMPO DE EJECUCION (seg) :","239"
