"ETAPA \ GENERADOR","YAUPI","MALPASO","CAHUA","CHEVES G1","CHEVES G2","CANON DEL PATO","CARHUAQUERO G1","CARHUAQUERO G2","CARHUAQUERO G3","HUINCO G1","HUINCO G2","HUINCO G3","HUINCO G4","MATUCANA G1","MATUCANA G2","PLATANAL G1","PLATANAL G2","CERRO DEL AGUILA G1","CERRO DEL AGUILA G2","CERRO DEL AGUILA G3","CHIMAY G2","CHAGLLA G1","CHAGLLA G2"
1.00,0.00,0.00,0.00,0.00,0.00,49.71,0.00,0.00,0.00,0.00,0.00,30.02,0.00,15.00,0.00,0.00,0.00,110.26,0.00,0.00,0.00,6.00,0.00
2.00,0.00,0.00,0.00,0.00,0.00,50.12,0.00,0.00,0.00,13.80,13.69,32.77,0.00,15.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,85.63,0.00
3.00,0.00,0.00,0.00,0.00,0.00,50.11,0.00,0.00,0.00,12.16,12.08,20.90,0.00,7.50,7.50,0.00,0.00,0.00,0.00,0.00,0.00,50.44,50.31
4.00,0.00,0.00,0.00,0.00,0.00,36.59,0.00,0.00,0.00,0.00,0.00,45.14,0.00,15.00,0.00,0.00,0.00,0.00,58.53,55.74,0.00,0.00,0.00
5.00,0.00,0.00,0.00,0.00,0.00,40.85,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.05,0.00,0.00,79.98,0.00,79.12,0.00,0.00,0.00
6.00,0.00,0.00,0.00,0.00,0.00,40.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.00,0.00,0.00,0.00,82.71,77.27,0.00,0.00,0.00
7.00,0.00,0.00,0.00,0.00,0.00,37.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15.00,0.00,0.00,0.00,52.52,54.36,52.10,0.00,0.00,0.00
8.00,0.00,0.00,0.00,0.00,0.00,39.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.52,7.48,0.00,0.00,0.00,80.90,75.60,0.00,0.00,0.00
9.00,0.00,0.00,0.00,0.00,0.00,39.86,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15.00,0.00,0.00,0.00,78.49,0.00,77.65,0.00,0.00,0.00
10.00,0.00,0.00,0.00,0.00,0.00,35.46,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15.00,0.00,0.00,0.00,52.95,55.02,52.56,0.00,0.00,0.00
11.00,0.00,0.00,0.00,0.00,0.00,50.11,0.00,0.00,0.00,25.35,0.00,25.35,0.00,7.53,7.47,0.00,0.00,0.00,0.00,0.00,0.00,47.64,47.54
12.00,0.00,0.00,0.00,0.00,0.00,43.76,0.00,0.00,0.00,25.35,0.00,25.35,0.00,15.00,0.00,0.00,0.00,0.00,101.53,0.00,0.00,0.00,0.00
13.00,0.00,0.00,0.00,0.00,0.00,42.99,0.00,0.00,0.00,0.00,45.96,29.04,0.00,15.00,0.00,0.00,0.00,0.00,0.00,94.01,0.00,0.00,0.00
14.00,0.00,0.00,0.00,0.00,0.00,49.78,0.00,0.00,0.00,0.00,45.96,29.04,0.00,15.00,0.00,87.22,0.00,0.00,0.00,0.00,0.00,0.00,0.00
15.00,0.00,0.00,0.00,0.00,0.00,39.94,0.00,6.00,0.00,29.61,0.00,47.04,0.00,0.00,15.00,0.00,0.00,89.41,0.00,0.00,0.00,0.00,0.00
