"ETAPA \ GENERADOR","YAUPI","MALPASO","CAHUA","CHEVES G1","CHEVES G2","CANON DEL PATO","CARHUAQUERO G1","CARHUAQUERO G2","CARHUAQUERO G3","HUINCO G1","HUINCO G2","HUINCO G3","HUINCO G4","MATUCANA G1","MATUCANA G2","PLATANAL G1","PLATANAL G2","CERRO DEL AGUILA G1","CERRO DEL AGUILA G2","CERRO DEL AGUILA G3","CHIMAY G2","CHAGLLA G1","CHAGLLA G2"
1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,46.88,0.00,0.00,0.00,0.00,13.23,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,29.09,28.27,0.00,0.00,0.00,11.84,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
3.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,29.71,28.87,0.00,0.00,6.87,6.87,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
4.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,46.63,0.00,0.00,0.00,6.97,6.99,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
5.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,45.91,0.00,0.00,12.49,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
6.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,45.91,0.00,0.00,12.49,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
7.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,46.88,0.00,0.00,13.24,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
8.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,46.89,0.00,0.00,13.21,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
9.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,46.88,0.00,0.00,0.00,0.00,13.24,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
10.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,46.88,0.00,0.00,0.00,0.00,13.23,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
