"ANEXO 2. HIDROLOGIA DE LAS CENTRALES HIDROELECTRICAS DE GENERACION "

"--------------------------------------------------------------------------------------------------------------------------------------------------"

"RESULTADO DE LAS CENTRALES"
"Los caudales estan en m3/s"

"CENTRALES","CAUDAL","CAUDAL","CAUDAL","CAUDAL"
" ","NATURAL","ENTRANTE","TURBINADO","VERTIDO"
"CALLAHUANCA",0.0,20.6,20.6,0.0
"HUAMPANI",0.0,20.6,20.2,0.3
"MOYOPAMPA",0.0,20.6,16.3,1.2
"MANTARO",0.0,101.0,101.0,0.0
"RESTITUCION",0.0,101.0,89.0,5.6
"OROYA",3.0,0.9,3.9,0.0
"PACHACHACA",0.9,0.0,0.9,0.0
"YAUPI",5.0,27.4,28.5,1.0
"HUANCHOR",10.4,0.0,10.2,0.1
"PARIAC",2.3,0.0,2.3,0.0
"YANANGO",16.2,0.0,15.9,0.2
"CHARCANI IV",0.0,12.9,9.8,3.0
"CHARCANI V",0.0,13.6,13.6,0.0
"CHARCANI VI",0.0,12.9,0.0,21.6
"ARICOTA I",0.8,0.0,0.8,0.0
"MACHUPICCHU",110.2,0.0,54.7,18.3
"SAN GABAN II",0.0,19.5,19.5,0.0
"YUNCAN",0.0,27.4,19.3,1.8
"CAHUA",35.0,0.0,23.8,6.0
"MALPASO",0.0,55.0,55.0,0.0
"CANON DEL PATO",0.0,92.0,66.0,7.4
"GALLITO CIEGO",15.1,0.0,14.8,0.4
"ARCATA",0.1,0.0,0.1,0.0
"CHARCANI 123",0.0,13.2,10.2,4.4
"SANTA TERESA",0.0,54.7,52.0,1.6
"QUITARACSA",0.0,11.2,11.2,0.0
"PCH CHAGLLA",3.7,0.0,3.7,0.0
"CH CARHUAQUERO IV",0.0,1.9,1.6,0.1
"HUANZA",0.0,4.5,4.5,0.0
"MCH CERRO DEL AGUILA",10.6,0.0,10.4,0.4
"CARHUAC",0.0,4.5,4.4,0.1
"CHAGLLA G1",0.0,72.7,72.7,0.0
"CHAGLLA G2",0.0,72.6,72.6,0.0
"HUINCO G1",0.0,4.2,4.2,0.0
"HUINCO G2",0.0,1.8,1.8,0.0
"HUINCO G3",0.0,4.1,4.1,0.0
"HUINCO G4",0.0,0.0,0.0,0.0
"CERRO DEL AGUILA G1",0.0,70.9,70.9,0.0
"CERRO DEL AGUILA G2",0.0,76.5,76.5,0.0
"CERRO DEL AGUILA G3",0.0,73.7,73.7,0.0
"CH CANA BRAVA",0.0,5.1,5.1,0.0
"CHIMAY G1",0.0,45.0,45.0,0.0
"CHIMAY G2",0.0,34.8,34.8,0.0
"MATUCANA G1",0.0,5.4,5.4,0.0
"MATUCANA G2",0.0,5.0,5.0,0.0
"LA VIRGEN",7.8,16.2,23.5,0.2
"CARHUAQUERO G1",0.0,2.7,2.7,0.0
"CARHUAQUERO G2",0.0,0.4,0.4,0.0
"CARHUAQUERO G3",0.0,0.2,0.2,0.0
"CHEVES G1",0.0,16.8,16.8,0.0
"CHEVES G2",0.0,0.0,0.0,0.0
"PLATANAL G1",0.0,19.7,19.7,0.0
"PLATANAL G2",0.0,16.7,16.7,0.0

"ANEXO 2. HIDROLOGIA DE LAS CENTRALES HIDROELECTRICAS DE GENERACION "

"--------------------------------------------------------------------------------------------------------------------------------------------------"

"RESULTADO DE LOS EMBALSES"
"Los volumenes estan en Hm3 y los caudales en m3/s"

"EMBALSES","VOLUMEN","VOLUMEN"," ","CAUDAL","CAUDAL","CAUDAL","RIEGO","CAUDAL"
" ","INICIAL","FINAL"," ","NATURAL","ENTRANTE","DERIVADO"," ","VERTIDO"
"SHEQUE",0.2,0.2," ",5.7,4.5,10.2,0.0,0.0
"HUINCO RES",0.3,0.3," ",0.0,10.2,10.2,0.0,0.0
"PRESA MALPASO",22.0,22.0," ",55.0,0.0,55.0,0.0,0.0
"AGUADA BLANCA",30.0,30.0," ",13.6,0.0,13.6,0.0,0.0
"CAMPANARIO",0.1,0.1," ",0.0,12.9,13.2,0.0,0.0
"CINCEL",0.1,0.1," ",0.0,13.6,12.7,1.0,0.2
"CIRATO",0.3,0.3," ",5.0,0.0,5.1,0.0,0.0
"ARICOTA RES",0.0,0.0," ",0.0,0.0,0.0,0.0,0.0
"PRESA GALLITO CIEGO",300.0,300.0," ",0.0,0.0,0.0,0.0,0.0
"PRESA COMPEN GALLITO",0.7,0.7," ",0.0,15.1,7.5,0.0,7.5
"SAN GABAN",0.1,0.1," ",37.0,0.0,19.5,0.0,17.5
"TULUMAYO",1.3,1.2," ",80.0,0.0,79.9,0.0,1.3
"SAN DIEGO",0.7,0.2," ",86.0,0.0,86.3,0.0,5.7
"HUALLAMAYO",1.0,0.6," ",22.7,0.0,27.4,0.0,0.0
"TABLACHACA",2.5,2.5," ",168.0,0.0,101.0,0.0,67.0
"CHAGLLA EM",355.5,353.8," ",129.0,0.0,145.3,3.7,0.0
"PICUNCHE",0.2,0.2," ",0.0,16.8,17.0,0.0,0.3
"SHAPIRINGO",0.1,0.1," ",11.0,0.0,10.9,0.0,0.2
"CERRO DEL AGUILA EM",25.9,25.0," ",54.0,168.0,221.1,10.6,0.0
"PALLCA",0.3,0.3," ",4.5,0.0,4.5,0.0,0.0
"EMB CHECRAS",0.6,0.6," ",36.0,0.0,16.8,0.0,19.2
"RESER CAPILLUCAS",0.5,0.5," ",37.0,0.0,36.4,0.0,0.0
"PULMON MATUCANA",0.0,0.0," ",0.0,10.4,10.4,0.0,0.0
"TOMA HUAMPANI",0.0,0.0," ",0.0,20.6,20.6,0.0,0.0
"RESERV RESTIT",0.4,0.4," ",0.0,36.4,36.9,0.0,0.0
"TOMA SURCO",0.0,0.0," ",0.0,10.4,10.4,0.0,0.0
