"ETAPA","G. HIDRO","G. TERMICA","G. RER Y NO COES","EXCESO","DEFICIT","DEMANDA","PERDIDAS"
1.00,4132.67,1849.12,697.56,0.00,0.00,6502.60,176.75
2.00,4005.84,1877.09,693.29,0.00,0.00,6401.22,174.99
3.00,3980.32,1837.90,654.46,0.00,0.00,6299.73,172.95
4.00,3961.89,1801.33,643.03,0.00,0.00,6235.22,171.03
5.00,3958.48,1796.77,639.54,0.00,0.00,6223.53,171.26
6.00,3953.74,1781.55,638.76,0.00,0.00,6202.41,171.63
7.00,3962.56,1752.66,638.47,0.00,0.00,6183.91,169.78
8.00,3958.85,1754.19,641.06,0.00,0.00,6183.12,170.97
9.00,3971.85,1776.29,647.53,0.00,0.00,6223.31,172.36
10.00,3967.68,1813.08,659.51,0.00,0.00,6266.75,173.53
11.00,3962.87,1864.97,701.59,0.00,0.00,6356.65,172.77
12.00,3938.15,1793.73,800.21,0.00,0.00,6364.25,167.84
13.00,3989.94,1862.70,904.70,0.00,0.00,6589.75,167.59
14.00,3998.75,1898.04,977.03,0.00,0.00,6707.91,165.91
15.00,4007.69,1901.76,1043.58,0.00,0.00,6790.54,162.50
16.00,3992.48,1936.59,1075.96,0.00,0.00,6840.59,164.44
17.00,4200.43,1894.52,1127.63,0.00,0.00,7058.45,164.13
18.00,4198.38,1970.98,1157.08,0.00,0.00,7160.72,165.72
19.00,4175.67,2082.07,1188.28,0.00,0.00,7278.70,167.32
20.00,4189.86,2134.44,1203.79,0.00,0.00,7357.99,170.11
21.00,4222.76,2155.36,1260.15,0.00,0.00,7466.55,171.71
22.00,4199.29,2232.67,1282.54,0.00,0.00,7540.67,173.82
23.00,4231.72,2173.55,1346.47,0.00,0.00,7577.29,174.45
24.00,4227.98,2155.18,1368.19,0.00,0.00,7576.58,174.78
25.00,4174.65,2070.26,1408.09,0.00,0.00,7478.45,174.55
26.00,4120.93,2027.83,1427.57,0.00,0.00,7403.58,172.75
27.00,4065.56,2027.83,1446.44,0.00,0.00,7367.82,172.01
28.00,4207.80,2095.66,1277.67,0.00,0.00,7403.56,177.57
29.00,4075.76,2206.23,1429.51,0.00,0.00,7535.90,175.60
30.00,4109.05,2236.96,1420.75,0.00,0.00,7591.02,175.74
31.00,4261.37,2152.26,1379.31,0.00,0.00,7615.89,177.06
32.00,4299.68,2175.29,1299.82,0.00,0.00,7594.75,180.04
33.00,4271.86,2175.20,1255.60,0.00,0.00,7523.64,179.02
34.00,4261.20,2141.66,1161.14,0.00,0.00,7380.80,183.20
35.00,4272.38,2156.78,1056.72,0.00,0.00,7294.95,190.92
36.00,4216.36,2040.70,1031.02,0.00,0.00,7098.53,189.55
37.00,4302.19,2179.01,1029.00,0.00,0.00,7309.46,200.74
38.00,4323.57,2305.83,1016.47,0.00,0.00,7439.25,206.61
39.00,4356.92,2300.01,1001.58,0.00,0.00,7451.45,207.06
40.00,4353.40,2300.04,987.13,0.00,0.00,7433.37,207.20
41.00,4348.43,2298.96,968.86,0.00,0.00,7409.71,206.54
42.00,4398.15,2239.88,945.03,0.00,0.00,7375.70,207.37
43.00,4384.74,2260.42,927.85,0.00,0.00,7365.12,207.89
44.00,4385.66,2249.17,910.01,0.00,0.00,7343.99,200.85
45.00,4325.79,2175.74,889.95,0.00,0.00,7197.59,193.89
46.00,4242.31,2078.63,870.52,0.00,0.00,7002.71,188.75
47.00,4201.31,2029.22,826.20,0.00,0.00,6871.87,184.86
48.00,4108.35,1974.51,816.69,0.00,0.00,6716.20,183.35
