"ETAPA \ GENERADOR","KALLPACC123GAS","CHILCA1CC123GAS","OLLEROSTG1GAS","STAROSA TG8 GAS","FENIXCCGT11GT12GAS","VENTCC34GASFD"
1.00,172.40,0.00,0.00,0.00,0.00,0.00
2.00,186.00,0.00,0.00,0.00,0.00,0.00
3.00,180.00,0.00,0.00,0.00,0.00,0.00
4.00,180.00,0.00,0.00,0.00,0.00,0.00
5.00,186.00,0.00,0.00,0.00,0.00,0.00
6.00,186.00,0.00,0.00,0.00,0.00,0.00
7.00,180.00,0.00,0.00,0.00,0.00,0.00
8.00,180.00,0.00,0.00,0.00,0.00,0.00
9.00,180.00,0.00,0.00,0.00,0.00,0.00
10.00,180.00,0.00,0.00,0.00,0.00,0.00
11.00,186.00,0.00,0.00,0.00,0.00,0.00
12.00,180.00,0.00,0.00,0.00,0.00,0.00
13.00,207.00,0.00,0.00,0.00,0.00,0.00
14.00,166.67,0.00,0.00,0.00,0.00,0.00
15.00,207.00,0.00,0.00,0.00,0.00,0.00
16.00,130.72,0.00,0.00,0.00,0.00,0.00
17.00,168.72,0.00,0.00,0.00,0.00,0.00
18.00,168.72,0.00,0.00,0.00,0.00,0.00
19.00,137.28,0.00,0.00,0.00,69.72,0.00
20.00,149.44,0.00,0.00,0.00,57.56,0.00
21.00,133.03,0.00,0.00,0.00,73.97,0.00
22.00,123.21,0.00,0.00,0.00,83.79,0.00
23.00,145.91,0.00,0.00,0.00,76.09,0.00
24.00,145.91,0.00,0.00,0.00,76.09,0.00
25.00,145.91,0.00,0.00,0.00,76.09,0.00
26.00,145.91,0.00,0.00,0.00,76.09,0.00
27.00,145.91,0.00,0.00,0.00,76.09,0.00
28.00,145.91,0.00,0.00,0.00,76.09,0.00
29.00,104.93,0.00,0.00,0.00,117.07,0.00
30.00,104.93,0.00,0.00,0.00,117.07,0.00
31.00,145.91,0.00,0.00,0.00,76.09,0.00
32.00,145.91,0.00,0.00,0.00,76.09,0.00
33.00,145.91,0.00,0.00,0.00,76.09,0.00
34.00,145.91,0.00,0.00,0.00,76.09,0.00
35.00,145.91,0.00,0.00,0.00,76.09,0.00
36.00,145.91,0.00,0.00,0.00,76.09,0.00
37.00,145.91,0.00,0.00,0.00,76.09,0.00
38.00,222.00,0.00,0.00,0.00,0.00,0.00
39.00,196.00,0.00,0.00,0.00,0.00,0.00
40.00,196.00,0.00,0.00,0.00,0.00,0.00
41.00,196.00,0.00,0.00,0.00,0.00,0.00
42.00,166.63,0.00,0.00,0.00,0.00,0.00
43.00,167.22,0.00,0.00,0.00,0.00,0.00
44.00,167.37,0.00,0.00,0.00,0.00,0.00
45.00,186.00,0.00,0.00,0.00,0.00,0.00
46.00,186.00,0.00,0.00,0.00,0.00,0.00
47.00,186.00,0.00,0.00,0.00,0.00,0.00
48.00,186.00,0.00,0.00,0.00,0.00,0.00
