"ETAPA \ GENERADOR","MAJES","CARPAPATA","REPARTICION","PARAMONGA","HUAYCOLORO","LA JOYA","STACRUZ12","HUASAHUASI","RONCADOR","PURMACANA","NIMPERIAL","MAPLE","TACNASOLAR","PANAMERICANASOLAR","PIZARRAS","PIAS","POECHOS2","PE TALARA","PE CUPISNIQUE","ELOR","CURUMUY","POECHOS1","CANCHAYLLO","CHANCAY","RUCUY","RUNATULLOII","RUNATULLOIII","LAGRINGAV","MOQUEGUASOLAR","PQEEOLICOMARCONA","PQEEOLICO3HERMANAS","YANAPAMPA","TABLAZO","POTRERO","CH MARANON","CS RUBI","YARUCAYA","INTIPAMPA","CHHER1","CHANGELI","CHANGELII","CHANGELIII","CTB DONA CATALINA","WAYRAI","CHZANA","8AGOSTO","EL CARMEN","CT CANA BRAVA","CT SAN JACINTO","CH MANTA","CTB CALLAO","HUAMBOS","DUNA","CT TALLANCA","CSF YARUCAYA","TUPURI","CE PUNTA LOMITASBL1","CE PUNTA LOMITASBL2","PTALOMITASEXPBL1","PTALOMITASEXPBL2","CSCLEMESI","PE SAN JUAN","WAYRAEXP","CS CARHUAQUERO","CH HUALLIN","CS MATARANI","CS SAN MARTIN","CTAGROOLMOS","CSSUNNY","CASAGRANDE","CSCOENERGY","CSEXPANSIONINTIPAMPA","CSSUNNYEXPANSION","CSWAYRASOLAR"
13.00,12.84,19.69,12.46,16.04,4.50,7.80,3.30,6.10,1.50,0.00,2.70,15.46,7.04,3.56,3.10,5.10,7.20,30.86,57.65,0.00,5.40,6.00,2.50,18.74,9.80,3.00,4.50,3.00,1.66,13.53,43.74,2.30,26.40,3.30,11.59,86.90,15.46,29.74,0.60,4.50,5.00,5.20,1.15,87.08,4.50,4.00,1.50,10.43,8.38,3.80,1.15,17.82,15.26,9.50,1.00,0.54,45.23,60.20,7.00,5.33,85.20,48.42,100.80,0.00,1.06,62.39,139.00,5.00,74.02,12.14,0.42,51.67,34.83,13.39
14.00,10.29,19.50,10.56,15.85,4.50,7.80,3.30,6.10,1.50,0.00,2.70,15.46,5.99,1.94,3.10,5.10,7.20,30.86,58.54,0.00,5.40,6.00,2.50,18.74,9.80,3.00,4.50,3.00,0.78,14.50,47.80,2.30,26.40,3.30,11.59,91.30,15.46,29.61,0.60,4.50,5.00,5.20,1.15,93.23,4.50,4.00,1.50,10.43,8.38,3.80,1.15,17.72,15.37,9.50,0.93,0.54,45.63,62.35,7.30,5.45,83.00,49.48,109.40,0.00,1.06,54.91,135.60,5.00,71.57,12.14,0.42,51.44,33.68,13.13
15.00,9.19,19.61,8.81,14.88,4.50,7.80,3.30,6.10,1.50,0.00,2.70,15.46,2.83,0.98,3.10,5.20,7.20,30.86,59.43,0.00,5.40,6.00,2.50,18.74,9.80,3.00,4.50,3.00,0.40,15.01,51.46,2.30,26.40,3.30,11.59,82.50,15.46,28.17,0.60,4.50,5.00,5.20,1.15,99.39,4.50,4.00,1.50,10.43,8.38,3.80,1.15,17.92,15.70,9.50,0.78,0.55,47.57,62.44,7.52,5.67,84.10,53.20,116.01,0.00,1.07,46.00,120.70,5.00,63.87,12.14,0.39,50.59,30.06,13.00
16.00,5.99,19.45,6.19,15.56,4.50,7.80,3.30,6.10,1.50,0.00,2.70,15.46,1.85,0.23,3.10,5.10,7.20,30.86,60.33,0.00,5.40,6.00,2.50,18.74,9.80,3.00,4.50,3.00,0.29,16.12,55.12,2.30,26.60,3.30,11.59,81.00,15.46,23.82,0.60,4.50,5.00,5.20,1.15,105.55,4.50,4.00,1.50,10.43,8.38,3.80,1.15,17.93,15.67,9.50,0.57,0.56,51.05,61.94,7.96,6.04,77.90,56.29,122.62,0.00,1.08,34.73,84.30,5.00,42.67,12.14,0.33,48.21,20.08,12.61
17.00,4.75,19.85,4.27,15.07,4.50,7.80,3.30,6.10,1.50,0.00,2.70,15.46,0.63,0.02,3.10,5.10,7.20,30.86,61.22,0.00,5.40,6.00,2.50,18.74,9.80,3.00,4.50,3.00,0.24,17.14,58.38,2.30,26.70,3.30,11.59,43.20,15.46,14.82,0.60,4.50,5.00,5.20,1.15,109.70,4.50,4.00,1.50,10.43,8.38,3.80,1.15,16.58,14.87,9.50,0.49,0.55,49.44,63.12,7.81,5.85,64.20,59.92,127.23,0.00,1.10,21.82,65.30,5.00,52.39,12.14,0.25,34.37,24.66,6.70
18.00,1.50,19.54,1.51,15.75,4.50,7.80,3.30,6.10,1.50,0.00,2.70,15.46,0.18,0.00,3.10,5.20,7.20,30.86,62.12,0.00,5.40,6.00,2.50,18.74,9.80,3.00,4.50,3.00,0.16,18.01,61.64,2.30,27.00,3.30,11.59,12.70,15.46,5.99,0.60,4.50,5.00,5.20,1.15,110.86,4.50,4.00,1.50,10.43,8.38,3.80,1.15,15.93,14.52,9.50,0.34,0.55,53.03,66.11,8.38,6.26,36.90,64.52,129.84,0.00,1.11,9.72,36.10,5.00,17.71,12.14,0.16,17.23,8.33,1.57
19.00,0.90,19.62,0.55,14.98,4.50,7.80,3.30,6.10,1.90,0.00,2.70,15.46,0.01,0.00,3.10,5.10,7.20,30.86,63.01,1.38,5.40,6.00,2.50,18.74,9.80,3.00,4.50,3.00,0.05,18.87,64.49,2.30,27.10,3.30,11.59,1.60,15.46,1.15,0.60,4.50,5.00,5.20,1.15,112.02,4.50,4.00,1.50,10.43,8.38,3.80,1.15,16.07,14.11,9.50,0.12,0.56,54.56,69.35,8.89,6.71,11.20,68.08,129.44,0.00,1.14,2.57,5.10,5.00,2.50,12.14,0.06,4.62,1.17,0.89
20.00,0.00,19.39,0.00,15.75,4.50,7.80,3.30,6.10,1.90,0.00,2.70,15.46,0.00,0.00,3.10,5.10,7.20,30.86,63.90,2.84,5.40,15.46,2.50,18.74,9.80,3.00,4.50,3.00,0.01,19.58,67.35,2.30,27.20,3.30,11.59,0.00,15.46,0.00,0.60,4.50,5.00,5.20,1.15,112.17,4.50,4.00,1.50,10.43,8.38,3.80,1.15,16.03,13.86,9.50,0.06,0.56,55.31,69.69,8.66,6.54,1.40,71.44,128.05,0.00,1.14,0.00,0.00,5.00,0.00,12.14,0.03,0.00,0.00,0.86
21.00,0.00,19.00,0.00,15.75,4.50,7.80,3.30,6.10,1.90,0.00,2.70,15.46,0.00,0.00,0.00,5.10,7.20,30.86,64.80,11.76,5.40,15.46,2.50,18.74,9.80,3.00,4.50,3.00,0.00,20.25,68.81,2.30,27.40,3.30,11.59,0.00,15.46,0.00,0.60,4.50,5.00,5.20,1.15,111.33,4.50,4.00,1.50,10.43,8.38,3.80,1.15,14.31,13.06,9.50,0.00,0.56,55.57,74.51,9.06,6.57,0.00,74.44,125.66,0.00,1.15,0.00,0.00,5.00,0.00,12.14,0.00,0.00,0.00,0.18
22.00,0.00,19.17,0.00,16.04,4.50,7.80,3.30,6.10,1.90,0.00,2.70,15.46,0.00,0.00,0.00,5.10,7.20,30.86,65.69,12.09,5.40,15.46,2.50,18.74,9.80,3.00,4.50,3.00,0.00,21.12,70.17,2.30,27.70,3.30,11.59,0.00,15.46,0.00,0.60,4.50,5.00,5.20,1.15,110.49,4.50,4.00,1.50,10.43,8.38,3.80,1.15,13.22,12.40,9.50,0.00,0.56,56.80,75.37,8.95,6.55,0.00,78.04,122.27,0.00,1.18,0.00,0.00,5.00,0.00,12.14,0.00,0.00,0.00,0.00
