"ETAPA \ GENERADOR","MAJES","CARPAPATA","REPARTICION","PARAMONGA","HUAYCOLORO","LA JOYA","STACRUZ12","HUASAHUASI","RONCADOR","PURMACANA","NIMPERIAL","MAPLE","TACNASOLAR","PANAMERICANASOLAR","PIZARRAS","PIAS","POECHOS2","PE TALARA","PE CUPISNIQUE","ELOR","CURUMUY","POECHOS1","CANCHAYLLO","CHANCAY","RUCUY","RUNATULLOII","RUNATULLOIII","LAGRINGAV","MOQUEGUASOLAR","PQEEOLICOMARCONA","PQEEOLICO3HERMANAS","YANAPAMPA","TABLAZO","POTRERO","CH MARANON","CS RUBI","YARUCAYA","INTIPAMPA","CHHER1","CHANGELI","CHANGELII","CHANGELIII","CTB DONA CATALINA","WAYRAI","CHZANA","8AGOSTO","RENOVANDESH1","EL CARMEN","CT CANA BRAVA","CT SAN JACINTO","CH MANTA","CTB CALLAO","HUAMBOS","DUNA","CT TALLANCA","SANTA ROSA 1","SANTA ROSA 2","CSF YARUCAYA","TUPURI","CE PUNTA LOMITASBL1","CE PUNTA LOMITASBL2","PTALOMITASEXPBL1","PTALOMITASEXPBL2","CSCLEMESI","PE SAN JUAN","WAYRAEXP","CS CARHUAQUERO","CH HUALLIN","CS MATARANI","CS SAN MARTIN","ANASHIRONI","CT AGROLMOS"
1.00,12.73,8.47,11.28,14.00,4.20,7.60,3.40,4.60,1.51,0.00,3.40,17.00,10.01,16.18,4.00,0.00,7.00,16.17,7.00,0.00,4.20,4.80,1.60,18.93,10.00,4.50,6.50,2.80,12.38,0.81,5.23,0.00,27.10,6.00,10.68,128.75,16.50,32.17,0.60,3.00,3.30,3.40,2.40,1.80,7.50,6.50,19.42,2.00,10.60,7.63,6.00,1.20,10.17,13.08,18.90,0.00,0.00,0.59,0.00,9.63,17.38,0.41,0.65,94.83,11.45,3.90,0.10,1.04,69.04,239.11,0.00,6.50
2.00,13.47,7.95,13.18,14.00,4.20,7.60,3.40,4.60,1.51,0.00,3.40,17.00,13.89,16.83,4.00,0.00,7.00,16.21,8.00,0.00,4.20,4.80,1.60,18.93,10.00,4.50,6.50,2.80,12.68,1.01,5.70,0.00,27.20,6.00,10.68,129.87,16.50,32.65,0.60,3.00,3.30,3.40,2.40,1.20,7.50,6.50,19.42,2.00,10.60,7.63,6.00,1.20,10.90,13.75,18.90,0.00,0.00,0.80,0.00,10.16,16.51,0.63,0.88,96.82,9.59,3.70,0.20,1.04,70.40,250.00,0.00,6.50
3.00,14.17,7.66,14.76,14.00,4.20,7.60,3.40,4.60,1.51,0.00,3.40,17.00,16.01,17.07,4.00,0.00,7.00,16.05,11.00,0.00,4.20,4.80,1.60,18.93,10.00,4.50,6.50,2.80,12.89,1.22,6.93,0.00,27.20,6.00,10.68,130.01,16.50,32.84,0.60,3.00,3.30,3.40,2.40,0.90,7.50,6.50,19.42,2.00,10.60,7.63,6.00,1.20,11.55,14.19,18.90,0.00,0.00,0.99,0.00,12.40,18.32,0.98,1.06,97.46,13.90,3.10,0.20,1.04,70.89,250.00,0.00,6.50
4.00,14.68,7.68,15.97,14.00,4.20,7.60,3.40,4.60,1.51,0.00,3.40,17.00,16.64,17.07,4.00,0.00,7.00,16.19,20.00,0.00,4.20,4.80,1.60,18.93,10.00,4.50,6.50,2.80,12.98,1.47,7.91,0.00,27.10,6.00,10.68,130.00,16.50,32.86,0.60,3.00,3.30,3.40,2.40,0.90,7.50,6.50,19.42,2.00,10.60,7.63,6.00,1.20,12.16,14.57,18.90,0.00,0.00,1.11,0.00,14.10,24.66,1.36,1.22,97.70,13.75,3.10,0.30,1.04,71.27,245.13,0.00,6.50
5.00,15.11,7.87,16.96,14.00,4.20,7.60,3.40,4.60,1.51,0.00,3.40,17.00,16.94,17.04,4.00,0.00,7.00,16.44,25.00,0.00,4.20,4.80,1.60,18.93,10.00,4.50,6.50,2.80,13.03,2.07,8.98,0.00,27.10,6.00,10.68,130.06,16.50,32.84,0.60,3.00,3.30,3.40,2.40,1.90,7.50,6.50,19.42,2.00,10.60,7.63,6.00,1.20,12.39,14.72,18.90,0.00,0.00,1.21,0.00,14.18,24.55,1.76,1.37,97.83,15.22,5.10,0.30,1.04,71.59,240.31,0.00,6.50
6.00,15.43,7.64,17.66,14.00,4.20,7.60,3.40,4.60,1.51,0.00,3.40,17.00,16.95,16.97,4.00,0.00,7.00,17.26,31.00,0.00,4.20,4.80,1.60,18.93,10.00,4.50,6.50,2.80,13.05,2.71,10.00,0.00,26.80,6.00,10.68,130.62,16.50,32.85,0.60,3.00,3.30,3.40,2.40,3.00,7.50,6.50,19.42,2.00,10.60,7.63,6.00,1.20,12.51,14.80,18.90,0.00,0.00,1.24,0.00,14.21,25.04,2.18,1.53,97.50,16.41,4.00,0.30,1.04,72.31,240.19,0.00,6.50
7.00,15.50,7.18,17.99,14.00,4.20,7.60,3.40,4.60,1.51,0.00,3.40,17.00,16.82,16.89,4.00,0.00,7.00,18.27,38.00,2.50,4.20,4.80,1.60,18.93,10.00,4.50,6.50,2.80,13.10,3.52,10.83,0.00,26.70,6.00,10.68,131.88,16.50,32.93,0.60,3.00,3.30,3.40,2.40,4.40,7.50,6.50,19.42,2.00,10.60,7.63,6.00,1.20,12.64,15.02,18.90,0.00,0.00,1.22,0.00,14.12,27.31,2.49,1.78,96.91,16.78,4.00,0.40,1.00,73.26,242.30,0.00,6.50
8.00,15.56,7.05,18.06,14.00,4.20,7.60,3.40,4.60,1.51,0.00,3.40,17.00,16.66,16.87,4.00,0.00,7.00,19.06,45.00,3.40,4.20,4.80,1.60,18.93,10.00,4.50,6.50,2.80,13.15,3.98,11.36,0.00,26.50,6.00,10.68,132.99,16.50,32.85,0.60,3.00,3.30,3.40,2.40,0.00,7.50,6.50,19.42,2.00,10.60,7.63,5.90,1.20,12.77,15.28,18.90,0.00,0.00,1.25,0.00,14.25,29.02,2.77,2.05,96.83,16.89,6.00,0.40,1.00,73.58,246.02,0.00,6.50
9.00,15.37,7.02,17.80,14.00,4.20,7.60,3.40,4.60,1.51,0.00,3.40,17.00,16.62,16.91,4.00,0.00,7.00,19.79,49.00,3.50,4.20,4.80,1.60,18.93,10.00,4.50,6.50,2.80,13.21,3.38,11.00,0.00,26.30,6.00,10.68,133.81,16.50,32.85,0.60,3.00,3.30,3.40,2.40,0.00,7.50,6.50,19.42,2.00,10.60,7.63,5.90,1.20,13.03,15.34,18.90,0.00,0.00,1.23,0.00,15.04,29.04,2.76,2.10,96.97,16.27,8.00,0.40,1.00,73.72,243.63,0.00,6.50
10.00,14.89,7.27,17.13,14.00,4.20,7.60,3.40,4.60,1.51,0.00,3.40,17.00,16.65,16.92,4.00,0.00,7.00,20.29,53.00,3.50,4.20,4.80,1.60,18.93,10.00,4.50,6.50,2.80,13.21,2.85,10.83,0.00,26.10,6.00,10.68,134.51,16.50,32.93,0.60,3.00,3.30,3.40,2.40,1.00,7.50,6.50,19.42,2.00,10.60,7.63,5.90,1.20,13.32,15.34,18.90,0.00,0.00,1.23,0.00,15.93,29.54,2.65,2.06,96.98,15.99,12.00,0.40,0.96,73.78,235.77,0.00,6.50
