"ETAPA \ GENERADOR","MAJES","CARPAPATA","REPARTICION","PARAMONGA","HUAYCOLORO","LA JOYA","STACRUZ12","HUASAHUASI","RONCADOR","PURMACANA","NIMPERIAL","MAPLE","TACNASOLAR","PANAMERICANASOLAR","PIZARRAS","PIAS","POECHOS2","PE TALARA","PE CUPISNIQUE","ELOR","CURUMUY","POECHOS1","CANCHAYLLO","CHANCAY","RUCUY","RUNATULLOII","RUNATULLOIII","LAGRINGAV","MOQUEGUASOLAR","PQEEOLICOMARCONA","PQEEOLICO3HERMANAS","YANAPAMPA","TABLAZO","POTRERO","CH MARANON","CS RUBI","YARUCAYA","INTIPAMPA","CHHER1","CHANGELI","CHANGELII","CHANGELIII","CTB DONA CATALINA","WAYRAI","CHZANA","8AGOSTO","EL CARMEN","CT CANA BRAVA","CT SAN JACINTO","CH MANTA","CTB CALLAO","HUAMBOS","DUNA","CT TALLANCA","SANTA ROSA 1","SANTA ROSA 2","CSF YARUCAYA","TUPURI","CE PUNTA LOMITASBL1","CE PUNTA LOMITASBL2","PTALOMITASEXPBL1","PTALOMITASEXPBL2","CSCLEMESI","PE SAN JUAN","WAYRAEXP","CS CARHUAQUERO","CH HUALLIN","CS MATARANI","CS SAN MARTIN","CTAGROOLMOS","CSSUNNY","CTCASA GRANDE","CSINTIPAMPAEXP"
1.00,17.85,23.62,18.39,14.00,2.90,7.90,5.80,9.85,1.20,0.40,3.30,20.11,18.13,18.56,10.73,0.00,0.00,17.24,56.30,5.10,0.00,4.80,4.00,17.76,13.85,10.00,13.66,1.40,15.98,19.93,68.14,2.50,26.10,4.00,16.59,135.18,17.95,39.14,0.60,19.51,19.51,19.51,1.20,43.90,9.00,10.24,3.50,10.80,8.17,5.70,1.20,13.44,15.02,18.90,0.00,0.00,0.91,1.00,60.90,73.60,3.62,6.10,112.33,92.45,56.80,0.40,1.72,80.00,249.71,11.00,208.00,23.00,6.46
2.00,17.77,23.70,18.25,14.00,2.90,7.90,5.80,9.85,1.20,0.40,3.30,20.11,17.37,18.63,10.73,0.00,0.00,17.94,58.90,5.10,0.00,4.80,4.00,17.76,13.85,10.00,13.66,1.40,15.99,20.04,69.25,2.50,26.10,4.00,16.59,140.45,17.95,38.98,0.60,19.51,19.51,19.51,1.20,100.10,9.00,10.24,3.50,10.80,8.17,5.70,1.20,13.46,14.93,18.90,0.00,0.00,0.93,1.00,63.30,73.62,4.01,6.69,112.06,92.68,102.70,0.40,1.68,80.00,248.16,11.00,208.00,23.00,6.46
3.00,17.42,23.72,17.79,14.00,2.90,7.90,5.80,9.85,1.50,0.40,3.30,20.11,17.24,18.64,10.73,0.00,0.00,19.30,61.20,5.10,0.00,4.80,4.00,17.76,13.85,10.00,13.66,1.40,16.00,20.28,70.43,2.50,26.20,4.00,16.59,143.67,17.95,38.82,0.60,19.51,19.51,19.51,1.20,104.90,9.00,10.24,3.50,10.80,8.17,5.70,1.20,12.97,14.61,18.90,0.00,0.00,0.92,1.00,65.60,73.36,4.31,7.15,111.82,92.62,108.90,0.40,1.72,80.00,249.25,11.00,206.00,23.00,6.46
4.00,16.42,23.81,16.72,14.00,2.90,7.90,5.80,9.85,1.50,0.40,3.30,20.11,17.84,18.55,10.73,0.00,0.00,20.88,62.00,5.10,0.00,4.80,4.00,17.76,13.85,10.00,13.66,1.40,15.98,20.55,71.34,2.50,26.00,4.00,16.59,144.38,17.95,38.75,0.60,19.51,19.51,19.51,1.20,109.80,9.00,10.24,3.50,10.80,8.17,5.70,1.20,12.31,14.20,18.90,0.00,0.00,0.92,1.00,71.30,72.45,4.59,7.56,111.74,92.57,112.00,0.30,1.76,80.00,250.40,11.00,204.00,23.00,5.82
5.00,14.94,23.80,15.46,14.00,2.90,7.90,5.80,9.85,1.50,0.40,3.30,20.11,18.62,18.57,10.73,0.00,0.00,21.79,62.20,5.10,0.00,4.80,4.00,17.76,13.85,10.00,13.66,1.40,15.95,20.83,72.18,2.50,25.90,4.00,16.59,144.48,17.95,38.71,0.60,19.51,19.51,19.51,1.20,114.70,9.00,10.24,3.50,10.80,8.17,5.70,1.20,11.34,13.60,18.90,0.00,0.00,0.92,1.00,71.50,71.33,4.77,7.97,111.80,92.52,113.90,0.20,1.76,80.00,250.40,11.00,199.00,23.00,5.17
6.00,13.10,23.22,14.25,14.00,2.90,7.90,5.80,9.85,1.50,0.40,3.30,20.11,18.77,18.60,10.73,0.00,0.00,22.48,62.30,5.10,0.00,4.80,4.00,17.76,13.85,10.00,13.66,1.40,15.94,20.96,72.24,2.50,26.00,4.00,16.59,144.48,17.95,38.33,0.60,19.51,19.51,19.51,1.20,118.00,9.00,10.24,3.50,10.80,8.17,5.70,1.20,10.26,12.94,18.90,0.00,0.00,0.77,1.00,71.80,72.04,4.91,8.38,111.27,91.61,117.10,0.20,1.80,80.00,249.96,11.00,194.00,23.00,4.52
7.00,11.57,23.30,12.69,14.00,2.90,7.90,5.80,9.85,1.50,0.40,3.30,20.11,18.46,18.51,10.73,0.00,0.00,23.33,62.30,5.10,0.00,4.80,4.00,17.76,13.85,10.00,13.66,1.40,15.81,21.04,72.04,2.50,26.00,4.00,16.59,144.48,17.95,37.63,0.60,19.51,19.51,19.51,1.20,120.70,9.00,10.24,3.50,10.80,8.17,5.70,1.20,9.25,11.64,18.90,0.00,0.00,0.75,1.00,72.10,73.34,4.77,8.25,110.20,90.42,120.70,0.10,1.84,80.00,248.70,11.00,185.00,23.00,3.88
8.00,10.35,22.87,10.74,14.00,2.90,7.90,5.80,9.85,1.50,0.40,3.30,20.11,17.52,18.23,10.73,0.00,0.00,24.22,62.20,5.10,0.00,4.80,4.00,17.76,13.85,10.00,13.66,1.40,15.40,20.90,71.70,2.50,26.10,4.00,16.59,144.36,17.95,36.19,0.60,19.51,19.51,19.51,1.20,122.40,9.00,10.24,3.50,10.80,8.17,5.70,1.20,8.27,10.13,18.90,0.00,0.00,0.70,1.00,71.50,74.63,4.52,7.93,107.74,89.00,122.50,0.10,1.84,79.94,245.73,11.00,176.00,23.00,3.23
9.00,8.47,22.60,9.10,14.00,2.90,7.90,5.80,9.85,1.50,0.40,3.30,20.11,16.13,17.63,10.73,0.00,0.00,24.94,62.10,4.60,0.00,4.80,4.00,17.76,13.85,10.00,13.66,1.40,14.58,20.67,71.32,2.50,26.00,4.00,16.59,143.50,17.95,34.24,0.60,19.51,19.51,19.51,1.20,123.80,9.00,10.24,3.50,10.80,8.17,5.60,1.20,7.77,9.69,18.90,0.00,0.00,0.59,1.00,70.60,75.91,4.26,7.54,102.66,87.51,123.80,0.10,1.84,78.84,237.00,11.00,143.00,23.00,2.58
10.00,5.69,22.15,6.40,14.00,2.90,7.90,5.80,9.85,1.50,0.40,3.30,20.11,14.14,16.47,10.73,0.00,0.00,25.60,62.00,6.80,0.00,4.80,4.00,17.76,13.85,10.00,13.66,1.40,13.37,20.43,70.55,2.50,25.90,4.00,16.59,127.95,17.95,29.92,0.60,19.51,19.51,19.51,1.20,124.20,9.00,10.24,3.50,10.80,8.17,5.60,1.20,7.42,9.59,18.90,0.00,0.00,0.43,1.00,69.80,75.03,3.98,7.12,94.15,86.18,125.10,0.10,1.88,71.10,220.70,11.00,109.00,23.00,1.94
