"ETAPA \ GENERADOR","MAJES","CARPAPATA","REPARTICION","PARAMONGA","HUAYCOLORO","LA JOYA","STACRUZ12","HUASAHUASI","RONCADOR","PURMACANA","NIMPERIAL","MAPLE","TACNASOLAR","PANAMERICANASOLAR","PIZARRAS","PIAS","POECHOS2","PE TALARA","PE CUPISNIQUE","ELOR","CURUMUY","POECHOS1","CANCHAYLLO","CHANCAY","RUCUY","RUNATULLOII","RUNATULLOIII","LAGRINGAV","MOQUEGUASOLAR","PQEEOLICOMARCONA","PQEEOLICO3HERMANAS","YANAPAMPA","TABLAZO","POTRERO","CH MARANON","CS RUBI","YARUCAYA","INTIPAMPA","CHHER1","CHANGELI","CHANGELII","CHANGELIII","CTB DONA CATALINA","WAYRAI","CHZANA","8AGOSTO","RENOVANDESH1","EL CARMEN","CT CANA BRAVA","CT SAN JACINTO","CH MANTA","CTB CALLAO","HUAMBOS","DUNA","CT TALLANCA","SANTA ROSA 1","SANTA ROSA 2","CSF YARUCAYA","TUPURI","CE PUNTA LOMITASBL1","CE PUNTA LOMITASBL2","PTALOMITASEXPBL1","PTALOMITASEXPBL2","CSCLEMESI","PE SAN JUAN","WAYRAEXP","CS CARHUAQUERO","CH HUALLIN","CS MATARANI","CS SAN MARTIN","ANASHIRONI"
11.00,14.91,20.36,15.00,14.00,4.20,0.00,3.00,4.90,3.00,0.40,3.40,14.00,15.76,15.45,7.00,0.00,10.00,17.20,0.00,3.20,10.68,15.53,2.20,18.45,16.00,3.50,5.50,2.80,13.10,15.90,45.00,2.30,26.50,5.70,13.11,117.65,17.86,25.60,0.60,5.00,5.20,5.20,2.40,19.10,7.50,11.00,20.00,3.00,10.80,8.21,7.90,2.40,16.03,17.01,18.90,0.00,0.00,1.17,1.00,37.70,53.00,4.60,3.70,87.13,64.10,27.90,0.40,1.15,66.88,221.75,6.00
12.00,14.91,20.39,14.00,14.00,4.20,0.00,3.00,4.90,3.00,0.40,3.40,14.00,15.68,15.41,7.00,0.00,10.00,17.10,0.00,3.00,10.68,15.53,2.20,18.45,16.00,3.50,5.50,2.80,13.22,16.20,47.60,2.30,26.40,5.70,13.11,117.95,17.86,26.20,0.60,5.00,5.20,5.20,2.40,22.90,7.50,11.00,20.00,3.00,10.80,8.21,7.90,2.40,15.87,16.99,18.90,0.00,0.00,1.19,1.00,44.60,57.50,5.20,4.20,87.45,66.80,32.30,0.40,1.17,67.12,225.86,6.00
13.00,14.84,19.93,11.20,14.00,4.20,0.00,3.00,4.90,3.00,0.40,3.40,14.00,15.67,15.45,4.00,0.00,10.00,17.20,0.00,3.00,10.68,15.53,2.20,18.45,16.00,3.50,5.50,2.80,13.34,16.50,50.40,2.30,26.20,5.70,13.11,118.96,17.86,27.50,0.60,5.00,5.20,5.20,2.40,32.10,7.50,11.00,20.00,3.00,10.80,8.21,7.90,2.40,15.77,16.99,18.90,0.00,0.00,1.18,1.00,51.30,61.40,5.80,4.70,87.62,69.60,44.20,0.40,1.19,67.19,224.17,6.00
14.00,14.60,19.54,7.20,14.00,4.20,0.00,3.00,4.90,3.00,0.40,3.40,14.00,15.73,15.56,4.00,0.00,10.00,17.30,0.00,3.00,10.68,15.53,2.20,18.45,16.00,3.50,5.50,2.80,13.48,16.80,52.40,2.30,26.00,5.70,13.11,119.85,17.86,29.50,0.60,5.00,5.20,5.20,2.40,40.90,7.50,11.00,20.00,3.00,10.80,8.21,7.90,2.40,15.84,17.12,18.90,0.00,0.00,1.17,1.00,53.10,63.70,5.90,5.00,88.09,72.30,54.20,0.40,1.18,67.18,217.26,6.00
15.00,14.12,19.51,3.70,14.00,4.20,0.00,3.00,4.90,3.00,0.40,3.40,14.00,15.84,15.61,4.00,0.00,10.00,17.40,0.00,3.00,10.68,15.53,2.20,18.45,16.00,3.50,5.50,2.80,13.56,17.10,54.30,2.30,25.90,5.70,13.11,120.84,17.86,30.60,0.60,5.00,5.20,5.20,2.40,48.40,7.50,11.00,20.00,3.00,10.80,8.21,7.90,2.40,15.93,17.21,18.90,0.00,0.00,1.17,1.00,53.30,65.30,5.90,5.10,88.14,75.00,58.80,0.30,1.17,67.13,220.44,6.00
16.00,13.52,19.26,1.20,14.00,4.20,0.00,3.00,4.90,3.00,0.40,3.40,14.00,15.98,15.65,4.00,0.00,10.00,17.20,0.00,0.00,10.68,15.53,2.20,18.45,16.00,3.50,5.50,2.80,13.63,17.30,55.50,2.30,25.80,5.70,13.11,121.67,17.86,30.20,0.60,5.00,5.20,5.20,2.40,56.10,7.50,11.00,20.00,3.00,10.80,8.21,7.90,2.40,16.07,17.24,18.90,0.00,0.00,0.99,1.00,53.10,66.40,6.20,5.40,88.26,77.10,64.30,0.20,1.20,66.82,233.62,6.00
17.00,12.84,19.11,0.10,14.00,4.20,0.00,3.00,4.90,3.00,0.40,3.40,14.00,15.81,15.64,4.00,0.00,10.00,16.90,0.00,0.00,10.68,15.53,2.20,18.45,16.00,3.50,5.50,2.80,13.62,17.40,56.40,2.30,25.80,5.70,13.11,121.96,17.86,25.40,0.60,5.00,5.20,5.20,2.40,64.60,7.50,11.00,20.00,3.00,10.80,8.21,7.90,2.40,16.14,17.26,18.90,0.00,0.00,0.96,1.00,52.80,67.30,6.50,5.60,88.17,79.10,72.40,0.20,1.31,66.01,240.39,6.00
18.00,11.98,19.36,0.00,14.00,4.20,0.00,3.00,4.90,3.00,0.40,3.40,14.00,15.25,15.52,4.00,0.00,10.00,16.90,0.00,0.00,10.68,15.53,2.20,18.45,16.00,3.50,5.50,2.80,13.41,17.90,57.70,2.30,25.90,5.70,13.11,120.83,17.86,8.60,0.60,5.00,5.20,5.20,2.40,74.20,7.50,11.00,20.00,3.00,10.80,8.21,7.90,2.40,15.99,17.29,18.90,0.00,0.00,0.90,1.00,54.30,69.10,6.70,5.90,87.03,80.80,81.00,0.10,1.28,64.31,240.39,6.00
19.00,11.03,19.46,0.00,14.00,4.20,0.00,3.00,4.90,3.00,0.40,3.40,14.00,13.80,15.08,7.00,0.00,10.00,17.10,0.00,0.00,10.68,15.53,2.20,18.45,16.00,3.50,5.50,2.80,12.79,18.50,59.10,2.30,25.90,5.70,13.11,113.89,17.86,0.00,0.60,5.00,5.20,5.20,2.40,86.50,7.50,11.00,20.00,3.00,10.80,8.21,7.90,2.40,15.86,17.27,18.90,0.00,0.00,0.76,1.00,56.50,71.10,6.80,6.30,83.17,82.40,90.80,0.10,1.36,57.39,229.39,6.00
20.00,10.06,18.89,0.00,14.00,4.20,0.00,3.00,4.90,3.00,0.40,3.40,14.00,9.19,13.71,7.00,0.00,10.00,16.90,0.00,0.00,10.68,15.53,2.20,18.45,16.00,3.50,5.50,2.80,10.99,18.60,59.30,2.30,26.00,5.70,13.11,81.11,17.86,0.00,0.60,5.00,5.20,5.20,2.40,96.20,7.50,11.00,20.00,3.00,10.80,8.21,7.90,2.40,15.77,17.13,18.90,0.00,0.00,0.55,1.00,59.40,73.80,6.80,6.30,68.02,83.30,98.30,0.10,1.38,44.77,195.76,6.00
