"ETAPA \ GENERADOR","MAJES","CARPAPATA","REPARTICION","PARAMONGA","HUAYCOLORO","LA JOYA","STACRUZ12","HUASAHUASI","RONCADOR","PURMACANA","NIMPERIAL","MAPLE","TACNASOLAR","PANAMERICANASOLAR","PIZARRAS","PIAS","POECHOS2","PE TALARA","PE CUPISNIQUE","ELOR","CURUMUY","POECHOS1","CANCHAYLLO","CHANCAY","RUCUY","RUNATULLOII","RUNATULLOIII","LAGRINGAV","MOQUEGUASOLAR","PQEEOLICOMARCONA","PQEEOLICO3HERMANAS","YANAPAMPA","TABLAZO","POTRERO","CH MARANON","CS RUBI","YARUCAYA","INTIPAMPA","CHHER1","CHANGELI","CHANGELII","CHANGELIII","CTB DONA CATALINA","WAYRAI","CHZANA","8AGOSTO","EL CARMEN","CT CANA BRAVA","CT SAN JACINTO","CH MANTA","CTB CALLAO","HUAMBOS","DUNA","CT TALLANCA","CSF YARUCAYA","TUPURI","CE PUNTA LOMITASBL1","CE PUNTA LOMITASBL2","PTALOMITASEXPBL1","PTALOMITASEXPBL2","CSCLEMESI","PE SAN JUAN","WAYRAEXP","CS CARHUAQUERO","CH HUALLIN","CS MATARANI","CS SAN MARTIN","CTAGROOLMOS","CSSUNNY","CASAGRANDE","CSCOENERGY","CSEXPANSIONINTIPAMPA","CSSUNNYEXPANSION","WAYRASOLAR"
1.00,6.04,19.92,5.74,13.53,4.20,7.20,3.30,3.90,1.30,0.00,3.40,0.00,3.46,13.02,0.00,3.20,6.40,5.24,13.48,0.00,3.00,7.00,2.50,9.70,18.74,3.00,4.50,1.30,10.99,7.12,29.78,2.00,28.12,3.50,11.36,59.00,14.49,9.72,0.60,2.90,3.40,3.50,1.15,2.53,5.50,4.00,1.80,10.43,7.60,3.80,2.30,13.49,15.08,9.50,0.08,0.41,38.82,14.90,3.17,1.43,42.48,32.18,11.46,0.40,1.34,7.98,39.81,10.63,29.78,12.14,0.07,12.34,0.60,4.16
2.00,9.15,19.82,8.47,13.53,4.20,7.20,3.30,3.90,1.30,0.00,3.40,0.00,3.46,14.55,0.00,3.20,6.40,5.25,15.38,0.00,3.00,7.00,2.50,9.70,18.74,3.00,4.50,1.30,12.08,8.37,33.63,2.00,28.12,3.50,11.36,96.00,14.49,19.09,0.60,2.90,3.40,3.50,1.15,2.38,5.50,4.00,1.80,10.43,7.60,3.80,2.30,12.85,14.76,9.50,0.12,0.41,41.00,18.21,3.76,1.66,69.12,37.39,11.88,0.40,1.32,18.57,96.66,10.63,88.70,12.14,0.13,24.25,16.07,9.09
3.00,10.29,18.80,10.24,13.53,4.20,7.20,3.30,3.90,1.30,0.00,3.40,0.00,6.22,15.10,0.00,3.20,6.40,5.86,17.94,0.00,3.00,7.00,2.50,9.70,18.74,3.00,4.50,1.30,12.50,9.60,36.95,2.00,28.12,3.50,11.35,118.00,14.49,27.43,0.60,2.90,3.40,3.50,1.15,2.23,5.50,4.00,1.80,10.43,7.60,3.80,2.30,15.30,17.45,9.50,0.58,0.41,43.19,23.85,4.34,1.88,84.96,42.51,13.30,0.40,1.31,30.21,172.50,10.63,148.61,12.14,0.19,34.83,46.19,9.19
4.00,12.71,19.52,12.13,13.53,4.20,7.20,3.30,3.90,1.30,0.00,3.40,0.00,6.22,15.11,0.00,3.20,6.40,5.81,19.52,2.30,3.00,7.00,2.50,9.70,18.74,3.00,4.50,1.30,12.45,10.40,39.29,2.00,28.12,3.50,11.35,124.00,14.49,30.59,0.60,2.90,3.40,3.50,1.15,11.59,5.50,4.00,1.80,10.43,7.60,3.80,2.30,14.66,17.13,9.50,0.79,0.41,45.38,33.44,4.92,2.11,89.28,47.70,16.71,0.40,1.30,40.49,214.99,10.63,174.50,12.14,0.24,38.86,74.95,9.38
5.00,13.56,21.34,13.42,13.53,4.20,7.20,3.30,3.90,1.20,0.00,3.40,0.00,9.14,15.19,0.00,3.20,6.40,6.17,21.57,3.20,3.00,7.00,2.50,9.70,18.74,3.00,4.50,1.30,12.54,11.63,42.07,2.00,28.12,3.50,11.36,126.00,14.49,31.18,0.60,2.90,3.40,3.50,1.15,13.94,5.50,4.00,1.80,10.43,7.60,3.80,2.30,17.05,19.15,9.50,0.98,0.41,55.26,53.51,6.65,3.32,90.72,50.94,21.13,0.30,1.28,54.53,223.43,10.63,181.25,12.14,0.30,39.60,84.61,9.79
6.00,15.11,19.83,14.80,13.53,4.20,7.20,3.30,3.90,1.20,0.00,3.40,0.00,9.14,15.24,0.00,3.20,6.40,5.64,26.33,3.30,3.00,7.00,2.50,9.70,18.74,3.00,4.50,1.30,12.57,12.27,44.35,2.00,28.12,3.50,11.36,126.00,14.49,31.31,0.60,2.90,3.40,3.50,1.15,23.79,5.50,4.00,1.80,10.43,7.60,3.80,2.30,16.40,18.83,9.50,1.10,0.41,57.45,64.31,7.24,3.55,90.72,56.51,25.55,0.20,1.27,59.61,223.37,10.63,180.71,12.14,0.33,39.77,89.50,9.88
7.00,15.65,19.95,15.58,13.53,4.20,7.20,3.30,3.90,1.20,0.00,3.40,0.00,12.78,15.27,0.00,3.20,6.40,6.22,32.65,3.30,3.00,7.00,2.50,9.70,18.74,3.00,4.50,1.30,12.58,13.66,46.76,2.00,28.12,3.50,11.39,126.00,14.49,31.19,0.60,2.90,3.40,3.50,1.15,28.84,5.50,4.00,1.80,10.43,7.60,3.80,2.30,18.09,19.75,9.50,1.20,0.41,59.63,75.11,7.81,3.77,90.72,62.27,29.96,0.20,1.26,63.59,223.44,10.63,179.63,12.14,0.36,39.61,89.03,9.85
8.00,16.26,19.67,16.21,13.53,4.20,7.20,3.30,3.90,1.20,0.00,3.40,0.00,12.78,15.36,3.10,3.20,6.40,6.73,35.85,3.30,3.00,7.00,2.50,9.70,18.74,3.00,4.50,1.30,12.63,14.62,48.95,2.00,28.12,3.50,11.41,126.00,14.49,30.92,0.60,2.90,3.40,3.50,1.15,29.61,5.50,4.00,1.80,10.43,7.60,3.80,2.30,17.80,19.53,9.50,1.22,0.41,61.23,75.75,8.08,3.90,90.72,65.47,33.38,0.10,1.25,66.61,223.01,10.63,178.26,12.14,0.37,39.27,88.26,9.85
9.00,16.47,19.42,16.48,13.53,4.20,7.20,3.30,3.90,1.20,0.00,3.40,0.00,13.46,15.38,3.10,3.20,6.40,9.07,44.38,3.50,3.00,7.00,2.50,9.70,18.74,3.00,4.50,1.30,12.63,15.04,49.28,2.00,28.12,3.50,11.44,126.00,14.49,30.60,0.60,2.90,3.40,3.50,1.15,33.44,5.50,4.00,1.80,10.43,7.60,3.80,2.30,18.91,19.98,9.50,1.21,0.41,62.61,76.33,8.22,3.98,90.72,66.65,36.80,0.10,1.25,68.53,222.65,10.63,177.00,12.14,0.38,38.87,87.41,9.86
10.00,16.11,18.99,16.35,13.53,4.20,7.20,3.30,3.90,1.20,0.00,3.40,0.00,13.46,15.64,3.10,3.20,6.40,10.05,48.44,3.50,3.00,7.00,2.50,9.70,18.74,3.00,4.50,1.30,12.82,15.35,50.80,2.00,28.12,3.50,11.47,126.00,14.49,30.29,0.60,2.90,3.40,3.50,1.15,36.69,5.50,4.00,1.80,10.43,7.60,3.80,2.30,18.78,19.79,9.50,1.23,0.41,63.98,76.90,8.35,4.07,90.72,67.98,53.79,0.10,1.24,69.34,222.78,10.63,175.08,12.14,0.39,38.47,85.61,9.94
11.00,15.99,18.96,16.19,13.53,4.20,7.20,3.30,3.90,1.20,0.00,3.40,0.00,12.59,15.67,3.10,5.30,6.40,13.69,43.86,3.70,3.00,7.00,2.50,9.70,18.74,3.00,4.50,1.30,12.82,15.70,51.21,2.00,28.12,3.50,11.49,126.00,14.49,30.30,0.60,2.90,3.40,3.50,1.15,39.64,5.50,4.00,1.80,10.43,7.60,3.80,2.30,18.64,19.61,9.50,1.22,0.41,65.35,77.48,8.49,4.16,90.72,67.18,68.44,0.10,1.23,68.90,223.96,10.63,173.17,12.14,0.39,38.48,83.51,10.02
12.00,14.71,18.79,15.33,13.53,4.20,7.20,3.30,3.90,1.20,0.00,3.40,0.00,12.59,15.72,3.10,6.40,6.40,14.79,48.29,3.70,3.00,7.00,2.50,9.70,18.74,3.00,4.50,1.30,12.87,16.45,52.55,2.00,28.12,3.50,11.48,127.00,14.49,30.42,0.60,2.90,3.40,3.50,1.15,37.49,5.50,4.00,1.80,10.43,7.60,3.80,2.30,18.51,19.43,9.50,1.22,0.41,66.72,78.05,8.63,4.25,91.44,68.31,74.09,0.10,1.21,67.36,224.76,10.63,171.60,12.14,0.40,38.63,81.50,10.07
13.00,14.27,18.35,14.66,13.53,4.20,7.20,3.30,3.90,1.20,0.00,3.40,0.00,10.59,15.79,3.10,6.40,6.40,14.99,54.74,3.90,3.00,7.00,2.50,9.70,18.74,3.00,4.50,1.30,12.91,16.97,53.81,2.00,28.12,3.50,11.48,127.00,14.49,30.57,0.60,2.90,3.40,3.50,1.15,43.65,5.50,4.00,1.80,10.43,7.60,3.80,2.30,18.38,19.25,9.50,1.22,0.41,60.40,69.36,7.62,3.35,91.44,69.45,80.74,0.00,1.21,64.63,225.71,10.63,168.23,12.14,0.41,38.83,77.57,10.11
