"ETAPA \ GENERADOR","MAJES","CARPAPATA","REPARTICION","PARAMONGA","HUAYCOLORO","LA JOYA","STACRUZ12","HUASAHUASI","RONCADOR","PURMACANA","NIMPERIAL","MAPLE","TACNASOLAR","PANAMERICANASOLAR","PIZARRAS","PIAS","POECHOS2","PE TALARA","PE CUPISNIQUE","ELOR","CURUMUY","POECHOS1","CANCHAYLLO","CHANCAY","RUCUY","RUNATULLOII","RUNATULLOIII","LAGRINGAV","MOQUEGUASOLAR","PQEEOLICOMARCONA","PQEEOLICO3HERMANAS","YANAPAMPA","TABLAZO","POTRERO","CH MARANON","CS RUBI","YARUCAYA","INTIPAMPA","CHHER1","CHANGELI","CHANGELII","CHANGELIII","CTB DONA CATALINA","WAYRAI","CHZANA","8AGOSTO","EL CARMEN","CT CANA BRAVA","CT SAN JACINTO","CH MANTA","CTB CALLAO","HUAMBOS","DUNA","CT TALLANCA","SANTA ROSA 1","SANTA ROSA 2","CSF YARUCAYA","TUPURI","CE PUNTA LOMITASBL1","CE PUNTA LOMITASBL2","PTALOMITASEXPBL1","PTALOMITASEXPBL2","CSCLEMESI","PE SAN JUAN","WAYRAEXP","CS CARHUAQUERO","CH HUALLIN","CS MATARANI","CS SAN MARTIN","CTAGROOLMOS","CSSUNNY","CASAGRANDE","CSCOENERGY","CSINTIPAMPAEXP"
11.00,10.90,14.58,10.91,0.00,4.20,8.30,8.00,8.00,1.78,0.00,2.50,0.00,17.07,18.07,12.00,0.00,5.60,19.78,69.03,0.60,4.00,8.00,4.00,17.37,9.50,11.00,15.00,1.40,14.92,20.32,73.42,2.40,25.00,8.00,16.59,143.51,17.07,38.92,0.60,19.51,19.51,19.51,1.20,124.42,7.50,19.51,4.20,9.00,4.14,4.30,2.40,11.15,13.56,18.90,0.00,0.00,0.70,1.00,84.53,86.24,4.60,7.55,107.05,90.69,125.51,0.10,2.00,79.89,252.40,11.00,143.00,11.00,0.31,42.22
12.00,9.59,14.37,8.85,0.00,4.20,8.30,8.00,8.00,1.78,0.00,2.50,0.00,15.16,17.60,12.00,0.00,5.60,19.84,70.05,0.00,4.00,8.00,4.00,17.37,9.50,11.00,15.00,1.40,14.43,19.95,72.91,2.40,25.10,8.00,16.59,141.24,17.07,36.20,0.60,19.51,19.51,19.51,1.20,125.30,7.50,19.51,4.20,9.00,4.14,4.30,2.40,10.30,12.68,18.90,0.00,0.00,0.59,1.00,84.92,87.62,4.30,7.37,102.97,88.99,127.15,0.10,2.00,78.93,252.40,11.00,109.00,11.00,0.28,41.63
13.00,6.99,14.38,2.96,0.00,4.20,8.30,8.00,8.00,1.78,0.00,2.50,0.00,11.71,16.58,12.00,0.00,5.60,19.58,71.26,0.00,4.00,8.00,4.00,17.37,9.50,11.00,15.00,1.40,13.63,19.83,72.22,2.40,25.30,8.00,16.59,132.51,17.07,32.36,0.60,19.51,19.51,19.51,1.20,125.43,7.50,19.51,4.20,9.00,4.14,4.30,2.40,9.51,11.72,18.90,0.00,0.00,0.43,1.00,85.11,89.25,3.91,7.14,95.70,85.45,126.12,0.10,2.00,76.27,252.40,11.00,55.00,11.00,0.24,36.53
14.00,3.30,14.16,0.15,0.00,4.20,8.30,8.00,8.00,1.78,0.00,2.50,0.00,5.28,14.53,12.00,0.00,5.60,18.86,71.79,0.00,4.00,8.00,4.00,17.37,9.50,11.00,15.00,1.40,12.03,19.80,71.16,2.40,25.70,8.00,16.59,99.34,17.07,24.91,0.60,19.51,19.51,19.51,1.20,125.43,7.50,19.51,4.20,9.00,4.14,4.30,2.40,8.63,10.90,18.90,0.00,0.00,0.37,1.00,83.68,89.46,3.69,6.80,80.39,82.83,125.36,0.10,2.00,65.57,238.94,11.00,2.00,11.00,0.19,31.44
15.00,1.23,14.36,0.00,0.00,4.20,8.30,8.00,8.00,1.78,0.00,2.50,0.00,0.23,10.43,12.00,0.00,5.60,16.72,70.26,0.00,4.00,8.00,4.00,17.37,9.50,11.00,15.00,1.40,8.36,20.05,69.97,2.40,25.80,8.00,16.59,58.39,17.07,13.44,0.60,19.51,19.51,19.51,1.20,124.99,7.50,19.51,4.20,9.00,4.14,4.30,2.40,7.72,10.14,18.90,0.00,0.00,0.25,1.00,77.46,85.48,3.53,6.44,53.46,82.74,125.40,0.00,2.00,38.20,148.92,11.00,1.00,11.00,0.13,23.39
16.00,0.28,13.94,0.00,0.00,4.20,8.30,8.00,8.00,1.78,0.00,2.50,0.00,0.00,4.96,12.00,0.00,5.60,14.72,68.47,0.00,4.00,8.00,4.00,17.37,9.50,11.00,15.00,1.40,3.20,20.23,68.92,2.40,25.90,8.00,16.59,26.32,17.07,5.07,0.60,19.51,19.51,19.51,1.20,124.03,7.50,19.51,4.20,9.00,4.14,4.30,2.40,7.03,9.65,18.90,0.00,0.00,0.09,1.00,71.99,81.90,3.02,5.53,23.71,83.48,124.09,0.00,2.00,13.54,35.72,11.00,0.00,11.00,0.08,15.34
17.00,0.04,13.98,0.00,0.00,4.20,8.30,8.00,8.00,1.78,0.00,2.50,0.00,0.00,1.88,12.00,0.00,5.60,13.12,65.88,0.00,4.00,15.41,4.00,17.37,9.50,11.00,15.00,1.40,0.73,20.22,67.90,2.40,26.10,8.00,16.59,7.69,17.07,1.35,0.60,19.51,19.51,19.51,1.20,121.55,7.50,19.51,4.20,9.00,4.14,4.30,2.40,6.42,9.25,18.90,0.00,0.00,0.04,1.00,68.80,79.53,2.38,4.44,6.71,86.68,118.74,0.00,2.00,3.75,8.90,11.00,0.00,11.00,0.04,8.07
18.00,0.00,14.08,0.00,0.00,4.20,8.30,8.00,8.00,1.78,0.00,2.50,0.00,0.00,0.22,12.00,0.00,5.60,11.61,62.33,6.90,4.00,15.41,4.00,17.37,9.50,11.00,15.00,1.40,0.01,20.27,64.61,2.40,26.30,8.00,16.59,0.43,17.07,0.04,0.60,19.51,19.51,19.51,1.20,117.28,7.50,19.51,4.20,9.00,4.14,4.30,2.40,5.92,8.84,18.90,0.00,0.00,0.00,1.00,66.47,78.06,2.10,3.81,0.24,88.88,111.41,0.00,2.00,0.13,0.62,11.00,0.00,11.00,0.00,0.80
19.00,0.00,14.45,0.00,0.00,4.20,8.30,8.00,8.00,1.78,0.00,2.50,0.00,0.00,0.00,12.00,0.00,5.60,10.38,55.88,8.10,4.00,15.41,4.00,17.37,9.50,11.00,15.00,1.40,0.00,20.52,60.55,2.40,26.50,8.00,16.59,0.00,17.07,0.00,0.60,19.51,19.51,19.51,1.20,107.63,7.50,19.51,4.20,9.00,4.14,4.30,2.40,5.47,8.42,18.90,0.00,0.00,0.00,1.00,66.77,79.28,1.94,3.34,0.00,88.05,98.15,0.00,2.00,0.00,0.00,11.00,0.00,11.00,0.00,0.40
20.00,0.00,14.20,0.00,0.00,4.20,8.30,8.00,8.00,1.78,0.00,2.50,0.00,0.00,0.00,12.00,0.00,5.60,9.34,50.25,8.10,4.00,15.41,4.00,17.37,9.50,11.00,15.00,1.40,0.00,20.59,58.00,2.40,26.60,8.00,16.59,0.00,17.07,0.00,0.60,19.51,19.51,19.51,1.20,96.58,7.50,19.51,4.20,9.00,4.14,4.30,2.40,5.03,7.82,18.90,0.00,0.00,0.00,1.00,66.96,80.03,1.93,3.11,0.00,87.39,84.28,0.00,2.00,0.00,0.00,11.00,0.00,11.00,0.00,0.00
21.00,0.00,14.04,0.00,0.00,4.20,8.30,8.00,8.00,1.78,0.00,2.50,0.00,0.00,0.00,12.00,0.00,5.60,8.87,47.05,8.10,4.00,15.41,4.00,17.37,9.50,11.00,15.00,1.40,0.00,20.17,55.95,2.40,26.80,8.00,16.59,0.00,17.07,0.00,0.60,19.51,19.51,19.51,1.20,81.36,7.50,19.51,4.20,9.00,4.14,4.30,2.40,4.60,7.17,18.90,0.00,0.00,0.00,1.00,66.80,79.36,1.96,2.95,0.00,87.23,68.52,0.00,2.00,0.00,0.00,11.00,0.00,11.00,0.00,0.00
22.00,0.00,14.25,0.00,0.00,4.20,8.30,8.00,8.00,1.78,0.00,2.50,0.00,0.00,0.00,12.00,0.00,5.60,8.34,44.16,8.10,4.00,15.41,4.00,17.37,9.50,11.00,15.00,1.40,0.00,19.71,54.91,2.40,26.80,8.00,16.59,0.00,17.07,0.00,0.60,19.51,19.51,19.51,1.20,67.71,7.50,19.51,4.20,9.00,4.14,4.30,2.40,4.38,7.03,18.90,0.00,0.00,0.00,1.00,66.08,78.35,1.95,2.78,0.00,86.38,54.96,0.00,2.00,0.00,0.00,11.00,0.00,11.00,0.00,0.00
23.00,0.00,14.20,0.00,0.00,4.20,8.30,8.00,8.00,1.78,0.00,2.50,0.00,0.00,0.00,12.00,0.00,5.60,7.59,42.18,8.10,4.00,15.41,4.00,17.37,9.50,11.00,15.00,1.40,0.00,19.16,54.20,2.40,26.80,8.00,16.59,0.00,17.07,0.00,0.60,19.51,19.51,19.51,1.20,58.75,7.50,19.51,4.20,9.00,4.14,4.30,2.40,4.24,7.05,18.90,0.00,0.00,0.00,1.00,63.70,76.27,1.92,2.61,0.00,83.43,47.99,0.00,2.00,0.00,0.00,11.00,0.00,11.00,0.00,0.00
24.00,0.00,14.09,0.00,0.00,4.20,8.30,8.00,8.00,1.78,0.00,2.50,0.00,0.00,0.00,12.00,0.00,5.60,7.05,40.19,8.00,4.00,15.41,4.00,17.37,9.50,11.00,15.00,1.40,0.00,18.68,52.01,2.40,26.90,8.00,16.59,0.00,17.07,0.00,0.60,19.51,19.51,19.51,1.20,52.19,7.50,19.51,4.20,9.00,4.14,4.30,2.40,4.69,7.93,18.90,0.00,0.00,0.00,1.00,60.48,73.50,1.77,2.40,0.00,80.68,42.88,0.00,2.00,0.00,0.00,11.00,0.00,11.00,0.00,0.00
25.00,0.00,14.35,0.00,0.00,4.20,8.30,8.00,8.00,1.78,0.00,2.50,0.00,0.00,0.00,12.00,0.00,5.60,7.10,38.21,5.90,4.00,15.41,4.00,17.37,9.50,11.00,15.00,1.40,0.00,18.42,49.33,2.40,26.80,8.00,16.59,0.00,17.07,0.00,0.60,19.51,19.51,19.51,1.20,52.83,7.50,19.51,4.20,9.00,4.14,4.30,2.40,5.34,9.08,18.90,0.00,0.00,0.00,1.00,54.74,68.65,1.59,2.17,0.00,78.48,43.37,0.00,2.00,0.00,0.00,11.00,0.00,11.00,0.00,0.00
26.00,0.00,15.26,0.00,0.00,4.20,8.30,8.00,8.00,1.78,0.00,2.50,0.00,0.00,0.00,12.00,0.00,5.60,7.30,36.12,5.40,4.00,15.41,4.00,17.37,9.50,11.00,15.00,1.40,0.00,18.04,47.10,2.40,26.70,8.00,16.59,0.00,17.07,0.00,0.60,19.51,19.51,19.51,1.20,53.64,7.50,19.51,4.20,9.00,4.14,4.30,2.40,6.02,9.91,18.90,0.00,0.00,0.00,1.00,49.94,64.62,1.44,2.02,0.00,75.98,44.26,0.00,2.00,0.00,0.00,11.00,0.00,11.00,0.00,0.00
27.00,0.00,14.68,0.00,0.00,4.20,8.30,8.00,8.00,1.78,0.00,2.50,0.00,0.00,0.00,12.00,0.00,5.60,7.96,33.69,0.90,4.00,15.41,4.00,17.37,9.50,11.00,15.00,1.40,0.00,17.27,45.02,2.40,26.80,8.00,16.59,0.00,17.07,0.00,0.60,19.51,19.51,19.51,1.20,54.96,7.50,19.51,4.20,9.00,4.14,4.30,2.40,6.70,10.61,18.90,0.00,0.00,0.00,1.00,47.94,63.04,1.31,1.90,0.00,72.60,46.36,0.00,2.00,0.00,0.00,11.00,0.00,11.00,0.00,0.00
28.00,0.00,14.60,0.00,0.00,4.20,8.30,8.00,8.00,1.78,0.00,2.50,0.00,0.00,0.00,12.00,0.00,5.60,8.76,31.50,0.00,4.00,15.41,4.00,17.37,9.50,11.00,15.00,1.40,0.00,16.58,43.70,2.40,26.80,8.00,16.59,0.00,17.07,0.00,0.60,19.51,19.51,19.51,1.20,56.23,7.50,19.51,4.20,9.00,4.14,4.30,2.40,7.07,10.91,18.90,0.00,0.00,0.00,1.00,46.03,61.44,1.25,1.68,0.00,69.74,48.80,0.00,2.00,0.00,0.00,11.00,0.00,11.00,0.00,0.00
