"ETAPA \ GENERADOR","CALLAHUANCA","HUAMPANI","MOYOPAMPA","MANTARO","RESTITUCION","OROYA","PACHACHACA","YAUPI","HUANCHOR","PARIAC","YANANGO","CHARCANI IV","CHARCANI V","ARICOTA I","ARICOTA II","MACHUPICCHU","SAN GABAN II","YUNCAN","CAHUA","MALPASO","CANON DEL PATO","GALLITO CIEGO","ARCATA","CHARCANI 123","SANTA TERESA","QUITARACSA","PCH CHAGLLA","CH CARHUAQUERO IV","HUANZA","MCH CERRO DEL AGUILA","CARHUAC","CHAGLLA G1","CHAGLLA G2","HUINCO G1","HUINCO G2","HUINCO G3","HUINCO G4","CERRO DEL AGUILA G1","CERRO DEL AGUILA G2","CERRO DEL AGUILA G3","CH CANA BRAVA","CHIMAY G1","CHIMAY G2","MATUCANA G1","MATUCANA G2","LA VIRGEN","CARHUAQUERO G1","CARHUAQUERO G2","CARHUAQUERO G3","CHEVES G1","CHEVES G2","PLATANAL G1","PLATANAL G2","CHSANGABANIII","CH ANASHIRONI","CH RENOVANDES"
1.00,65.98,27.44,67.46,261.82,85.59,3.14,0.00,110.91,16.94,0.00,17.00,14.99,105.51,6.83,3.75,164.71,112.91,106.36,10.62,18.00,174.03,32.68,4.42,6.88,88.12,0.00,6.39,9.00,85.48,9.76,19.87,0.00,143.59,26.67,67.42,68.21,20.51,0.00,80.01,0.00,5.67,75.28,53.66,44.38,31.88,30.00,27.66,27.55,27.54,43.62,0.00,80.00,0.00,204.20,8.60,20.35
2.00,70.29,29.23,67.46,297.88,97.38,3.14,0.00,110.91,16.94,0.00,17.00,14.99,117.30,6.83,3.75,164.71,112.91,123.17,12.03,18.00,174.39,32.68,4.42,6.88,88.12,0.00,6.39,9.00,85.48,9.76,19.87,0.00,143.59,26.67,67.42,68.21,20.51,0.00,106.66,0.00,5.67,75.28,53.66,46.23,43.55,30.00,30.82,30.70,30.70,43.62,0.00,80.00,0.00,204.20,8.60,20.35
3.00,69.71,28.99,67.46,280.80,91.80,3.14,0.00,110.91,16.94,0.00,17.00,14.99,111.41,6.83,3.75,164.71,112.91,119.13,11.05,18.00,174.25,32.68,4.42,6.88,88.12,0.00,6.39,9.00,85.48,9.76,19.87,0.00,143.59,26.67,67.42,68.21,20.51,0.00,89.50,0.00,5.67,75.28,53.66,45.44,37.65,30.00,30.82,30.70,30.70,43.62,0.00,80.00,0.00,204.20,8.60,20.35
4.00,67.38,28.02,67.46,217.41,71.07,3.14,0.00,110.91,16.94,0.00,17.00,14.99,109.95,6.83,3.75,164.71,112.91,98.22,11.16,18.00,174.22,32.68,4.42,6.88,88.12,0.00,6.39,9.00,85.48,9.76,19.87,0.00,143.59,20.51,67.42,68.21,26.67,0.00,72.46,0.00,5.67,75.28,76.67,44.99,34.90,30.00,26.76,26.65,26.65,43.62,0.00,80.00,0.00,204.20,8.60,20.35
5.00,66.15,27.51,67.46,214.28,70.05,3.14,0.00,110.91,16.94,0.00,17.00,14.99,110.11,6.83,3.75,164.71,112.91,94.30,11.05,18.00,174.03,32.68,4.42,6.88,88.12,0.00,6.39,9.00,85.48,9.76,19.87,0.00,143.59,26.67,67.42,68.21,20.51,0.00,72.46,0.00,5.67,75.28,53.66,44.44,32.15,30.00,26.41,26.30,26.30,21.81,21.81,60.01,59.99,204.20,8.60,20.35
6.00,71.43,29.70,67.46,248.28,81.16,3.14,0.00,110.91,16.94,0.00,17.00,14.99,114.16,6.83,3.75,164.71,112.91,133.36,19.65,18.00,174.42,32.68,4.42,6.88,88.12,0.00,6.39,9.00,85.48,9.76,19.87,0.00,0.00,26.67,67.42,68.21,20.51,0.00,80.00,0.00,5.67,75.28,58.83,46.55,46.10,30.00,30.82,30.70,30.69,0.00,43.62,60.01,59.99,204.20,8.60,20.35
7.00,65.98,27.44,67.46,599.25,195.90,3.14,0.00,110.91,16.94,0.00,17.00,14.99,15.38,6.83,3.75,164.71,112.91,92.69,10.62,6.17,174.03,32.68,4.42,6.88,88.12,0.00,6.39,9.00,0.00,9.76,0.00,0.00,0.00,20.51,67.42,68.21,26.67,0.00,72.46,0.00,2.12,75.28,53.66,43.86,29.78,30.00,11.09,11.09,0.00,43.62,0.00,60.01,59.99,204.20,8.60,20.35
8.00,72.37,30.10,67.46,599.25,195.90,3.14,0.00,110.91,16.94,0.00,17.00,14.99,15.38,6.83,3.75,164.71,112.91,92.69,11.05,18.00,174.22,32.68,4.42,6.88,88.12,0.00,6.39,9.00,30.32,9.76,7.05,0.00,0.00,26.67,67.42,68.21,20.51,0.00,72.46,0.00,2.89,75.28,53.66,46.53,45.91,30.00,0.00,17.07,17.07,43.62,0.00,60.01,59.99,204.20,8.60,20.35
9.00,54.43,30.10,67.46,599.25,195.90,3.14,0.00,110.91,16.94,0.00,17.00,14.99,15.39,6.83,3.75,164.71,112.91,92.69,11.05,18.00,174.33,32.68,4.42,6.88,88.12,0.00,6.39,9.00,78.80,9.76,18.32,0.00,0.00,26.67,67.42,68.21,20.51,0.00,72.46,0.00,3.60,75.28,53.66,47.01,0.00,30.00,0.00,22.49,22.49,21.81,21.81,85.02,84.98,204.20,8.60,20.35
10.00,47.30,30.10,67.46,599.25,195.90,3.14,0.00,110.91,16.94,0.00,17.00,14.99,15.67,6.83,3.75,164.71,112.91,92.69,11.40,18.00,174.12,32.68,4.42,6.88,88.12,0.00,6.39,9.00,82.80,9.76,19.25,0.00,0.00,23.41,67.42,68.21,23.41,0.00,72.46,0.00,3.80,75.28,53.66,28.95,0.00,30.00,24.06,23.98,0.00,43.62,0.00,80.01,79.99,204.20,8.60,20.35
