"ETAPA \ GENERADOR","MAJES","CARPAPATA","REPARTICION","PARAMONGA","HUAYCOLORO","LA JOYA","STACRUZ12","HUASAHUASI","RONCADOR","PURMACANA","NIMPERIAL","MAPLE","TACNASOLAR","PANAMERICANASOLAR","PIZARRAS","PIAS","POECHOS2","PE TALARA","PE CUPISNIQUE","ELOR","CURUMUY","POECHOS1","CANCHAYLLO","CHANCAY","RUCUY","RUNATULLOII","RUNATULLOIII","LAGRINGAV","MOQUEGUASOLAR","PQEEOLICOMARCONA","PQEEOLICO3HERMANAS","YANAPAMPA","TABLAZO","POTRERO","CH MARANON","CS RUBI","YARUCAYA","INTIPAMPA","CHHER1","CHANGELI","CHANGELII","CHANGELIII","CTB DONA CATALINA","WAYRAI","CHZANA","8AGOSTO","EL CARMEN","CT CANA BRAVA","CT SAN JACINTO","CH MANTA","CTB CALLAO","HUAMBOS","DUNA","CT TALLANCA","SANTA ROSA 1","SANTA ROSA 2","CSF YARUCAYA","TUPURI","CE PUNTA LOMITASBL1","CE PUNTA LOMITASBL2","PTALOMITASEXPBL1","PTALOMITASEXPBL2","CSCLEMESI","PE SAN JUAN","WAYRAEXP","CS CARHUAQUERO","CH HUALLIN","CS MATARANI","CS SAN MARTIN","CTAGROOLMOS","CSSUNNY","CTCASA GRANDE","CSINTIPAMPAEXP"
1.00,0.00,16.37,0.00,14.00,2.90,7.80,5.80,4.90,1.40,0.40,3.30,20.24,0.00,0.00,14.63,0.00,0.00,25.26,16.54,0.00,0.00,4.80,3.60,17.76,13.85,10.00,13.66,1.40,0.00,16.22,46.54,2.10,27.60,5.00,13.17,0.00,17.95,0.00,0.60,19.51,19.51,19.51,1.20,37.40,9.80,10.24,3.50,10.80,7.92,5.80,1.20,3.95,6.81,18.90,0.00,0.00,0.00,1.00,28.81,47.69,1.40,1.90,0.00,46.91,33.21,0.00,1.92,0.00,0.00,11.00,0.00,23.00,0.00
2.00,0.01,16.40,0.03,14.00,2.90,7.80,5.80,4.90,1.40,0.40,3.30,20.24,0.06,0.03,14.63,0.00,0.00,24.79,17.65,0.00,0.00,4.80,3.60,17.76,13.85,10.00,13.66,1.40,0.00,15.80,44.58,2.10,27.60,5.00,13.17,0.54,17.95,0.21,0.60,19.51,19.51,19.51,1.20,35.77,9.80,10.24,3.50,10.80,7.92,5.80,1.20,3.83,6.74,18.90,0.00,0.00,0.00,1.00,30.62,48.14,1.34,1.80,0.55,48.63,32.42,0.00,1.92,0.10,0.00,11.00,0.00,23.00,0.00
3.00,0.20,16.60,0.68,14.00,2.90,7.80,5.80,4.90,1.40,0.40,3.30,20.24,0.97,1.12,14.63,0.00,0.00,24.32,18.69,0.00,0.00,4.80,3.60,17.76,13.85,10.00,13.66,1.40,0.63,15.38,42.35,2.10,27.40,5.00,13.17,17.04,17.95,3.63,0.60,19.51,19.51,19.51,1.20,35.21,9.80,10.24,3.50,10.80,7.92,5.80,1.20,3.64,6.32,18.90,0.00,0.00,0.00,1.00,32.28,48.54,1.15,1.57,18.52,50.24,32.53,0.00,1.92,7.19,13.93,11.00,37.00,23.00,0.00
4.00,0.83,16.51,1.80,14.00,2.90,7.80,5.80,4.90,1.40,0.40,3.30,20.24,2.34,3.56,14.63,0.00,0.00,23.85,19.51,2.10,0.00,4.80,3.60,17.76,13.85,10.00,13.66,1.40,3.44,15.22,41.06,2.10,27.30,5.00,13.17,48.66,17.95,10.99,0.60,19.51,19.51,19.51,1.20,33.47,9.80,10.24,3.50,10.80,7.92,5.80,1.20,3.43,5.77,18.90,0.00,0.00,0.00,1.00,33.46,48.77,0.91,1.30,43.29,51.49,32.18,0.00,1.88,24.09,42.89,11.00,75.00,23.00,0.06
5.00,2.30,16.80,2.78,14.00,2.90,7.80,5.80,4.90,1.40,0.40,3.30,20.24,5.18,7.41,14.63,0.00,0.00,23.20,21.72,3.20,0.00,4.80,3.60,17.76,13.85,10.00,13.66,1.40,7.05,15.18,39.95,2.10,27.40,5.00,13.17,83.61,17.95,19.86,0.60,19.51,19.51,19.51,1.20,31.33,9.80,10.24,3.50,10.80,7.92,5.80,1.20,3.63,6.35,18.90,0.00,0.00,0.03,1.00,33.46,47.89,0.80,1.20,67.82,53.56,31.67,0.00,1.88,46.47,84.22,11.00,128.00,23.00,0.12
6.00,4.31,17.13,4.39,14.00,2.90,7.80,5.80,4.90,1.40,0.40,3.30,20.24,12.00,10.95,14.63,0.00,0.00,22.49,26.59,3.40,0.00,4.80,3.60,17.76,13.85,10.00,13.66,1.40,10.31,15.27,39.99,2.10,27.30,5.00,13.17,107.40,17.95,27.11,0.60,19.51,19.51,19.51,1.20,29.38,9.80,10.24,3.50,10.80,7.92,5.80,1.20,3.98,7.30,18.90,0.00,0.00,0.05,1.00,33.47,45.96,0.74,1.15,83.86,58.11,32.57,0.00,1.88,60.51,132.24,11.00,180.00,23.00,0.18
7.00,6.64,17.05,6.58,14.00,2.90,7.80,5.80,4.90,1.20,0.40,3.30,20.24,16.04,12.57,14.63,0.00,0.00,21.92,31.45,3.30,0.00,4.80,3.60,17.76,13.85,10.00,13.66,1.40,11.53,15.40,40.50,2.10,27.20,5.00,13.17,116.71,17.95,30.72,0.60,19.51,19.51,19.51,1.20,27.49,9.80,10.24,3.50,10.80,7.92,5.80,1.20,3.98,6.87,18.90,0.00,0.00,0.06,1.00,33.47,44.03,0.76,1.31,90.05,62.67,33.97,0.00,1.88,67.80,169.05,11.00,190.00,23.00,0.25
8.00,8.75,17.14,8.19,14.00,2.90,7.80,5.80,4.90,1.20,0.40,3.30,20.24,17.42,14.81,14.63,0.00,0.00,21.41,33.66,3.70,0.00,4.80,3.60,17.76,13.85,10.00,13.66,1.40,12.68,15.20,41.13,2.10,27.20,5.00,13.17,122.23,17.95,32.37,0.60,19.51,19.51,19.51,1.20,28.24,9.80,10.24,3.50,10.80,7.92,5.80,1.20,3.87,5.97,18.90,0.00,0.00,0.09,1.00,33.47,43.15,0.82,1.54,93.85,64.74,34.51,0.10,1.84,71.23,196.80,11.00,199.00,23.00,0.37
9.00,10.50,17.09,9.31,14.00,2.90,7.80,5.80,4.90,1.20,0.40,3.30,20.24,18.02,16.22,14.63,0.00,0.00,21.06,38.83,3.90,0.00,4.80,3.60,17.76,13.85,10.00,13.66,1.40,13.69,14.89,41.84,2.10,27.10,5.00,13.17,125.92,17.95,33.43,0.60,19.51,19.51,19.51,1.20,29.88,9.80,10.24,3.50,10.80,7.92,5.80,1.20,4.69,6.84,18.90,0.00,0.00,0.44,1.00,37.61,46.83,1.17,1.81,96.59,67.98,34.77,0.20,1.84,73.00,211.19,11.00,203.00,23.00,0.49
10.00,11.83,16.72,10.52,14.00,2.90,7.80,5.80,4.90,1.20,0.40,3.30,20.24,17.52,16.46,14.63,0.00,0.00,20.78,45.11,4.00,0.00,4.80,3.60,17.76,13.85,10.00,13.66,1.40,14.03,14.70,43.40,2.10,26.90,5.00,13.17,128.52,17.95,34.37,0.60,19.51,19.51,19.51,1.20,32.67,9.80,10.24,3.50,10.80,7.92,5.70,1.20,5.83,8.29,18.90,0.00,0.00,0.59,1.00,43.91,51.60,1.62,2.09,99.33,68.36,38.49,0.20,1.88,74.16,216.01,11.00,207.00,23.00,0.62
11.00,13.03,16.33,11.73,14.00,2.90,7.80,5.80,4.90,1.20,0.40,3.30,20.24,17.02,16.42,14.63,0.00,0.00,20.23,51.75,5.50,0.00,4.80,3.60,17.76,13.85,10.00,13.66,1.40,14.18,14.56,45.27,2.10,26.80,5.00,13.17,130.46,17.95,35.00,0.60,19.51,19.51,19.51,1.20,35.85,9.80,10.24,3.50,10.80,7.92,5.70,1.20,6.36,8.95,18.90,0.00,0.00,0.74,1.00,50.92,56.73,2.02,2.65,101.74,67.76,43.37,0.30,1.84,75.43,220.97,11.00,209.00,23.00,0.74
12.00,13.98,15.59,13.07,14.00,2.90,7.80,5.80,4.90,1.20,0.40,3.30,20.24,17.37,16.52,14.63,0.00,0.00,19.59,57.42,5.40,0.00,4.80,3.60,17.76,13.85,10.00,13.66,1.40,14.25,15.04,48.25,2.10,26.60,5.00,13.17,131.66,17.95,35.22,0.60,19.51,19.51,19.51,1.20,45.31,9.80,10.24,3.50,10.80,7.92,5.70,1.20,6.69,9.35,18.90,0.00,0.00,0.83,1.00,55.02,60.57,2.42,3.29,102.93,69.96,53.35,0.30,1.84,76.73,224.37,11.00,210.00,23.00,0.86
13.00,14.66,15.25,14.39,14.00,2.90,7.80,5.80,4.90,1.20,0.40,3.30,20.24,17.73,16.55,14.63,0.00,0.00,19.72,62.74,5.30,0.00,4.80,3.60,17.76,13.85,10.00,13.66,1.40,14.23,15.74,51.61,2.10,26.40,5.00,13.17,131.92,17.95,35.21,0.60,19.51,19.51,19.51,1.20,56.86,9.80,10.24,3.50,10.80,7.92,5.70,1.20,7.72,10.28,18.90,0.00,0.00,0.90,1.00,58.14,63.99,2.87,4.14,103.39,73.06,65.04,0.30,1.84,77.62,225.51,11.00,209.00,23.00,0.99
14.00,14.78,14.60,15.15,14.00,2.90,7.80,5.80,4.90,1.20,0.40,3.30,20.24,17.49,16.34,14.63,0.00,0.00,20.11,67.15,5.10,0.00,4.80,3.60,17.76,13.85,10.00,13.66,1.40,14.05,16.58,55.40,2.10,26.40,5.00,13.17,129.07,17.95,34.72,0.60,19.51,19.51,19.51,1.20,74.15,9.80,10.24,3.50,10.80,7.92,5.70,1.20,8.98,11.39,18.90,0.00,0.00,0.92,1.00,61.40,67.19,3.34,5.06,102.06,76.67,78.61,0.40,1.80,77.54,225.07,11.00,208.00,23.00,1.11
15.00,14.55,13.04,15.23,14.00,2.90,7.80,5.80,4.90,1.20,0.40,3.30,20.24,16.84,16.02,14.63,0.00,0.00,20.66,71.10,5.10,0.00,4.80,3.60,17.76,13.85,10.00,13.66,1.40,13.62,17.46,59.39,2.10,26.30,5.00,13.17,113.87,17.95,33.88,0.60,19.51,19.51,19.51,1.20,93.35,9.80,10.24,3.50,10.80,7.92,5.70,1.20,9.23,11.61,18.90,0.00,0.00,0.91,1.00,64.74,70.34,3.68,5.66,98.87,80.28,92.83,0.40,1.80,76.64,225.12,11.00,208.00,23.00,1.23
16.00,14.69,12.44,15.13,14.00,2.90,7.80,5.80,4.90,1.20,0.40,3.30,20.24,15.43,15.74,14.63,0.00,0.00,21.26,73.42,5.10,0.00,4.80,3.60,17.76,13.85,10.00,13.66,1.40,13.42,18.48,63.22,2.10,26.40,5.00,13.17,115.90,17.95,33.97,0.60,19.51,19.51,19.51,1.20,102.98,9.80,10.24,3.50,10.80,7.92,5.70,1.20,9.14,11.53,18.90,0.00,0.00,0.93,1.00,67.87,72.11,3.99,6.17,95.95,83.56,102.22,0.40,1.84,74.62,225.35,11.00,208.00,23.00,1.23
17.00,14.67,12.45,14.82,14.00,2.90,7.80,5.80,4.90,1.50,0.40,3.30,20.24,13.93,15.46,14.63,0.00,0.00,23.01,75.22,5.10,0.00,4.80,3.60,17.76,13.85,10.00,13.66,1.40,13.29,19.55,66.99,2.10,26.30,5.00,13.17,116.60,17.95,34.04,0.60,19.51,19.51,19.51,1.20,109.42,9.80,10.24,3.50,10.80,7.92,5.70,1.20,8.13,10.51,18.90,0.00,0.00,0.92,1.00,70.94,73.41,4.34,6.83,92.76,86.76,110.01,0.40,1.80,72.15,226.12,11.00,206.00,23.00,1.23
18.00,14.06,12.52,14.29,14.00,2.90,7.80,5.80,4.90,1.50,0.40,3.30,20.24,12.90,15.33,14.63,0.00,0.00,25.14,75.20,5.10,0.00,4.80,3.60,17.76,13.85,10.00,13.66,1.40,13.14,20.13,69.01,2.10,26.10,5.00,13.17,115.32,17.95,33.36,0.60,19.51,19.51,19.51,1.20,113.34,9.80,10.24,3.50,10.80,7.92,5.70,1.20,6.81,9.19,18.90,0.00,0.00,0.92,1.00,73.51,75.05,4.71,7.53,89.73,89.08,115.32,0.30,1.80,69.31,226.82,11.00,204.00,23.00,1.11
