"ETAPA \ GENERADOR","MAJES","CARPAPATA","REPARTICION","PARAMONGA","HUAYCOLORO","LA JOYA","STACRUZ12","HUASAHUASI","RONCADOR","PURMACANA","NIMPERIAL","MAPLE","TACNASOLAR","PANAMERICANASOLAR","PIZARRAS","PIAS","POECHOS2","PE TALARA","PE CUPISNIQUE","ELOR","CURUMUY","POECHOS1","CANCHAYLLO","CHANCAY","RUCUY","RUNATULLOII","RUNATULLOIII","LAGRINGAV","MOQUEGUASOLAR","PQEEOLICOMARCONA","PQEEOLICO3HERMANAS","YANAPAMPA","TABLAZO","POTRERO","CH MARANON","CS RUBI","YARUCAYA","INTIPAMPA","CHHER1","CHANGELI","CHANGELII","CHANGELIII","CTB DONA CATALINA","WAYRAI","CHZANA","8AGOSTO","EL CARMEN","CT CANA BRAVA","CT SAN JACINTO","CH MANTA","CTB CALLAO","HUAMBOS","DUNA","CT TALLANCA","SANTA ROSA 1","SANTA ROSA 2","CSF YARUCAYA","TUPURI","CE PUNTA LOMITASBL1","CE PUNTA LOMITASBL2","PTALOMITASEXPBL1","PTALOMITASEXPBL2","CSCLEMESI","PE SAN JUAN","WAYRAEXP","CS CARHUAQUERO","CH HUALLIN","CS MATARANI","CS SAN MARTIN","CTAGROOLMOS","CSSUNNY","CASAGRANDE","CSCOENERGY","CSEXPANSIONINTIPAMPA"
19.00,12.64,23.70,10.79,14.00,4.20,6.70,12.05,18.85,3.66,0.40,3.40,19.00,13.29,12.48,17.49,0.00,8.40,9.88,27.68,4.90,10.00,5.20,5.00,19.24,19.24,19.44,19.44,1.40,11.14,21.94,70.44,3.10,26.10,19.44,18.17,117.70,17.88,36.41,0.60,19.44,19.44,19.44,2.40,45.00,12.83,19.92,8.20,10.70,8.78,17.49,1.20,13.06,14.69,0.00,0.00,0.00,0.68,1.00,83.88,94.95,3.95,7.69,93.66,100.65,45.00,0.30,2.00,66.96,212.71,11.00,161.95,22.00,0.26,45.26
20.00,13.94,23.67,11.96,14.00,4.20,6.70,12.05,18.85,3.66,0.40,3.40,19.00,14.56,13.62,17.49,0.00,8.40,9.00,32.08,5.60,10.00,5.20,5.00,19.24,19.24,19.44,19.44,1.40,12.22,22.42,73.58,3.10,26.10,19.44,18.17,123.03,17.88,36.96,0.60,19.44,19.44,19.44,2.40,48.00,12.83,19.92,8.20,10.70,8.78,17.49,1.20,13.33,14.91,0.00,0.00,0.00,0.76,1.00,87.85,97.15,4.35,8.46,96.56,103.19,48.00,0.30,2.00,69.21,220.27,11.00,171.11,22.00,0.29,46.92
21.00,15.04,23.76,12.93,14.00,4.20,6.70,12.05,18.85,3.66,0.40,3.40,19.00,15.52,14.80,17.49,0.00,8.40,8.48,37.75,6.00,10.00,5.20,5.00,19.24,19.24,19.44,19.44,1.40,13.19,23.04,76.39,3.10,26.00,19.44,18.17,125.41,17.88,36.91,0.60,19.44,19.44,19.44,2.40,52.00,12.83,19.92,8.20,10.70,8.78,17.49,1.20,13.64,15.15,0.00,0.00,0.00,0.83,1.00,83.23,97.56,2.67,7.41,97.67,104.59,52.00,0.30,2.00,70.60,226.54,11.00,178.07,22.00,0.32,48.59
22.00,15.78,23.74,13.43,14.00,4.20,6.70,12.05,18.85,3.66,0.40,3.40,19.00,14.67,16.15,17.49,0.00,8.40,8.10,43.85,8.10,10.00,5.20,5.00,19.24,19.24,19.44,19.44,1.40,13.69,23.78,78.89,3.10,26.00,19.44,18.17,122.44,17.88,35.77,0.60,19.44,19.44,19.44,2.40,58.00,12.83,19.92,8.20,10.70,8.78,17.49,1.20,13.95,15.40,0.00,0.00,0.00,0.85,1.00,72.83,100.99,2.72,7.99,94.74,105.98,58.00,0.40,2.00,70.26,222.43,11.00,174.68,22.00,0.33,48.57
23.00,16.11,23.77,13.51,14.00,4.20,6.70,12.05,18.85,3.67,0.40,3.40,19.00,12.46,16.89,17.49,0.00,8.40,7.84,50.96,8.10,10.00,5.20,5.00,19.24,19.24,19.44,19.44,1.40,13.76,24.34,80.74,3.10,26.00,19.44,18.17,116.82,17.88,32.23,0.60,19.44,19.44,19.44,2.40,64.00,12.83,19.92,8.20,10.70,8.78,17.49,1.20,14.29,15.56,0.00,0.00,0.00,0.84,1.00,70.17,103.11,2.81,8.78,89.35,106.53,64.00,0.40,2.00,69.44,212.21,11.00,167.75,22.00,0.35,48.55
24.00,16.18,23.84,14.07,14.00,4.20,6.70,12.05,18.85,3.67,0.40,3.40,19.00,10.29,16.99,17.49,0.00,8.40,7.63,58.39,8.00,10.00,5.20,5.00,19.24,19.24,19.44,19.44,1.40,13.59,24.71,81.96,3.10,25.90,19.44,18.17,116.71,17.88,26.41,0.60,19.44,19.44,19.44,2.40,70.00,12.83,19.92,8.20,10.70,8.78,17.49,1.20,14.64,15.68,0.00,0.00,0.00,0.85,1.00,70.30,104.74,2.89,8.51,89.69,107.07,70.00,0.40,2.00,69.74,205.78,11.00,165.49,22.00,0.34,45.95
25.00,15.87,23.73,14.72,14.00,4.20,6.70,12.05,18.85,3.67,0.40,3.40,19.00,8.97,16.72,17.49,0.00,8.40,8.73,62.66,8.00,10.00,5.20,5.00,19.24,19.24,19.44,19.44,1.40,13.18,24.94,83.02,3.10,25.60,19.44,18.17,114.89,17.88,21.18,0.60,19.44,19.44,19.44,2.40,78.00,12.83,19.92,8.20,10.70,8.78,17.49,1.20,14.83,15.81,0.00,0.00,0.00,0.85,1.00,65.25,106.45,2.94,8.76,88.85,106.82,78.00,0.40,2.00,70.15,201.72,11.00,165.62,22.00,0.34,43.35
26.00,14.92,23.79,14.21,14.00,4.20,6.70,12.05,18.85,3.67,0.40,3.40,19.00,7.95,15.80,17.49,0.00,8.40,10.26,65.88,8.00,10.00,5.20,5.00,19.24,19.24,19.44,19.44,1.40,12.30,25.03,83.91,3.10,25.50,19.44,18.17,105.91,17.88,18.99,0.60,19.44,19.44,19.44,2.40,86.00,12.83,19.92,8.20,10.70,8.78,17.49,1.20,14.95,15.94,0.00,0.00,0.00,0.84,1.00,60.60,108.14,3.01,9.35,82.18,106.58,86.00,0.30,2.00,69.21,197.28,11.00,166.10,22.00,0.32,35.63
27.00,13.51,23.62,12.95,14.00,4.20,6.70,12.05,18.85,3.67,0.40,3.40,19.00,6.88,14.64,17.49,0.00,8.40,10.36,66.28,7.50,10.00,5.20,5.00,19.24,19.24,19.44,19.44,1.40,10.88,25.07,84.55,3.10,25.20,19.44,18.17,90.26,17.88,17.61,0.60,19.44,19.44,19.44,2.40,94.00,12.83,19.92,8.20,10.70,8.78,17.49,1.20,14.89,15.95,0.00,0.00,0.00,0.84,1.00,67.06,106.99,3.06,8.90,73.39,105.99,94.00,0.20,2.00,66.84,190.87,11.00,160.56,22.00,0.31,27.90
28.00,12.06,23.81,10.85,14.00,4.20,6.70,12.05,18.85,3.67,0.40,3.40,19.00,5.17,13.61,17.49,0.00,8.40,9.99,65.74,4.90,10.00,5.20,5.00,19.24,19.24,19.44,19.44,1.40,9.47,25.04,84.94,3.10,25.10,19.44,18.17,80.02,17.88,14.78,0.60,19.44,19.44,19.44,2.40,100.00,12.83,19.92,8.20,10.70,8.78,17.49,1.20,14.77,15.91,0.00,0.00,0.00,0.71,1.00,73.25,104.80,3.11,8.66,67.49,105.40,100.00,0.20,2.00,63.09,179.82,11.00,143.63,22.00,0.28,21.73
