"ETAPA \ GENERADOR","MAJES","CARPAPATA","REPARTICION","PARAMONGA","HUAYCOLORO","LA JOYA","STACRUZ12","HUASAHUASI","RONCADOR","PURMACANA","NIMPERIAL","MAPLE","TACNASOLAR","PANAMERICANASOLAR","PIZARRAS","PIAS","POECHOS2","PE TALARA","PE CUPISNIQUE","ELOR","CURUMUY","POECHOS1","CANCHAYLLO","CHANCAY","RUCUY","RUNATULLOII","RUNATULLOIII","LAGRINGAV","MOQUEGUASOLAR","PQEEOLICOMARCONA","PQEEOLICO3HERMANAS","YANAPAMPA","TABLAZO","POTRERO","CH MARANON","CS RUBI","YARUCAYA","INTIPAMPA","CHHER1","CHANGELI","CHANGELII","CHANGELIII","CTB DONA CATALINA","WAYRAI","CHZANA","8AGOSTO","RENOVANDESH1","EL CARMEN","CT CANA BRAVA","CT SAN JACINTO","CH MANTA","CTB CALLAO","HUAMBOS","DUNA","CT TALLANCA","SANTA ROSA 1","SANTA ROSA 2","CSF YARUCAYA","TUPURI","CE PUNTA LOMITASBL1","CE PUNTA LOMITASBL2","PTALOMITASEXPBL1","PTALOMITASEXPBL2","CSCLEMESI","PE SAN JUAN","WAYRAEXP","CS CARHUAQUERO","CH HUALLIN","CS MATARANI","CS SAN MARTIN","ANASHIRONI"
25.00,14.34,22.05,15.98,14.00,4.20,8.10,4.30,8.90,2.50,0.40,3.30,0.00,15.18,15.08,9.00,0.00,10.00,24.23,61.00,7.90,11.17,15.53,2.50,17.48,13.40,5.30,7.30,2.80,12.80,10.14,35.75,2.20,26.90,14.56,19.11,119.12,17.96,23.90,0.60,5.00,5.50,5.50,1.20,13.00,9.30,10.19,19.42,4.00,10.80,7.85,10.19,2.40,15.27,16.65,18.90,0.00,0.00,1.18,1.00,33.49,44.20,2.93,2.59,88.29,50.92,24.00,0.40,1.15,69.04,225.09,0.00
26.00,14.03,21.82,13.26,14.00,4.20,8.10,4.30,8.90,2.50,0.40,3.30,0.00,15.35,15.13,9.00,0.00,10.00,24.54,66.85,7.90,11.17,15.53,2.50,17.48,13.40,5.30,7.30,2.80,12.92,9.87,35.80,2.20,26.90,14.56,19.11,120.30,17.96,25.09,0.60,5.00,5.50,5.50,1.20,19.00,9.30,10.19,19.42,4.00,10.80,7.85,10.19,2.40,15.73,16.92,18.90,0.00,0.00,1.17,1.00,34.77,43.22,3.44,2.87,88.62,52.03,30.00,0.40,1.14,68.84,232.54,0.00
27.00,13.57,21.68,9.81,14.00,4.20,8.10,4.30,8.90,2.50,0.40,3.30,0.00,15.61,15.20,9.00,0.00,10.00,24.75,68.39,7.90,11.17,15.53,2.50,17.48,13.40,5.30,7.30,2.80,13.03,9.66,35.50,2.20,26.90,14.56,19.11,121.67,17.96,26.77,0.60,5.00,5.50,5.50,1.20,26.00,9.30,10.19,19.42,4.00,10.80,7.85,10.19,2.40,15.79,17.00,18.90,0.00,0.00,1.17,1.00,34.82,42.59,3.52,3.11,88.92,52.58,37.00,0.30,1.16,68.43,235.18,0.00
28.00,13.06,21.76,7.60,14.00,4.20,8.10,4.30,8.90,2.50,0.40,3.30,0.00,15.69,15.25,9.00,0.00,10.00,24.93,68.50,7.90,11.17,15.53,2.50,17.48,13.40,5.30,7.30,2.80,13.13,9.49,34.87,2.20,26.90,14.56,19.11,122.45,17.96,27.67,0.60,5.00,5.50,5.50,1.20,37.00,9.30,10.19,19.42,4.00,10.80,7.85,10.19,2.40,15.72,17.03,18.90,0.00,0.00,0.99,1.00,34.47,42.08,3.45,3.32,88.93,52.95,46.00,0.20,1.12,67.67,233.65,0.00
29.00,12.51,21.50,6.24,14.00,4.20,8.10,4.30,8.90,2.50,0.40,3.30,0.00,15.34,15.21,9.00,0.00,10.00,24.70,67.66,7.90,11.17,15.53,2.50,17.48,13.40,5.30,7.30,2.80,13.10,9.36,34.21,2.20,26.90,14.56,19.11,121.49,17.96,26.44,0.60,5.00,5.50,5.50,1.20,48.00,9.30,10.19,19.42,4.00,10.80,7.85,10.19,2.40,15.72,17.02,18.90,0.00,0.00,0.96,1.00,31.43,40.02,3.33,3.36,87.89,54.08,56.00,0.20,1.08,66.27,235.13,0.00
30.00,11.79,21.61,5.12,14.00,4.20,8.10,4.30,8.90,2.50,0.40,3.30,0.00,14.56,15.06,9.00,0.00,10.00,24.33,66.50,7.90,11.17,15.53,2.50,17.48,13.40,5.30,7.30,2.80,12.82,9.28,33.54,2.20,27.10,14.56,19.11,116.05,17.96,20.66,0.60,5.00,5.50,5.50,1.20,61.00,9.30,10.19,19.42,4.00,10.80,7.85,10.19,2.40,15.75,17.02,18.90,0.00,0.00,0.90,1.00,27.48,37.44,3.18,3.34,83.98,55.47,66.00,0.10,1.15,61.82,235.18,0.00
31.00,11.18,21.16,3.94,14.00,4.20,8.10,4.30,8.90,2.50,0.40,3.30,0.00,12.39,14.48,9.00,0.00,10.00,24.52,66.54,7.90,11.17,15.53,2.50,17.48,13.40,5.30,7.30,2.80,11.83,9.31,33.43,2.20,27.00,14.56,19.11,92.26,17.96,4.74,0.60,5.00,5.50,5.50,1.20,73.00,9.30,10.19,19.42,4.00,10.80,7.85,10.19,2.40,15.74,17.09,18.90,0.00,0.00,0.76,1.00,26.40,37.30,3.08,3.21,73.53,56.74,78.00,0.10,1.25,49.80,221.79,0.00
32.00,10.30,21.29,2.14,13.20,4.20,8.10,4.30,8.90,2.50,0.40,3.30,0.00,5.04,12.75,9.00,0.00,10.00,24.88,66.97,7.90,11.17,15.53,2.50,17.48,13.40,5.30,7.30,2.80,8.14,9.46,33.86,2.20,26.90,14.56,19.11,46.78,17.96,0.00,0.60,5.00,5.50,5.50,1.20,86.00,9.30,10.19,19.42,4.00,10.80,7.85,10.19,2.40,15.73,17.20,18.90,0.00,0.00,0.55,1.00,26.27,37.97,2.99,3.05,44.72,57.97,90.00,0.10,1.25,28.71,183.28,0.00
33.00,9.04,21.38,0.31,13.20,4.20,8.10,4.30,8.90,2.50,0.40,3.30,0.00,0.21,7.55,9.00,0.00,10.00,25.30,65.23,7.90,11.17,15.53,2.50,17.48,13.40,5.30,7.30,2.80,2.61,9.75,34.72,2.20,27.00,14.56,19.11,15.99,17.96,0.00,0.60,5.00,5.50,5.50,1.20,97.00,9.30,10.19,19.42,4.00,10.80,7.85,10.19,2.40,15.64,17.25,18.90,0.00,0.00,0.47,1.00,27.40,40.63,3.07,2.92,16.91,60.43,100.00,0.10,1.34,10.68,122.04,0.00
34.00,4.92,21.17,0.00,13.20,4.20,8.10,4.30,8.90,2.50,0.40,3.30,0.00,0.00,1.84,9.00,0.00,10.00,25.74,62.77,7.90,11.17,15.53,2.50,17.48,13.40,5.30,7.30,2.80,0.19,10.19,35.99,2.20,27.10,14.56,19.11,2.55,17.96,0.00,0.60,5.00,5.50,5.50,1.20,106.00,9.30,10.19,19.42,4.00,10.80,7.85,10.19,2.40,15.52,17.29,18.90,0.00,0.00,0.33,1.00,28.95,43.95,3.22,2.78,3.03,63.31,107.00,0.10,1.36,1.91,42.50,0.00
