"ETAPA \ GENERADOR","MAJES","CARPAPATA","REPARTICION","PARAMONGA","HUAYCOLORO","LA JOYA","STACRUZ12","HUASAHUASI","RONCADOR","PURMACANA","NIMPERIAL","MAPLE","TACNASOLAR","PANAMERICANASOLAR","PIZARRAS","PIAS","POECHOS2","PE TALARA","PE CUPISNIQUE","ELOR","CURUMUY","POECHOS1","CANCHAYLLO","CHANCAY","RUCUY","RUNATULLOII","RUNATULLOIII","LAGRINGAV","MOQUEGUASOLAR","PQEEOLICOMARCONA","PQEEOLICO3HERMANAS","YANAPAMPA","TABLAZO","POTRERO","CH MARANON","CS RUBI","YARUCAYA","INTIPAMPA","CHHER1","CHANGELI","CHANGELII","CHANGELIII","CTB DONA CATALINA","WAYRAI","CHZANA","8AGOSTO","RENOVANDESH1","EL CARMEN","CT CANA BRAVA","CT SAN JACINTO","CH MANTA","CTB CALLAO","HUAMBOS","DUNA","CT TALLANCA","SANTA ROSA 1","SANTA ROSA 2","CSF YARUCAYA","TUPURI","CE PUNTA LOMITASBL1","CE PUNTA LOMITASBL2","PTALOMITASEXPBL1","PTALOMITASEXPBL2","CSCLEMESI","PE SAN JUAN","WAYRAEXP","CS CARHUAQUERO","CH HUALLIN","CS MATARANI"
39.00,0.00,22.98,0.00,14.00,4.20,6.90,12.29,16.00,3.60,0.00,3.50,14.00,0.00,0.00,17.56,10.93,7.90,1.88,13.69,8.00,10.93,15.41,5.00,19.32,19.32,19.51,19.51,2.80,0.00,13.73,37.99,3.45,0.00,19.51,19.22,0.00,18.34,0.00,0.60,19.51,19.51,19.51,2.40,97.08,12.88,19.51,0.00,8.40,10.50,7.40,17.56,1.20,5.03,3.72,18.00,1.02,1.66,0.00,1.23,23.89,21.76,1.84,1.64,0.00,38.62,80.28,0.00,2.00,0.00
40.00,0.00,22.95,0.00,14.00,4.20,6.90,12.29,16.00,3.60,0.00,3.50,14.00,0.00,0.00,17.56,10.93,7.90,1.58,14.78,8.00,10.93,15.41,5.00,19.32,19.32,19.51,19.51,2.80,0.00,13.59,37.08,3.45,0.00,19.51,19.22,0.00,18.34,0.00,0.60,19.51,19.51,19.51,2.40,86.20,12.88,19.51,0.00,8.40,10.50,7.40,17.56,1.20,4.42,3.27,18.00,1.02,1.66,0.00,1.23,23.89,21.76,1.84,1.64,0.00,35.97,71.31,0.00,2.00,0.00
41.00,0.00,23.07,0.00,14.00,4.20,6.90,12.29,16.00,3.60,0.00,3.50,14.00,0.00,0.00,17.56,10.93,7.90,1.36,15.55,8.00,10.93,15.41,5.00,19.32,19.32,19.51,19.51,2.80,0.00,13.18,35.55,3.45,0.00,19.51,19.22,0.00,18.34,0.00,0.60,19.51,19.51,19.51,2.40,75.03,12.88,19.51,0.00,8.40,10.50,7.40,17.56,1.20,4.15,3.05,18.00,1.02,1.66,0.00,1.23,23.89,21.76,1.84,1.64,0.00,33.04,59.87,0.00,2.00,0.00
42.00,0.00,23.11,0.00,14.00,4.20,6.90,12.29,16.00,3.60,0.00,3.50,14.00,0.00,0.00,17.56,10.93,7.90,1.16,16.21,8.00,10.93,15.41,5.00,19.32,19.32,19.51,19.51,2.80,0.00,12.68,33.81,3.45,0.00,19.51,19.22,0.00,18.34,0.00,0.60,19.51,19.51,19.51,2.40,63.76,12.88,19.51,0.00,8.40,10.50,7.40,17.56,1.20,4.00,2.89,18.00,1.02,1.66,0.00,1.23,23.89,21.76,1.84,1.64,0.00,30.01,47.62,0.00,2.00,0.00
43.00,0.00,22.99,0.00,14.00,4.20,6.90,12.29,16.00,3.60,0.00,3.50,14.00,0.00,0.00,17.56,10.93,7.90,1.04,16.45,8.00,10.93,15.41,5.00,19.32,19.32,19.51,19.51,2.80,0.00,12.28,32.28,3.45,0.00,19.51,19.22,0.00,18.34,0.00,0.60,19.51,19.51,19.51,2.40,54.86,12.88,19.51,0.00,8.40,10.50,7.40,17.56,1.20,3.64,2.64,18.00,1.02,1.66,0.00,1.23,23.89,21.76,1.84,1.64,0.00,28.02,38.17,0.00,2.00,0.00
44.00,0.00,23.07,0.00,14.00,4.20,6.90,12.29,16.00,3.60,0.00,3.50,14.00,0.00,0.00,17.56,10.93,7.90,0.95,16.54,8.00,10.93,15.41,5.00,19.32,19.32,19.51,19.51,2.80,0.00,11.91,30.83,3.45,0.00,19.51,19.22,0.00,18.34,0.00,0.60,19.51,19.51,19.51,2.40,46.74,12.88,19.51,0.00,8.40,10.50,7.40,17.56,1.20,3.22,2.36,18.00,1.02,1.66,0.00,1.23,23.89,21.76,1.84,1.64,0.00,26.37,29.65,0.00,2.00,0.00
45.00,0.00,23.06,0.00,14.00,4.20,6.90,12.29,16.00,3.60,0.00,3.50,14.00,0.00,0.00,17.56,10.93,7.90,0.95,15.51,8.00,10.93,15.41,5.00,19.32,19.32,19.51,19.51,2.80,0.00,11.61,29.78,3.45,0.00,19.51,19.22,0.00,18.34,0.00,0.60,19.51,19.51,19.51,2.40,39.92,12.88,19.51,0.00,8.40,10.50,7.40,17.56,1.20,2.79,2.12,18.00,1.02,1.66,0.00,1.23,17.77,21.59,1.13,0.38,0.00,24.83,25.68,0.00,2.00,0.00
46.00,0.00,23.21,0.00,14.00,4.20,6.90,12.29,16.00,3.60,0.00,3.50,14.00,0.00,0.00,17.56,10.93,7.90,0.98,14.10,8.00,10.93,15.41,5.00,19.32,19.32,19.51,19.51,2.80,0.00,11.34,28.88,3.45,0.00,19.51,19.22,0.00,18.34,0.00,0.60,19.51,19.51,19.51,2.40,33.53,12.88,19.51,0.00,8.40,10.50,7.40,17.56,1.20,2.35,1.89,18.00,1.02,1.66,0.00,1.23,17.77,21.59,1.13,0.38,0.00,23.32,23.24,0.00,2.00,0.00
47.00,0.00,23.23,0.00,14.00,4.20,6.90,12.29,16.00,3.60,0.00,3.50,14.00,0.00,0.00,17.56,10.93,7.90,1.08,11.82,8.00,10.93,15.41,5.00,19.32,19.32,19.51,19.51,2.80,0.00,11.15,27.84,3.45,0.00,19.51,19.22,0.00,18.34,0.00,0.60,19.51,19.51,19.51,2.40,29.07,12.88,19.51,0.00,8.40,10.50,7.40,17.56,1.20,2.14,1.78,18.00,1.02,1.66,0.00,1.23,15.23,17.35,1.13,0.38,0.00,22.13,20.95,0.00,2.00,0.00
48.00,0.00,23.40,0.00,14.00,4.20,6.90,12.29,16.00,3.60,0.00,3.50,14.00,0.00,0.00,17.56,10.93,7.90,1.20,9.27,8.00,10.93,6.10,5.00,19.32,19.32,19.51,19.51,2.80,0.00,10.99,26.76,3.45,0.00,19.51,19.22,0.00,18.34,0.00,0.60,19.51,19.51,19.51,2.40,25.25,12.88,19.51,0.00,8.40,10.50,7.40,17.56,1.20,2.01,1.71,18.00,1.02,1.66,0.00,1.23,15.23,17.35,1.13,0.38,0.00,21.05,18.70,0.00,2.00,0.00
