"ETAPA \ GENERADOR","MAJES","CARPAPATA","REPARTICION","PARAMONGA","HUAYCOLORO","LA JOYA","STACRUZ12","HUASAHUASI","RONCADOR","PURMACANA","NIMPERIAL","MAPLE","TACNASOLAR","PANAMERICANASOLAR","PIZARRAS","PIAS","POECHOS2","PE TALARA","PE CUPISNIQUE","ELOR","CURUMUY","POECHOS1","CANCHAYLLO","CHANCAY","RUCUY","RUNATULLOII","RUNATULLOIII","LAGRINGAV","MOQUEGUASOLAR","PQEEOLICOMARCONA","PQEEOLICO3HERMANAS","YANAPAMPA","TABLAZO","POTRERO","CH MARANON","CS RUBI","YARUCAYA","INTIPAMPA","CHHER1","CHANGELI","CHANGELII","CHANGELIII","CTB DONA CATALINA","WAYRAI","CHZANA","8AGOSTO","EL CARMEN","CT CANA BRAVA","CT SAN JACINTO","CH MANTA","CTB CALLAO","HUAMBOS","DUNA","CT TALLANCA","CSF YARUCAYA","TUPURI","CE PUNTA LOMITASBL1","CE PUNTA LOMITASBL2","PTALOMITASEXPBL1","PTALOMITASEXPBL2","CSCLEMESI","PE SAN JUAN","WAYRAEXP","CS CARHUAQUERO","CH HUALLIN","CS MATARANI","CS SAN MARTIN","CTAGROOLMOS","CSSUNNY","CASAGRANDE","CSCOENERGY","CSEXPANSIONINTIPAMPA","CSSUNNYEXP"
11.00,0.00,23.87,0.00,14.00,4.20,0.00,12.24,19.14,3.60,0.40,3.40,18.00,0.05,0.00,17.49,0.00,8.20,2.80,7.15,8.00,10.00,14.97,4.80,19.05,19.05,19.44,19.44,0.00,0.00,2.74,4.40,3.20,24.80,19.44,18.46,0.01,17.88,0.01,0.60,19.44,19.44,19.44,2.40,4.95,12.83,19.44,8.00,10.80,8.23,17.49,2.40,6.01,9.48,19.00,0.00,1.20,1.45,4.44,0.03,0.03,0.01,3.60,2.06,0.00,2.00,0.00,0.00,11.00,0.00,22.00,0.00,0.00,0.00
12.00,0.00,23.76,0.81,14.00,4.20,0.00,12.24,19.14,3.60,0.40,3.40,18.00,2.21,0.39,17.49,0.00,8.20,2.91,6.40,8.00,10.00,14.97,4.80,19.05,19.05,19.44,19.44,0.00,0.39,2.51,4.30,3.20,24.70,19.44,18.46,8.82,17.88,1.44,0.60,19.44,19.44,19.44,2.40,4.07,12.83,19.44,8.00,10.80,8.23,17.49,2.40,6.41,9.81,19.00,0.00,1.20,1.61,4.50,0.03,0.02,6.69,2.60,2.11,0.00,2.00,3.19,10.54,11.00,3.47,22.00,0.00,1.77,0.00
13.00,0.02,23.90,2.11,14.00,4.20,0.00,12.24,19.14,3.60,0.40,3.40,18.00,3.46,1.56,17.49,0.00,8.20,2.95,6.24,8.00,10.00,14.97,4.80,19.05,19.05,19.44,19.44,0.00,2.01,2.32,3.90,3.20,24.60,19.44,18.46,30.26,17.88,6.03,0.60,19.44,19.44,19.44,2.40,3.69,12.83,19.44,8.00,10.80,8.23,17.49,2.40,7.00,10.26,18.90,0.02,1.20,1.63,4.52,0.02,0.02,22.00,4.60,2.21,0.00,2.00,15.29,47.00,11.00,16.79,22.00,0.01,3.54,0.00
14.00,0.58,23.95,3.44,14.00,4.20,0.00,12.24,19.14,3.60,0.40,3.40,18.00,6.16,3.73,17.49,0.00,8.20,2.96,6.29,8.00,10.00,14.97,4.80,19.05,19.05,19.44,19.44,0.00,4.76,2.15,3.80,3.20,24.50,19.44,18.46,58.95,17.88,12.06,0.60,19.44,19.44,19.44,2.40,3.50,12.83,19.44,8.00,10.80,8.23,17.49,2.40,7.67,10.74,18.90,0.04,0.00,1.65,4.49,0.01,0.04,42.93,6.50,2.33,0.00,2.00,33.10,97.08,11.00,43.92,22.00,0.04,8.72,0.00
15.00,2.93,23.85,5.22,14.00,4.20,0.00,6.60,19.14,3.60,0.40,3.40,18.00,11.41,6.50,17.49,0.00,8.20,2.66,5.83,8.00,10.00,14.97,4.80,19.05,19.05,19.44,19.44,0.00,7.81,2.03,4.20,3.20,24.50,19.44,18.46,84.15,17.88,18.29,0.60,19.44,19.44,19.44,2.40,4.53,12.83,19.44,8.00,10.80,8.23,17.49,2.40,8.46,11.10,18.90,0.05,0.00,1.67,4.43,0.02,0.09,61.33,8.40,2.63,0.00,2.00,50.30,137.62,11.00,83.78,22.00,0.08,13.91,0.00
16.00,6.20,23.95,7.29,14.00,4.20,0.00,6.60,19.14,3.60,0.40,3.40,18.00,14.72,9.07,17.49,0.00,8.20,2.24,5.21,8.00,10.00,14.97,4.80,19.05,19.05,19.44,19.44,0.00,10.06,1.94,4.50,3.20,24.50,19.44,18.46,97.87,17.88,23.00,0.60,19.44,19.44,19.44,2.40,5.97,12.83,19.44,8.00,10.80,8.23,17.49,2.40,9.29,11.40,18.90,0.08,0.00,1.74,4.67,0.02,0.16,71.85,10.20,2.99,0.00,2.00,65.52,191.37,11.00,142.53,22.00,0.12,22.28,14.57
17.00,9.35,23.94,9.46,14.00,4.20,0.00,6.60,19.14,3.60,0.40,3.40,18.00,16.68,11.42,17.49,0.00,8.20,1.99,5.26,8.00,10.00,14.97,4.80,19.05,19.05,19.44,19.44,0.00,11.54,1.81,4.20,3.20,24.40,19.44,18.46,108.76,17.88,26.60,0.60,19.44,19.44,19.44,2.40,4.21,12.83,19.44,8.00,10.80,8.23,17.49,2.40,10.00,11.74,18.90,0.37,0.00,2.55,6.07,0.06,0.31,79.53,11.30,2.93,0.10,2.00,73.34,222.09,11.00,159.03,22.00,0.17,30.65,0.00
18.00,11.92,23.97,11.10,14.00,4.20,0.00,6.60,19.14,3.60,0.40,3.40,18.00,17.77,12.51,17.49,0.00,8.20,1.78,5.54,8.00,10.00,14.97,4.80,19.05,19.05,19.44,19.44,0.00,12.51,1.68,4.10,3.20,24.30,19.44,18.46,111.00,17.88,27.64,0.60,19.44,19.44,19.44,2.40,1.39,12.83,19.44,8.00,10.80,8.23,17.49,2.40,10.68,12.09,18.90,0.50,0.00,3.80,7.93,0.12,0.48,84.27,12.40,2.73,0.20,2.00,75.63,230.96,11.00,168.07,22.00,0.21,24.20,0.00
19.00,14.11,23.68,12.58,14.00,4.20,0.00,6.60,19.14,3.60,0.40,3.40,18.00,18.04,13.24,17.49,0.00,8.20,3.39,9.33,8.00,10.00,14.97,4.80,19.05,19.05,19.44,19.44,0.00,13.16,1.71,4.80,3.20,24.20,19.44,18.46,110.76,17.88,28.12,0.60,19.44,19.44,19.44,2.40,4.68,12.83,19.44,8.00,10.80,8.23,17.49,2.40,11.21,12.31,18.90,0.62,0.00,6.02,10.85,0.24,0.82,67.03,13.40,3.10,0.20,2.00,76.75,238.82,11.00,174.13,22.00,0.26,34.49,0.00
20.00,15.74,23.75,13.72,14.00,4.20,0.00,6.60,19.14,3.60,0.40,3.40,18.00,18.32,13.31,17.49,0.00,8.20,3.39,9.63,8.00,10.00,14.97,4.80,19.05,19.05,19.44,19.44,0.00,13.10,1.79,5.70,3.20,24.00,19.44,18.46,109.30,17.88,22.79,0.60,19.44,19.44,19.44,2.40,10.01,12.83,19.44,8.00,10.80,8.23,17.49,2.40,11.69,12.49,18.90,0.70,0.00,8.21,13.73,0.38,1.22,67.95,13.90,3.65,0.30,2.00,64.87,241.92,11.00,165.74,22.00,0.28,23.96,0.00
