"ETAPA \ GENERADOR","MAJES","CARPAPATA","REPARTICION","PARAMONGA","HUAYCOLORO","LA JOYA","STACRUZ12","HUASAHUASI","RONCADOR","PURMACANA","NIMPERIAL","MAPLE","TACNASOLAR","PANAMERICANASOLAR","PIZARRAS","PIAS","POECHOS2","PE TALARA","PE CUPISNIQUE","ELOR","CURUMUY","POECHOS1","CANCHAYLLO","CHANCAY","RUCUY","RUNATULLOII","RUNATULLOIII","LAGRINGAV","MOQUEGUASOLAR","PQEEOLICOMARCONA","PQEEOLICO3HERMANAS","YANAPAMPA","TABLAZO","POTRERO","CH MARANON","CS RUBI","YARUCAYA","INTIPAMPA","CHHER1","CHANGELI","CHANGELII","CHANGELIII","CTB DONA CATALINA","WAYRAI","CHZANA","8AGOSTO","EL CARMEN","CT CANA BRAVA","CT SAN JACINTO","CH MANTA","CTB CALLAO","HUAMBOS","DUNA","CT TALLANCA","SANTA ROSA 1","SANTA ROSA 2","CSF YARUCAYA","TUPURI","CE PUNTA LOMITASBL1","CE PUNTA LOMITASBL2","PTALOMITASEXPBL1","PTALOMITASEXPBL2","CSCLEMESI","PE SAN JUAN","WAYRAEXP","CS CARHUAQUERO","CH HUALLIN","CS MATARANI","CS SAN MARTIN","CTAGROOLMOS","CSSUNNY","CASAGRANDE","CSCOENERGY","CSINTIPAMPAEXP"
1.00,14.20,21.49,13.59,0.00,2.90,8.10,7.20,9.50,1.78,0.40,2.50,18.00,17.21,17.52,11.66,0.00,5.60,14.70,54.50,0.00,4.00,8.20,4.20,17.30,9.50,11.66,15.55,1.40,14.67,20.22,51.66,2.40,28.12,8.00,17.49,134.93,17.01,39.01,0.60,19.44,19.44,19.44,1.20,2.08,7.50,18.00,4.00,10.80,0.00,5.20,1.20,9.10,10.70,18.00,0.00,0.00,0.84,1.23,33.85,38.84,4.70,3.70,103.73,97.49,3.87,0.30,2.00,69.55,251.32,11.00,185.73,0.00,0.34,49.19
2.00,14.89,21.39,14.95,0.00,2.90,8.10,7.20,9.50,1.78,0.40,2.50,18.00,17.74,17.91,11.66,0.00,5.60,14.90,62.05,0.00,4.00,8.20,4.20,17.30,9.50,11.66,15.55,1.40,14.97,20.66,58.51,2.40,28.12,8.00,17.49,138.72,17.01,39.32,0.60,19.44,19.44,19.44,1.20,5.89,7.50,18.00,4.00,10.80,0.00,5.20,1.20,9.30,11.00,18.00,0.00,0.00,0.86,1.23,50.08,53.94,5.30,4.30,106.37,100.53,17.30,0.40,2.00,72.03,251.89,11.00,190.09,0.00,0.35,49.62
3.00,14.91,20.72,15.36,0.00,2.90,8.10,7.20,9.50,1.78,0.40,2.50,18.00,17.81,18.03,11.66,0.00,5.60,15.40,68.96,1.80,4.00,8.20,4.20,17.30,9.50,11.66,15.55,1.40,15.11,21.11,64.80,2.40,28.12,8.00,17.49,141.54,17.01,39.53,0.60,19.44,19.44,19.44,1.20,23.10,7.50,18.00,4.00,10.80,0.00,5.20,1.20,9.20,11.10,18.00,0.00,0.00,0.85,1.23,65.00,67.82,5.90,4.80,108.32,103.14,26.80,0.40,2.00,73.58,251.88,11.00,186.71,0.00,0.35,50.06
4.00,14.67,20.84,15.53,0.00,2.90,8.10,7.20,9.50,1.78,0.40,2.50,18.00,16.92,18.11,11.66,0.00,5.60,16.40,74.01,3.10,4.00,8.20,4.20,17.30,9.50,11.66,15.55,1.40,15.09,21.49,69.41,2.40,28.12,8.00,17.49,139.22,17.01,39.63,0.60,19.44,19.44,19.44,1.20,40.05,7.50,18.00,4.00,10.80,0.00,5.20,1.20,9.40,11.40,18.00,0.00,0.00,0.86,1.23,75.98,78.03,6.70,5.40,109.44,105.48,38.68,0.40,2.00,74.28,251.97,11.00,185.51,0.00,0.36,49.88
5.00,14.45,20.89,15.44,0.00,2.90,8.10,7.20,9.50,1.78,0.40,2.50,18.00,15.40,18.20,11.66,0.00,5.60,17.50,74.04,2.90,4.00,8.20,4.20,17.30,9.50,11.66,15.55,1.40,15.14,21.77,69.64,2.40,28.12,8.00,17.49,142.62,17.01,39.71,0.60,19.44,19.44,19.44,1.20,66.97,7.50,18.00,4.00,10.80,0.00,5.20,1.20,9.60,11.60,18.00,0.00,0.00,0.86,1.23,77.80,79.84,7.60,5.90,109.87,106.41,54.71,0.40,2.00,74.53,252.09,11.00,187.53,0.00,0.36,49.70
6.00,14.17,20.69,14.84,0.00,2.90,8.10,7.20,9.50,1.78,0.40,2.50,18.00,15.08,18.23,11.66,0.00,5.60,19.00,74.12,2.90,4.00,8.20,4.20,17.30,9.50,11.66,15.55,1.40,15.15,21.66,70.15,2.40,28.12,8.00,17.49,144.20,17.01,39.73,0.60,19.44,19.44,19.44,1.20,83.73,7.50,18.00,4.00,10.80,0.00,5.20,1.20,8.90,10.90,18.00,0.00,0.00,0.85,1.23,81.81,83.81,8.10,6.10,109.89,104.12,81.04,0.30,2.00,74.62,252.19,11.00,189.39,0.00,0.36,49.75
7.00,13.52,20.81,13.65,0.00,2.90,8.10,7.20,9.50,1.78,0.40,2.50,18.00,16.42,18.05,11.66,0.00,5.60,20.50,74.21,2.90,4.00,8.20,4.20,17.30,9.50,11.66,15.55,1.40,14.98,21.46,70.66,2.40,28.12,8.00,17.49,144.17,17.01,39.80,0.60,19.44,19.44,19.44,1.20,97.05,7.50,18.00,4.00,10.80,0.00,5.20,1.20,7.90,10.00,18.00,0.00,0.00,0.85,1.23,85.83,87.79,8.30,6.10,109.53,101.16,95.77,0.20,2.00,74.43,249.83,11.00,189.80,0.00,0.37,49.79
8.00,12.64,20.68,12.66,0.00,2.90,8.10,7.20,9.50,1.78,0.40,2.50,18.00,17.48,17.95,11.66,0.00,5.60,21.60,74.24,3.20,4.00,8.20,4.20,17.30,9.50,11.66,15.55,1.40,14.84,21.16,70.89,2.40,28.12,8.00,17.49,144.06,17.01,39.75,0.60,19.44,19.44,19.44,1.20,109.40,7.50,18.00,4.00,10.80,0.00,5.20,1.20,6.40,7.90,18.00,0.00,0.00,0.72,1.23,87.11,89.19,7.89,5.82,108.97,98.50,108.58,0.20,2.00,74.28,238.36,11.00,189.56,0.00,0.36,46.52
9.00,11.69,20.72,11.08,0.00,2.90,8.10,7.20,9.50,1.78,0.40,2.50,18.00,17.79,17.92,11.66,0.00,5.60,22.50,75.03,3.10,4.00,8.20,4.20,17.30,9.50,11.66,15.55,1.40,14.79,20.85,70.07,2.40,28.12,8.00,17.49,143.74,17.01,39.06,0.60,19.44,19.44,19.44,1.20,116.41,7.50,18.00,4.00,10.80,0.00,5.20,1.20,4.70,5.40,18.00,0.00,0.00,0.70,1.23,86.63,89.79,6.95,5.61,107.73,96.12,115.74,0.10,2.00,74.19,224.88,11.00,189.03,0.00,0.35,43.25
10.00,10.83,21.34,9.19,0.00,2.90,8.10,7.20,9.50,1.78,0.40,2.50,18.00,17.47,17.68,11.66,0.00,5.60,22.40,75.77,3.30,4.00,8.20,4.20,17.30,9.50,11.66,15.55,1.40,14.66,20.77,69.73,2.40,28.12,8.00,17.49,142.50,17.01,37.67,0.60,19.44,19.44,19.44,1.20,123.12,7.50,18.00,4.00,10.80,0.00,5.20,1.20,4.10,4.70,18.00,0.00,0.00,0.65,1.23,87.84,89.99,7.90,6.20,105.86,94.60,121.73,0.10,2.00,72.79,205.79,11.00,187.24,0.00,0.34,42.56
