"ETAPA \ GENERADOR","MAJES","CARPAPATA","REPARTICION","PARAMONGA","HUAYCOLORO","LA JOYA","STACRUZ12","HUASAHUASI","RONCADOR","PURMACANA","NIMPERIAL","MAPLE","TACNASOLAR","PANAMERICANASOLAR","PIZARRAS","PIAS","POECHOS2","PE TALARA","PE CUPISNIQUE","ELOR","CURUMUY","POECHOS1","CANCHAYLLO","CHANCAY","RUCUY","RUNATULLOII","RUNATULLOIII","LAGRINGAV","MOQUEGUASOLAR","PQEEOLICOMARCONA","PQEEOLICO3HERMANAS","YANAPAMPA","TABLAZO","POTRERO","CH MARANON","CS RUBI","YARUCAYA","INTIPAMPA","CHHER1","CHANGELI","CHANGELII","CHANGELIII","CTB DONA CATALINA","WAYRAI","CHZANA","8AGOSTO","EL CARMEN","CT CANA BRAVA","CT SAN JACINTO","CH MANTA","CTB CALLAO","HUAMBOS","DUNA","CT TALLANCA","CSF YARUCAYA","TUPURI","CE PUNTA LOMITASBL1","CE PUNTA LOMITASBL2","PTALOMITASEXPBL1","PTALOMITASEXPBL2","CSCLEMESI","PE SAN JUAN","WAYRAEXP","CS CARHUAQUERO","CH HUALLIN","CS MATARANI","CS SAN MARTIN","CTAGROOLMOS","CSSUNNY","CASAGRANDE","CS INTIPAMPA EXPANSION","CS COENERGY"
1.00,14.66,15.10,13.62,17.00,4.35,8.40,6.00,6.30,1.40,0.00,2.50,0.00,11.00,13.85,14.63,0.00,5.60,20.40,61.70,2.40,4.00,7.00,4.00,10.00,19.00,10.73,14.63,1.40,12.14,12.60,43.30,2.35,28.12,14.00,18.05,99.60,17.95,23.12,0.60,19.51,19.51,19.51,0.00,47.00,8.30,10.00,3.50,10.80,6.64,4.40,2.40,2.40,1.76,18.00,0.91,1.23,54.50,54.50,5.30,4.20,84.70,61.90,66.40,0.40,2.00,72.86,187.90,11.00,184.90,24.00,36.64,0.36
2.00,14.47,14.18,13.43,17.00,4.35,8.40,6.00,6.30,1.50,0.00,2.50,0.00,10.20,13.72,14.63,0.00,5.60,21.80,64.30,3.10,4.00,7.00,4.00,10.00,19.00,10.73,14.63,1.40,12.31,12.50,44.20,2.35,28.12,14.00,18.05,112.40,17.95,22.27,0.60,19.51,19.51,19.51,0.00,61.30,8.30,10.00,3.50,10.80,6.64,4.40,2.40,3.63,3.22,18.00,0.93,1.23,56.20,56.10,5.60,4.40,90.50,61.30,77.40,0.40,2.00,73.57,194.10,11.00,182.00,24.00,36.86,0.35
3.00,14.12,12.40,13.16,17.00,4.35,8.40,6.00,6.30,1.50,0.00,2.50,0.00,10.00,12.99,14.63,0.00,5.60,23.30,66.30,2.70,4.00,7.00,4.00,10.00,19.00,10.73,14.63,1.40,12.00,12.40,44.80,2.35,28.12,14.00,18.05,117.20,17.95,21.97,0.60,19.51,19.51,19.51,0.00,77.50,8.30,10.00,3.50,10.80,6.64,4.40,2.40,5.04,4.87,18.00,0.92,1.23,58.70,58.30,5.90,4.60,92.00,60.40,89.80,0.40,2.00,73.52,199.90,11.00,178.70,24.00,37.07,0.36
4.00,13.49,12.03,12.81,17.00,4.35,8.40,6.00,6.30,1.50,0.00,2.50,0.00,9.80,12.74,14.63,0.00,5.60,24.20,67.60,2.70,4.00,7.00,4.00,10.00,19.00,10.73,14.63,1.40,11.89,12.40,45.10,2.35,28.12,14.00,18.05,103.50,17.95,21.47,0.60,19.51,19.51,19.51,0.00,91.90,8.30,10.00,3.50,10.80,6.64,4.40,2.40,7.03,7.09,18.00,0.92,1.23,59.60,59.60,6.00,4.60,83.80,59.60,99.80,0.30,2.00,73.00,203.60,11.00,177.50,24.00,36.30,0.36
5.00,12.56,12.17,12.25,17.00,4.35,8.40,6.00,6.30,1.50,0.00,2.50,0.00,8.70,13.38,14.63,0.00,5.60,25.00,69.20,2.80,4.00,7.00,4.00,10.00,19.00,10.73,14.63,1.40,11.81,12.40,45.40,2.35,28.12,14.00,18.05,93.50,17.95,20.42,0.60,19.51,19.51,19.51,0.00,105.80,8.30,10.00,3.50,10.80,6.64,4.40,2.40,8.74,8.93,18.00,0.92,1.23,59.40,60.20,6.10,4.50,72.20,58.80,109.10,0.20,2.00,71.49,206.50,11.00,171.20,24.00,35.53,0.36
6.00,11.54,13.06,11.48,17.00,4.35,8.40,6.00,6.30,1.50,0.00,2.50,0.00,6.90,13.08,14.63,0.00,5.60,25.70,70.40,3.00,4.00,7.00,4.00,10.00,19.00,10.73,14.63,1.40,10.94,12.50,45.30,2.35,28.12,14.00,18.05,79.70,17.95,18.76,0.60,19.51,19.51,19.51,0.00,113.10,8.30,10.00,3.50,10.80,6.64,4.40,2.40,9.60,9.64,18.00,0.77,1.23,59.70,61.20,5.90,4.60,61.60,58.30,113.50,0.20,2.00,69.18,193.40,11.00,157.90,24.00,34.51,0.35
7.00,10.14,12.42,10.31,17.00,4.35,8.40,6.00,6.30,1.50,0.00,2.50,0.00,3.90,12.17,14.63,0.00,5.60,26.30,71.30,3.10,4.00,7.00,4.00,10.00,19.00,10.73,14.63,1.40,10.15,12.40,45.20,2.35,28.12,14.00,18.05,68.00,17.95,16.80,0.60,19.51,19.51,19.51,0.00,118.30,8.30,10.00,3.50,10.80,6.64,4.40,2.40,10.34,10.30,18.00,0.75,1.23,60.40,62.50,5.70,4.70,53.40,57.90,116.30,0.10,2.00,66.70,163.90,11.00,143.10,24.00,33.48,0.34
8.00,8.45,12.22,8.77,17.00,4.35,8.40,6.00,6.30,1.50,0.00,2.50,0.00,2.30,10.93,14.63,0.00,5.60,26.60,71.90,3.00,4.00,7.00,4.00,10.00,19.00,10.73,14.63,1.40,9.32,12.50,45.70,2.35,28.12,14.00,18.05,57.60,17.95,14.57,0.60,19.51,19.51,19.51,0.00,121.20,8.30,10.00,3.50,10.80,6.64,4.40,2.40,10.75,10.80,18.00,0.70,1.23,59.50,62.90,5.30,4.60,46.30,57.50,118.60,0.10,2.00,63.16,155.70,11.00,126.80,24.00,30.78,0.31
9.00,6.75,11.46,7.32,17.00,4.35,8.40,6.00,6.30,1.50,0.00,2.50,0.00,1.50,9.42,14.63,0.00,5.60,26.70,72.20,0.00,4.00,7.00,4.00,10.00,19.00,10.73,14.63,1.40,8.16,12.70,46.40,2.35,28.12,14.00,18.05,46.60,17.95,12.61,0.60,19.51,19.51,19.51,0.00,123.50,8.30,10.00,3.50,10.80,6.64,4.40,2.40,11.10,11.25,18.00,0.59,1.23,58.10,63.10,4.80,4.50,37.60,57.00,120.70,0.10,2.00,59.46,153.30,11.00,115.20,24.00,28.07,0.26
10.00,5.15,11.36,4.99,17.00,4.35,8.40,6.00,6.30,1.66,0.00,2.50,0.00,0.80,8.15,14.63,0.00,5.60,26.20,72.90,0.00,4.00,7.00,4.00,10.00,19.00,10.73,14.63,1.40,6.76,13.00,46.80,2.35,28.12,14.00,18.05,32.70,17.95,10.43,0.60,19.51,19.51,19.51,0.00,124.50,8.30,10.00,3.50,10.80,6.64,4.40,2.40,11.25,11.59,18.00,0.43,1.23,55.80,62.70,4.80,4.20,28.40,56.80,121.90,0.10,2.00,54.01,138.50,11.00,99.10,24.00,22.79,0.20
