"ETAPA \ GENERADOR","MAJES","CARPAPATA","REPARTICION","PARAMONGA","HUAYCOLORO","LA JOYA","STACRUZ12","HUASAHUASI","RONCADOR","PURMACANA","NIMPERIAL","MAPLE","TACNASOLAR","PANAMERICANASOLAR","PIZARRAS","PIAS","POECHOS2","PE TALARA","PE CUPISNIQUE","ELOR","CURUMUY","POECHOS1","CANCHAYLLO","CHANCAY","RUCUY","RUNATULLOII","RUNATULLOIII","LAGRINGAV","MOQUEGUASOLAR","PQEEOLICOMARCONA","PQEEOLICO3HERMANAS","YANAPAMPA","TABLAZO","POTRERO","CH MARANON","CS RUBI","YARUCAYA","INTIPAMPA","CHHER1","CHANGELI","CHANGELII","CHANGELIII","CTB DONA CATALINA","WAYRAI","CHZANA","8AGOSTO","EL CARMEN","CT CANA BRAVA","CT SAN JACINTO","CH MANTA","CTB CALLAO","HUAMBOS","DUNA","CT TALLANCA","CSF YARUCAYA","TUPURI","CE PUNTA LOMITASBL1","CE PUNTA LOMITASBL2","PTALOMITASEXPBL1","PTALOMITASEXPBL2","CSCLEMESI","PE SAN JUAN","WAYRAEXP","CS CARHUAQUERO","CH HUALLIN","CS MATARANI","CS SAN MARTIN","CTAGROOLMOS","CSSUNNY","CASAGRANDE","CSCOENERGY","CSEXPANSIONINTIPAMPA"
1.00,0.04,23.87,0.40,14.00,4.20,6.00,11.08,19.14,1.78,0.40,3.30,16.00,0.05,3.58,17.49,0.00,8.00,9.09,39.61,7.50,9.80,15.16,5.00,20.00,19.24,19.44,19.44,1.40,1.23,21.06,67.23,3.46,25.30,19.44,18.46,1.70,17.88,0.84,0.00,19.44,19.44,19.44,2.40,119.50,12.83,19.92,8.20,10.70,8.49,17.49,0.00,3.37,1.27,18.00,0.07,1.00,68.20,91.40,3.67,6.03,6.18,90.20,128.34,0.00,2.00,2.40,6.50,11.00,3.70,22.00,0.03,2.67
2.00,0.00,23.70,0.04,14.00,4.20,6.00,11.08,19.14,1.78,0.40,3.30,16.00,0.00,1.29,17.49,0.00,8.00,7.61,39.02,8.00,9.80,15.16,5.00,20.00,19.24,19.44,19.44,1.40,0.35,21.21,66.16,3.46,25.26,19.44,18.46,0.10,17.88,0.30,0.00,19.44,19.44,19.44,2.40,118.80,12.83,19.92,8.20,10.70,8.49,17.49,0.00,2.85,1.41,18.00,0.04,1.00,64.90,87.20,3.20,5.09,2.29,89.70,126.19,0.00,2.00,0.30,0.60,11.00,0.30,22.00,0.02,1.45
3.00,0.00,23.94,0.00,14.00,4.20,6.00,11.08,19.14,1.78,0.40,3.30,16.00,0.00,0.29,17.49,0.00,8.00,6.33,38.07,8.00,9.80,15.16,5.00,20.00,19.24,19.44,19.44,1.40,0.06,21.18,64.97,3.46,25.34,19.44,18.46,0.00,17.88,0.05,0.00,19.44,19.44,19.44,2.40,117.70,12.83,19.92,8.20,10.70,8.49,17.49,0.00,2.34,1.36,18.00,0.00,1.00,62.90,84.10,2.81,4.31,0.51,89.20,123.26,0.00,2.00,0.00,0.00,11.00,0.00,22.00,0.00,0.24
4.00,0.00,23.88,0.00,14.00,4.20,6.00,11.08,19.14,1.78,0.40,3.30,16.00,0.00,0.00,17.49,0.00,8.00,5.63,36.02,8.00,9.80,15.16,5.00,20.00,19.24,19.44,19.44,1.40,0.00,20.58,63.36,3.46,25.38,19.44,18.46,0.00,17.88,0.00,0.00,19.44,19.44,19.44,2.40,110.40,12.83,19.92,8.20,10.70,8.49,17.49,0.00,1.85,0.77,18.00,0.00,1.00,62.90,82.60,2.65,3.99,0.00,86.20,117.98,0.00,2.00,0.00,0.00,11.00,0.00,22.00,0.00,0.12
5.00,0.00,23.82,0.00,14.00,4.20,6.00,11.08,19.14,1.78,0.40,3.30,16.00,0.00,0.00,17.49,0.00,8.00,5.10,34.18,8.00,9.80,15.16,5.00,20.00,19.24,19.44,19.44,1.40,0.00,19.93,61.46,3.46,25.47,19.44,18.46,0.00,17.88,0.00,0.00,19.44,19.44,19.44,2.40,101.00,12.83,19.92,8.20,10.70,8.49,17.49,0.00,1.53,0.41,18.00,0.00,1.00,63.60,81.80,2.47,3.69,0.00,82.40,110.98,0.00,2.00,0.00,0.00,11.00,0.00,22.00,0.00,0.00
6.00,0.00,23.80,0.00,14.00,4.20,6.00,11.08,19.14,1.78,0.40,3.30,16.00,0.00,0.00,17.49,0.00,8.00,5.09,32.95,8.00,9.80,15.16,5.00,20.00,19.24,19.44,19.44,1.40,0.00,19.12,58.67,3.46,25.55,19.44,18.46,0.00,17.88,0.00,0.00,19.44,19.44,19.44,2.40,90.00,12.83,19.92,8.20,10.70,8.49,17.49,0.00,1.73,0.80,18.00,0.00,1.00,62.20,79.70,2.24,3.39,0.00,79.10,98.83,0.00,2.00,0.00,0.00,11.00,0.00,22.00,0.00,0.00
7.00,0.00,23.90,0.00,14.00,4.20,6.00,11.08,19.14,1.78,0.40,3.30,16.00,0.00,0.00,17.49,0.00,8.00,5.08,31.97,8.00,9.80,15.16,5.00,20.00,19.24,19.44,19.44,1.40,0.00,18.40,55.99,3.46,25.56,19.44,18.46,0.00,17.88,0.00,0.00,19.44,19.44,19.44,2.40,78.40,12.83,19.92,8.20,10.70,8.49,17.49,0.00,1.83,1.10,18.00,0.00,1.00,60.20,77.20,2.00,3.05,0.00,76.00,86.59,0.00,2.00,0.00,0.00,11.00,0.00,22.00,0.00,0.00
8.00,0.00,23.78,0.00,14.00,4.20,6.00,11.08,19.14,1.78,0.40,3.30,16.00,0.00,0.00,17.49,0.00,8.00,5.05,31.70,8.00,9.80,15.16,5.00,20.00,19.24,19.44,19.44,1.40,0.00,17.93,53.65,3.46,25.59,19.44,18.46,0.00,17.88,0.00,0.00,19.44,19.44,19.44,2.40,69.90,12.83,19.92,8.20,10.70,8.49,17.49,0.00,1.65,1.15,18.00,0.00,1.00,57.90,74.50,1.77,2.56,0.00,73.60,74.11,0.00,2.00,0.00,0.00,11.00,0.00,22.00,0.00,0.00
9.00,0.00,23.97,0.00,14.00,4.20,6.00,11.08,19.14,1.78,0.40,3.30,16.00,0.00,0.00,17.49,0.00,8.00,5.00,31.13,8.00,9.80,15.16,5.00,20.00,19.24,19.44,19.44,1.40,0.00,17.46,51.23,3.46,25.49,19.44,18.46,0.00,17.88,0.00,0.00,19.44,19.44,19.44,2.40,62.20,12.83,19.92,8.20,10.70,8.49,17.49,0.00,1.46,1.15,18.00,0.00,1.00,55.90,72.70,1.55,2.08,0.00,71.40,61.48,0.00,2.00,0.00,0.00,11.00,0.00,22.00,0.00,0.00
10.00,0.00,23.89,0.00,14.00,4.20,6.00,11.08,19.14,1.78,0.40,3.30,16.00,0.00,0.00,17.49,0.00,8.00,4.87,29.70,8.00,9.80,15.16,5.00,20.00,19.24,19.44,19.44,1.40,0.00,16.96,48.54,3.46,25.55,19.44,18.46,0.00,17.88,0.00,0.00,19.44,19.44,19.44,2.40,54.50,12.83,19.92,8.20,10.70,8.49,17.49,0.00,1.29,1.05,18.00,0.00,1.00,51.50,69.00,1.36,1.68,0.00,67.20,48.40,0.00,2.00,0.00,0.00,11.00,0.00,22.00,0.00,0.00
