"ETAPA \ GENERADOR","MAJES","CARPAPATA","REPARTICION","PARAMONGA","HUAYCOLORO","LA JOYA","STACRUZ12","HUASAHUASI","RONCADOR","PURMACANA","NIMPERIAL","MAPLE","TACNASOLAR","PANAMERICANASOLAR","PIZARRAS","PIAS","POECHOS2","PE TALARA","PE CUPISNIQUE","ELOR","CURUMUY","POECHOS1","CANCHAYLLO","CHANCAY","RUCUY","RUNATULLOII","RUNATULLOIII","LAGRINGAV","MOQUEGUASOLAR","PQEEOLICOMARCONA","PQEEOLICO3HERMANAS","YANAPAMPA","TABLAZO","POTRERO","CH MARANON","CS RUBI","YARUCAYA","INTIPAMPA","CHHER1","CHANGELI","CHANGELII","CHANGELIII","CTB DONA CATALINA","WAYRAI","CHZANA","8AGOSTO","EL CARMEN","CT CANA BRAVA","CT SAN JACINTO","CH MANTA","CTB CALLAO","HUAMBOS","DUNA","CT TALLANCA","SANTA ROSA 1","SANTA ROSA 2","CSF YARUCAYA","TUPURI","CE PUNTA LOMITASBL1","CE PUNTA LOMITASBL2","PTALOMITASEXPBL1","PTALOMITASEXPBL2","CSCLEMESI","PE SAN JUAN","WAYRAEXP","CS CARHUAQUERO","CH HUALLIN","CS MATARANI","CS SAN MARTIN","CTAGROOLMOS","CSSUNNY","CASAGRANDE","CSCOENERGY","CSEXPANSIONINTIPAMPA"
1.00,14.88,23.79,10.81,14.00,4.20,6.80,10.30,19.14,1.80,0.40,3.40,18.25,16.01,16.34,19.00,0.00,9.00,16.86,21.90,7.50,10.20,15.35,5.00,19.24,19.24,19.44,19.44,1.40,13.48,15.30,42.65,3.50,27.00,19.44,18.17,106.40,9.20,22.82,0.60,20.00,20.00,20.00,2.40,78.40,12.83,19.92,8.20,10.70,7.99,20.00,1.20,4.03,4.75,18.00,0.00,0.00,0.84,1.00,11.20,16.40,1.24,2.16,54.90,68.30,83.60,0.30,2.00,65.59,126.40,11.00,106.20,22.00,0.31,36.71
2.00,13.64,23.63,9.22,14.00,4.20,6.80,10.30,19.14,1.80,0.40,3.40,18.25,16.59,16.20,19.00,0.00,9.00,17.37,23.50,4.90,10.20,15.35,5.00,19.24,19.24,19.44,19.44,1.40,13.21,15.90,46.29,3.50,27.00,19.44,18.17,86.40,9.20,15.35,0.60,20.00,20.00,20.00,2.40,51.80,12.83,19.92,8.20,10.70,7.99,20.00,1.20,4.87,5.69,18.00,0.00,0.00,0.71,1.00,17.90,22.80,1.33,2.60,47.10,72.02,65.80,0.20,2.00,66.30,92.40,11.00,90.00,22.00,0.29,29.40
3.00,12.20,23.65,7.45,14.00,4.20,6.80,10.30,19.14,1.80,0.40,3.40,18.25,17.16,15.99,19.00,0.00,9.00,17.73,25.70,4.90,10.20,15.35,5.00,19.24,19.24,19.44,19.44,1.40,13.07,16.40,49.60,3.50,27.00,19.44,18.17,66.20,9.20,10.15,0.60,20.00,20.00,20.00,2.40,66.90,12.83,19.92,8.20,10.70,7.99,20.00,1.20,5.63,6.39,18.00,0.00,0.00,0.69,1.00,22.80,28.50,1.42,2.96,39.00,75.38,79.70,0.20,2.00,63.95,68.10,11.00,70.80,22.00,0.27,22.08
4.00,10.47,23.51,5.14,14.00,4.20,6.80,10.30,19.14,1.80,0.40,3.40,18.25,16.25,15.49,19.00,0.00,9.00,17.64,29.50,4.90,10.20,15.35,5.00,19.24,19.24,19.44,19.44,1.40,12.51,17.00,51.96,3.50,27.00,19.44,18.17,44.70,9.20,7.49,0.60,20.00,20.00,20.00,2.40,73.40,12.83,19.92,8.20,10.70,7.99,20.00,1.20,6.16,6.35,18.00,0.00,0.00,0.65,1.00,29.10,35.60,1.54,3.10,27.90,77.71,86.30,0.10,2.00,60.80,51.70,11.00,61.20,22.00,0.23,18.18
5.00,8.58,23.83,3.01,14.00,4.20,6.80,10.30,19.14,1.80,0.40,3.40,18.25,14.39,14.61,19.00,0.00,9.00,17.45,31.80,4.90,10.20,15.35,5.00,19.24,19.24,19.44,19.44,1.40,10.98,17.60,54.28,3.50,27.00,19.44,18.17,34.80,9.20,5.99,0.60,20.00,20.00,20.00,2.40,78.90,12.83,19.92,8.20,10.70,7.99,20.00,1.20,6.57,6.21,18.00,0.00,0.00,0.54,1.00,34.00,41.30,1.62,3.20,20.30,80.12,95.90,0.10,2.00,58.78,38.70,11.00,45.30,22.00,0.19,14.29
6.00,6.48,23.73,1.53,14.00,4.20,6.80,10.30,19.14,1.80,0.40,3.40,18.25,12.85,13.57,19.00,0.00,9.00,16.92,33.40,4.80,10.20,15.35,5.00,19.24,19.24,19.44,19.44,1.40,9.55,18.50,56.50,3.50,27.00,19.44,18.17,25.00,9.20,5.42,0.60,20.00,20.00,20.00,2.40,85.20,12.83,19.92,8.20,10.70,7.99,20.00,1.20,6.61,5.77,18.00,0.00,0.00,0.39,1.00,37.70,46.10,1.58,3.21,12.40,82.75,104.00,0.10,2.00,56.01,33.60,11.00,31.10,22.00,0.15,10.27
7.00,4.25,23.67,0.81,14.00,4.20,6.80,10.30,19.14,1.80,0.40,3.40,18.25,10.71,12.62,19.00,0.00,9.00,16.08,32.10,4.70,10.20,15.35,5.00,19.24,19.24,19.44,19.44,1.40,8.53,19.50,58.52,3.50,27.00,19.44,18.17,12.80,9.20,5.29,0.60,20.00,20.00,20.00,2.40,92.90,12.83,19.92,8.20,10.70,7.99,20.00,1.20,6.59,5.40,18.00,0.00,0.00,0.34,1.00,37.00,47.70,1.57,3.23,3.40,84.92,107.30,0.10,2.00,46.32,13.30,11.00,15.90,22.00,0.11,6.24
8.00,2.50,23.85,0.31,14.00,4.20,6.80,10.30,19.14,1.80,0.40,3.40,18.25,5.03,10.49,19.00,0.00,9.00,14.30,31.40,4.70,10.20,15.35,5.00,19.24,19.24,19.44,19.44,1.40,5.95,20.20,59.94,3.50,27.00,19.44,18.17,2.10,9.20,4.58,0.60,20.00,20.00,20.00,2.40,99.90,12.83,19.92,8.20,10.70,7.99,20.00,1.20,6.39,5.22,18.00,0.00,0.00,0.23,1.00,37.50,50.20,1.68,3.28,2.10,85.73,110.50,0.10,2.00,27.54,11.40,11.00,6.80,22.00,0.07,6.72
9.00,1.24,23.80,0.02,14.00,4.20,6.80,10.30,19.14,1.80,0.40,3.40,18.25,0.62,6.57,19.00,0.00,9.00,12.79,33.20,5.40,10.20,15.35,5.00,19.24,19.24,19.44,19.44,1.40,2.77,20.80,61.46,3.50,27.00,19.44,18.17,2.60,9.20,3.02,0.60,20.00,20.00,20.00,2.40,105.70,12.83,19.92,8.20,10.70,7.99,20.00,1.20,6.01,4.72,18.00,0.00,0.00,0.08,1.00,39.90,50.00,1.75,3.27,2.40,86.50,114.00,0.00,2.00,13.43,3.90,11.00,4.60,22.00,0.03,7.19
10.00,0.49,23.84,0.00,14.00,4.20,6.80,10.30,19.14,1.80,0.40,3.40,18.25,0.00,2.78,19.00,0.00,9.00,12.08,34.80,8.00,10.20,15.35,5.00,19.24,19.24,19.44,19.44,1.40,0.98,21.70,63.28,3.50,27.00,19.44,18.17,0.30,9.20,1.33,0.60,20.00,20.00,20.00,2.40,110.90,12.83,19.92,8.20,10.70,7.99,20.00,1.20,5.07,3.26,18.00,0.00,0.00,0.04,1.00,42.60,54.40,1.72,3.07,0.20,87.20,115.50,0.00,2.00,4.89,0.40,11.00,0.50,22.00,0.02,3.75
