"ETAPA \ GENERADOR","CALLAHUANCA","HUAMPANI","MOYOPAMPA","MANTARO","RESTITUCION","OROYA","PACHACHACA","YAUPI","HUANCHOR","PARIAC","YANANGO","CHARCANI IV","CHARCANI V","ARICOTA I","ARICOTA II","MACHUPICCHU","SAN GABAN II","YUNCAN","CAHUA","MALPASO","CANON DEL PATO","GALLITO CIEGO","ARCATA","CHARCANI 123","SANTA TERESA","PCH CHAGLLA","CH CARHUAQUERO IV","HUANZA","MCH CERRO DEL AGUILA","CARHUAC","CHAGLLA G1","CHAGLLA G2","HUINCO G1","HUINCO G2","HUINCO G3","HUINCO G4","CERRO DEL AGUILA G1","CERRO DEL AGUILA G2","CERRO DEL AGUILA G3","CH CANA BRAVA","CHIMAY G1","CHIMAY G2","MATUCANA G1","MATUCANA G2","LA VIRGEN","CARHUAQUERO G1","CARHUAQUERO G2","CARHUAQUERO G3","CHEVES G1","CHEVES G2","PLATANAL G1","PLATANAL G2","CHSANGABANIII","CH ANASHIRONI","CH RENOVANDES"
1.00,48.41,0.00,67.13,635.03,206.59,7.75,8.13,110.37,18.44,0.63,26.42,12.50,50.00,5.13,2.82,163.91,112.36,132.71,44.06,35.37,171.71,14.58,1.97,6.88,87.69,6.39,9.98,42.36,6.70,9.80,0.00,0.00,41.00,0.00,59.04,0.00,165.43,177.88,165.49,0.00,74.91,76.30,32.49,47.86,53.06,30.67,30.56,30.55,40.27,40.29,37.63,0.00,203.20,19.42,20.25
2.00,48.41,0.00,67.13,635.03,206.59,7.75,8.13,110.37,18.44,0.63,26.42,11.27,50.00,5.13,2.82,163.91,112.36,132.71,44.06,35.37,171.71,14.58,1.97,6.88,87.69,6.39,9.98,41.88,6.70,9.69,0.00,0.00,49.24,0.00,49.40,0.00,164.18,176.56,164.25,0.00,74.91,76.30,38.82,40.62,53.06,30.67,30.56,30.55,40.34,40.36,33.93,0.00,203.20,19.42,20.25
3.00,48.41,0.00,67.13,635.03,206.59,7.75,8.13,110.37,18.44,0.63,26.42,10.64,50.00,5.13,2.82,163.91,112.36,132.71,44.06,35.37,171.71,14.58,1.97,6.88,87.69,6.39,9.98,42.21,6.70,9.76,0.00,0.00,49.47,0.00,49.63,0.00,163.98,176.34,164.04,0.00,74.91,76.30,39.66,39.65,53.06,30.67,30.56,30.55,40.18,40.19,34.29,0.00,203.20,19.42,20.25
4.00,48.41,0.00,67.13,635.03,206.59,7.75,8.13,110.37,18.44,0.63,26.42,14.92,50.00,5.13,2.82,163.91,112.36,132.71,44.06,35.37,171.71,14.58,1.97,6.88,87.69,6.39,9.98,46.88,6.70,10.84,0.00,0.00,53.17,0.00,53.40,0.00,168.73,181.36,168.79,0.00,74.91,76.30,46.33,37.18,53.06,30.67,30.56,30.55,40.26,40.28,73.53,0.00,203.20,19.42,20.25
5.00,48.41,0.00,67.13,635.03,206.59,7.75,8.13,110.37,18.44,0.63,26.42,12.26,50.00,5.13,2.82,163.91,112.36,132.71,44.06,35.37,171.71,14.58,1.97,6.88,87.69,6.39,9.98,62.95,6.70,14.56,0.00,0.00,63.68,0.00,48.39,0.00,171.22,183.96,171.28,0.00,74.91,76.30,45.11,56.41,53.06,30.67,30.56,30.55,40.41,40.42,110.26,0.00,203.20,19.42,20.25
6.00,48.41,0.00,67.13,635.03,206.59,7.75,8.13,110.37,18.44,0.63,26.42,12.26,50.00,5.13,2.82,163.91,112.36,132.71,44.06,35.37,171.71,14.58,1.97,6.88,87.69,6.39,9.98,55.04,6.70,12.73,0.00,0.00,0.00,0.00,67.88,0.00,0.00,197.14,184.23,0.00,74.91,76.30,48.55,47.47,53.06,30.67,30.56,30.55,40.26,40.28,0.00,0.00,203.20,19.42,20.25
7.00,48.41,0.00,67.13,635.03,206.59,7.75,8.13,110.37,18.44,0.63,26.42,12.26,50.00,0.00,2.82,163.91,112.36,132.28,44.06,35.37,171.71,14.58,1.97,6.88,87.69,6.39,9.98,30.13,6.70,6.97,0.00,0.00,0.00,0.00,67.88,0.00,0.00,148.50,138.93,0.00,74.91,76.30,37.51,38.76,53.06,30.67,30.56,30.55,40.27,40.28,0.00,0.00,203.20,19.42,20.25
8.00,48.41,0.00,67.13,635.03,206.59,7.75,8.13,110.37,18.44,0.63,26.42,12.26,50.00,0.00,2.82,163.91,112.36,118.80,44.06,35.37,171.71,14.58,1.97,6.88,87.69,6.39,9.98,16.49,6.70,3.81,0.00,0.00,0.00,0.00,67.88,0.00,0.00,0.00,148.84,0.00,74.91,76.30,27.11,44.35,53.06,30.67,30.56,30.55,40.12,40.13,0.00,0.00,203.20,19.42,20.25
9.00,48.41,0.00,67.13,635.03,206.59,7.75,8.13,110.37,18.44,0.63,26.42,12.26,50.00,0.00,2.82,163.91,112.36,132.71,44.06,35.37,171.71,14.58,1.97,6.88,87.69,6.39,9.98,44.63,6.70,10.32,0.00,0.00,0.00,0.00,47.94,47.74,0.00,0.00,184.23,0.00,74.91,76.30,42.20,40.20,53.06,30.67,30.56,30.55,40.27,40.28,0.00,0.00,203.20,19.42,20.25
10.00,48.41,0.00,67.13,635.03,206.59,7.75,8.13,110.37,18.44,0.63,26.42,0.00,50.00,0.00,2.82,163.91,112.36,132.71,44.06,35.37,171.71,14.58,1.97,6.88,87.69,6.39,9.98,57.91,6.70,13.40,0.00,0.00,0.00,0.00,29.00,67.33,0.00,0.00,184.23,0.00,74.91,76.30,44.70,50.81,53.06,30.67,30.56,30.55,40.27,40.28,82.31,0.00,203.20,19.42,20.25
11.00,48.41,0.00,67.13,635.03,206.59,7.75,8.13,110.37,18.44,0.63,26.42,14.91,60.00,0.00,2.82,163.91,112.36,132.71,44.06,35.37,171.71,14.58,1.97,6.88,87.69,6.39,9.98,72.63,6.70,16.80,0.00,0.00,62.09,0.00,34.47,34.47,153.17,0.00,153.22,0.00,74.91,76.30,46.00,46.74,53.06,30.67,30.56,30.55,40.41,40.42,69.35,69.33,203.20,19.42,20.25
12.00,48.41,0.00,67.13,635.03,206.59,7.75,8.13,110.37,18.44,0.63,26.42,13.91,60.00,0.00,2.82,163.91,112.36,103.32,44.06,35.37,171.71,14.58,1.97,6.88,87.69,6.39,9.98,69.39,6.70,16.05,0.00,148.49,59.58,0.00,34.20,34.14,142.50,0.00,142.54,0.00,74.91,76.30,35.02,46.21,53.06,30.67,30.56,30.55,40.12,40.13,63.90,63.89,203.20,19.42,20.25
13.00,48.41,0.00,67.13,635.03,206.59,7.75,8.13,110.37,18.44,0.63,26.42,14.92,60.00,0.00,2.82,163.91,112.36,103.33,44.06,35.37,171.71,14.58,1.97,6.88,87.69,6.39,9.98,76.69,6.70,17.74,0.00,156.45,39.83,26.11,28.18,47.75,149.99,0.00,150.05,0.00,74.91,76.30,46.54,41.71,53.06,30.67,30.56,30.55,40.27,40.28,73.06,73.04,203.20,19.42,20.25
