"ETAPA \ GENERADOR","CALLAHUANCA","HUAMPANI","MOYOPAMPA","MANTARO","RESTITUCION","OROYA","PACHACHACA","YAUPI","HUANCHOR","PARIAC","YANANGO","CHARCANI IV","CHARCANI V","ARICOTA I","ARICOTA II","MACHUPICCHU","SAN GABAN II","YUNCAN","CAHUA","MALPASO","CANON DEL PATO","GALLITO CIEGO","ARCATA","CHARCANI 123","SANTA TERESA","QUITARACSA","PCH CHAGLLA","CH CARHUAQUERO IV","HUANZA","MCH CERRO DEL AGUILA","CARHUAC","CHAGLLA G1","CHAGLLA G2","HUINCO G1","HUINCO G2","HUINCO G3","HUINCO G4","CERRO DEL AGUILA G1","CERRO DEL AGUILA G2","CERRO DEL AGUILA G3","CH CANA BRAVA","CHIMAY G1","CHIMAY G2","MATUCANA G1","MATUCANA G2","LA VIRGEN","CARHUAQUERO G1","CARHUAQUERO G2","CARHUAQUERO G3","CHEVES G1","CHEVES G2","PLATANAL G1","PLATANAL G2","CH SAN GABAN III","CH ANASHIRONI","CH RENOVANDES"
1.00,48.41,0.00,67.13,635.03,206.59,7.75,8.13,110.37,18.09,3.75,28.02,14.92,60.00,6.38,3.50,163.91,56.52,102.00,44.06,35.37,214.51,15.00,1.97,6.88,87.69,36.00,6.39,9.98,95.45,5.46,19.77,0.00,0.00,21.72,21.72,35.10,0.00,0.00,174.56,0.00,0.00,74.91,76.30,44.57,44.53,50.05,30.67,30.56,30.55,45.75,45.78,20.62,20.62,203.20,17.04,20.25
2.00,48.41,0.00,67.13,635.03,206.59,7.75,8.13,110.37,18.09,3.75,28.02,14.92,60.00,6.38,3.50,163.91,56.52,102.00,44.06,35.37,214.51,15.00,1.97,6.88,87.69,36.00,6.39,9.98,95.16,5.46,19.77,0.00,0.00,50.95,40.53,28.24,28.24,0.00,164.54,0.00,0.00,74.91,76.30,44.57,44.53,50.05,30.67,30.56,30.55,45.75,45.78,20.62,20.62,203.20,17.04,20.25
3.00,48.41,0.00,67.13,635.03,206.59,7.75,8.13,110.37,18.09,3.75,28.02,14.92,60.00,6.38,3.50,163.91,56.52,102.00,44.06,35.37,214.51,15.00,1.97,6.88,87.69,36.00,6.39,9.98,95.45,5.46,19.77,0.00,0.00,63.70,56.00,64.06,63.52,0.00,176.28,172.17,0.00,74.91,76.30,66.56,0.00,50.05,30.67,30.56,30.55,45.75,45.78,20.62,20.62,203.20,17.04,20.25
4.00,48.41,0.00,67.13,635.03,206.59,7.75,8.13,110.37,18.09,3.75,28.02,14.92,60.00,6.38,3.50,163.91,56.52,102.00,44.06,35.37,214.51,15.00,1.97,6.88,87.69,36.00,6.39,9.98,48.93,5.46,11.32,0.00,147.90,29.72,29.70,29.74,29.71,131.70,140.34,131.74,0.00,74.91,76.30,66.56,0.00,50.05,30.67,30.56,30.55,45.75,45.78,55.58,55.57,203.20,17.04,20.25
5.00,48.41,0.00,67.13,635.03,206.59,7.75,8.13,110.37,18.09,3.75,28.02,14.92,60.00,6.38,3.50,163.91,56.52,102.00,44.06,35.37,214.51,15.00,1.97,6.88,87.69,36.00,6.39,9.98,27.49,5.46,6.36,0.00,154.25,20.62,20.62,20.62,20.62,166.54,170.70,166.61,0.00,74.91,76.30,48.09,48.04,50.05,30.67,30.56,30.55,45.75,45.78,49.94,49.94,203.20,17.04,20.25
6.00,48.41,0.00,67.13,635.03,206.59,7.75,8.13,110.37,18.09,3.75,28.02,14.92,60.00,6.38,3.50,163.91,56.52,102.00,44.06,35.37,214.51,15.00,1.97,6.88,87.69,36.00,6.39,9.98,49.83,5.46,11.53,0.00,228.19,21.97,38.15,38.31,21.97,184.17,197.14,184.23,0.00,74.91,76.30,0.00,66.47,50.05,30.67,30.56,30.55,45.75,45.78,58.59,58.58,203.20,17.04,20.25
7.00,48.41,0.00,67.13,635.03,206.59,7.75,8.13,110.37,18.09,3.75,28.02,14.92,60.00,6.38,3.50,163.91,56.52,102.00,44.06,35.37,228.00,15.00,1.97,6.88,87.69,36.00,6.39,9.98,56.81,5.46,13.14,171.42,173.10,21.89,44.17,44.30,21.89,184.17,197.14,184.23,0.00,74.91,76.30,0.00,55.25,50.05,30.67,30.56,30.55,45.75,45.78,58.59,58.58,203.20,17.04,20.25
8.00,48.41,0.00,67.13,635.03,206.59,7.75,8.13,110.37,18.09,3.75,28.02,14.92,60.00,6.38,3.50,163.91,56.52,102.00,44.06,35.37,228.00,27.50,1.97,6.88,87.69,36.00,6.39,9.98,71.72,5.46,16.59,175.20,177.51,21.99,54.89,55.38,21.99,184.17,197.14,184.23,0.00,74.91,76.30,33.72,33.71,50.05,30.67,30.56,30.55,45.75,45.78,58.59,58.58,203.20,17.04,20.25
9.00,48.41,0.00,67.13,635.03,206.59,7.75,8.13,110.37,18.09,3.75,28.02,14.92,76.00,6.38,3.50,163.91,56.52,102.00,44.06,35.37,228.00,27.50,1.97,6.88,87.69,0.00,6.39,9.98,85.48,5.46,19.77,184.41,180.89,23.30,67.09,67.87,23.30,184.17,197.14,184.23,0.00,74.91,76.30,46.20,40.10,50.05,30.67,30.56,30.55,45.75,45.78,67.15,67.13,203.20,17.04,20.25
10.00,48.41,0.00,67.13,635.03,206.59,7.75,8.13,110.37,18.09,3.75,28.02,14.92,104.63,6.38,3.50,163.91,56.52,102.00,44.06,35.37,228.00,27.50,1.97,6.88,87.69,0.00,6.39,9.98,85.48,5.46,19.77,181.95,185.57,23.30,67.10,67.88,23.30,184.17,197.14,184.23,0.00,74.91,76.30,50.66,42.68,50.05,30.67,30.56,30.55,45.75,45.78,79.03,79.00,203.20,17.04,20.25
11.00,48.41,0.00,67.13,635.03,206.59,7.75,8.13,110.37,18.09,3.75,28.02,14.92,105.43,6.38,3.50,163.91,56.52,102.00,44.06,35.37,230.00,27.50,1.97,6.88,87.69,0.00,6.39,9.98,85.48,5.46,19.77,183.49,187.44,37.27,66.47,37.27,37.27,184.17,197.14,184.23,0.00,74.91,76.30,44.50,39.12,50.05,30.67,30.56,30.55,45.75,45.78,57.17,57.16,203.20,17.04,20.25
12.00,48.41,0.00,67.13,635.03,206.59,7.75,8.13,110.37,18.09,3.75,28.02,14.92,110.01,6.38,3.50,163.91,56.52,102.00,44.06,35.37,230.00,27.50,1.97,6.88,87.69,0.00,6.39,9.98,85.48,5.46,19.77,192.09,187.22,23.30,67.10,67.88,23.30,184.17,197.14,184.23,0.00,74.91,76.30,52.66,43.87,50.05,30.67,30.56,30.55,45.75,45.78,95.78,95.74,203.20,17.04,20.25
13.00,48.41,0.00,67.13,635.03,206.59,7.75,8.13,110.37,18.09,3.75,28.02,14.92,118.28,6.38,3.50,163.91,56.52,102.00,44.06,35.37,230.00,27.50,1.97,6.88,87.69,0.00,6.39,9.98,85.48,5.46,19.77,189.27,194.39,23.30,67.10,67.88,23.30,184.17,197.14,184.23,0.00,74.91,76.30,57.05,46.74,50.05,30.67,30.56,30.55,45.75,45.78,104.66,104.62,203.20,17.04,20.25
