"ETAPA \ GENERADOR","MAJES","CARPAPATA","REPARTICION","PARAMONGA","HUAYCOLORO","LA JOYA","STACRUZ12","HUASAHUASI","RONCADOR","PURMACANA","NIMPERIAL","MAPLE","TACNASOLAR","PANAMERICANASOLAR","PIZARRAS","PIAS","POECHOS2","PE TALARA","PE CUPISNIQUE","ELOR","CURUMUY","POECHOS1","CANCHAYLLO","CHANCAY","RUCUY","RUNATULLOII","RUNATULLOIII","LAGRINGAV","MOQUEGUASOLAR","PQEEOLICOMARCONA","PQEEOLICO3HERMANAS","YANAPAMPA","TABLAZO","POTRERO","CH MARANON","CS RUBI","YARUCAYA","INTIPAMPA","CHHER1","CHANGELI","CHANGELII","CHANGELIII","CTB DONA CATALINA","WAYRAI","CHZANA","8AGOSTO","EL CARMEN","CT CANA BRAVA","CT SAN JACINTO","CH MANTA","CTB CALLAO","HUAMBOS","DUNA","CT TALLANCA","SANTA ROSA 1","SANTA ROSA 2","CSF YARUCAYA","TUPURI","CE PUNTA LOMITASBL1","CE PUNTA LOMITASBL2","PTALOMITASEXPBL1","PTALOMITASEXPBL2","CSCLEMESI","PE SAN JUAN","WAYRAEXP","CS CARHUAQUERO","CH HUALLIN","CS MATARANI","CS SAN MARTIN","CS SUNNY","CT AGROLMOS"
1.00,1.06,8.22,2.94,14.00,1.45,0.00,7.80,9.30,3.50,0.00,3.40,19.00,1.67,12.25,18.00,0.00,5.80,19.18,72.86,7.90,2.50,5.20,2.80,18.45,16.31,10.68,13.59,1.40,8.19,23.26,76.66,3.48,26.12,0.00,18.45,57.47,17.96,13.46,0.60,15.41,15.41,15.41,2.40,116.80,12.82,6.00,8.40,10.00,7.73,20.00,1.20,5.70,4.91,9.49,0.00,0.00,0.43,0.63,0.00,104.10,0.00,7.24,51.36,107.90,122.40,0.10,2.00,18.46,18.42,36.50,11.00
2.00,0.32,8.22,1.74,14.00,1.45,0.00,7.80,9.30,3.50,0.00,3.40,19.00,0.04,6.73,18.00,0.00,5.80,18.21,72.86,8.00,2.50,5.20,2.80,18.45,16.31,10.68,13.59,1.40,2.12,23.52,76.69,3.48,26.24,0.00,18.45,24.31,17.96,4.13,0.60,13.63,13.63,13.63,2.40,117.10,12.82,6.00,8.40,10.80,7.73,20.00,1.20,5.56,4.07,9.49,0.00,0.00,0.30,0.62,0.00,103.20,0.00,6.91,17.42,107.70,122.50,0.00,2.00,3.72,2.22,3.16,11.00
3.00,0.04,8.22,0.55,14.00,1.45,0.00,7.80,9.30,3.40,0.00,3.40,19.00,0.02,1.80,18.00,0.00,5.80,17.92,72.37,8.00,2.50,5.20,2.80,18.45,16.31,10.68,13.59,1.40,0.20,23.41,76.82,3.48,26.35,0.00,18.45,3.74,17.96,0.59,0.60,19.42,19.42,19.42,2.40,116.60,12.82,6.00,8.40,10.80,7.73,20.00,1.20,4.89,3.59,9.49,0.00,0.00,0.10,1.20,0.00,102.30,0.00,6.27,4.68,108.10,116.60,0.00,2.00,0.25,0.00,0.02,11.00
4.00,0.00,8.27,0.08,14.00,1.45,0.00,7.80,9.30,3.40,0.00,3.40,19.00,0.01,0.27,18.00,0.00,5.80,17.85,71.72,8.00,2.50,15.53,2.80,18.45,16.31,10.68,13.59,1.40,0.00,23.18,75.69,3.48,26.53,0.00,18.45,0.34,17.96,0.01,0.60,19.42,19.42,19.42,2.40,115.00,12.82,6.00,8.40,10.80,7.73,20.00,1.20,4.04,3.22,9.50,0.00,0.00,0.05,1.20,0.00,96.90,0.00,5.54,0.69,108.00,109.70,0.00,2.00,0.00,0.00,0.00,11.00
5.00,0.00,8.22,0.00,14.00,1.45,0.00,7.80,9.30,3.40,0.00,3.40,19.00,0.00,0.00,18.00,0.00,5.80,16.86,69.01,8.00,2.50,15.53,2.80,18.45,16.31,10.68,13.59,1.40,0.00,22.83,74.13,3.48,26.71,0.00,18.45,0.00,17.96,0.00,0.60,19.42,19.42,19.42,2.40,110.10,12.82,6.00,8.40,10.80,7.73,20.00,1.20,3.02,2.70,9.50,0.00,0.00,0.00,1.20,0.00,96.60,0.00,5.01,0.00,106.40,99.90,0.00,2.00,0.00,0.00,0.00,11.00
6.00,0.00,8.26,0.00,14.00,1.45,0.00,7.80,9.30,3.40,0.00,3.40,19.00,0.00,0.00,18.00,0.00,5.80,15.56,65.62,8.00,2.50,15.53,2.80,18.45,16.31,10.68,13.59,1.40,0.00,22.43,71.12,3.48,26.73,0.00,18.45,0.00,17.96,0.00,0.60,19.42,19.42,19.42,2.40,103.60,12.82,6.00,8.40,10.80,7.73,20.00,1.20,1.94,2.12,9.49,0.00,0.00,0.00,1.20,0.00,96.10,0.00,4.54,0.00,104.50,89.10,0.00,2.00,0.00,0.00,0.00,11.00
7.00,0.00,9.76,0.00,14.00,1.45,0.00,7.80,9.30,3.40,0.00,3.40,19.00,0.00,0.00,18.00,0.00,5.80,14.95,62.49,8.00,2.50,15.53,2.80,18.45,16.31,10.68,13.59,1.40,0.00,22.19,67.62,3.48,26.77,0.00,18.45,0.00,17.96,0.00,0.60,19.42,19.42,19.42,2.40,92.50,12.82,6.00,8.40,10.80,7.73,20.00,1.20,1.54,1.74,9.49,0.00,0.00,0.00,1.20,53.95,95.60,2.79,4.16,0.00,101.80,75.70,0.00,2.00,0.00,0.00,0.00,11.00
8.00,0.00,10.21,0.00,14.00,1.45,0.00,7.80,9.30,3.40,0.00,3.40,19.00,0.00,0.00,18.00,0.00,5.80,14.57,59.46,8.00,2.50,15.53,2.80,18.45,16.31,10.68,13.59,1.40,0.00,22.00,64.12,3.48,26.83,0.00,18.45,0.00,17.96,0.00,0.60,19.42,19.42,19.42,2.40,80.70,12.82,6.00,8.40,10.80,7.73,20.00,1.20,1.37,1.42,9.49,0.00,0.00,0.00,1.20,52.73,89.60,2.67,3.80,0.00,99.10,62.00,0.00,2.00,0.00,0.00,0.00,11.00
9.00,0.00,9.01,0.00,14.00,1.45,0.00,7.80,9.30,3.40,0.00,3.40,19.00,0.00,0.00,18.00,0.00,5.80,13.56,56.85,8.00,2.50,15.53,2.80,18.45,16.31,10.68,13.59,1.40,0.00,20.75,60.62,3.48,26.89,0.00,18.45,0.00,17.96,0.00,0.60,19.42,19.42,19.42,2.40,67.10,12.82,6.00,8.40,10.80,7.73,20.00,1.20,1.22,1.20,9.49,0.00,0.00,0.00,1.20,51.65,88.40,2.51,3.40,0.00,96.80,47.70,0.00,2.00,0.00,0.00,0.00,11.00
10.00,0.00,9.22,0.00,14.00,1.45,0.00,7.80,9.30,3.40,0.00,3.40,19.00,0.00,0.00,18.00,0.00,5.80,12.32,54.37,8.00,2.50,15.53,2.80,18.45,16.31,10.68,13.59,1.40,0.00,19.14,56.74,3.48,26.94,0.00,18.45,0.00,17.96,0.00,0.60,19.42,19.42,19.42,2.40,53.90,12.82,6.00,8.40,10.80,7.73,20.00,1.20,1.08,1.01,9.49,0.00,0.00,0.00,1.20,50.60,87.10,2.34,2.98,0.00,94.20,34.80,0.00,2.00,0.00,0.00,0.00,11.00
11.00,0.00,9.96,0.00,14.00,1.45,0.00,7.80,9.30,3.40,0.00,3.40,19.00,0.00,0.00,18.00,0.00,5.80,12.37,53.24,8.00,2.50,15.53,2.80,18.45,16.31,10.68,13.59,1.40,0.00,17.99,52.72,3.48,26.98,0.00,18.45,0.00,17.96,0.00,0.60,19.42,19.42,19.42,2.40,42.10,12.82,6.00,8.40,10.80,7.73,20.00,1.20,0.94,0.98,9.49,0.00,0.00,0.00,1.20,48.06,85.80,2.16,2.67,0.00,90.90,26.20,0.00,2.00,0.00,0.00,0.00,11.00
