"ETAPA \ GENERADOR","MAJES","CARPAPATA","REPARTICION","PARAMONGA","HUAYCOLORO","LA JOYA","STACRUZ12","HUASAHUASI","RONCADOR","PURMACANA","NIMPERIAL","MAPLE","TACNASOLAR","PANAMERICANASOLAR","PIZARRAS","PIAS","POECHOS2","PE TALARA","PE CUPISNIQUE","ELOR","CURUMUY","POECHOS1","CANCHAYLLO","CHANCAY","RUCUY","RUNATULLOII","RUNATULLOIII","LAGRINGAV","MOQUEGUASOLAR","PQEEOLICOMARCONA","PQEEOLICO3HERMANAS","YANAPAMPA","TABLAZO","POTRERO","CH MARANON","CS RUBI","YARUCAYA","INTIPAMPA","CHHER1","CHANGELI","CHANGELII","CHANGELIII","CTB DONA CATALINA","WAYRAI","CHZANA","8AGOSTO","RENOVANDESH1","EL CARMEN","CT CANA BRAVA","CT SAN JACINTO","CH MANTA","CTB CALLAO","HUAMBOS","DUNA","CT TALLANCA","SANTA ROSA 1","SANTA ROSA 2","CSF YARUCAYA","TUPURI","CE PUNTA LOMITASBL1","CE PUNTA LOMITASBL2","PTALOMITASEXPBL1","PTALOMITASEXPBL2","CSCLEMESI","PE SAN JUAN","WAYRAEXP","CS CARHUAQUERO","CH HUALLIN","CS MATARANI","CS SAN MARTIN","ANASHIRONI","CS SUNNY","CT AGROLMOS"
13.00,0.00,16.42,0.00,14.00,4.20,9.10,2.60,4.30,1.82,0.40,3.40,18.00,0.00,0.00,3.10,0.00,7.20,23.36,65.10,8.10,5.00,15.53,4.45,18.45,10.00,5.00,6.00,2.80,0.00,26.00,75.50,1.89,27.30,3.20,10.50,0.00,16.99,0.00,0.70,3.60,4.10,4.30,1.20,93.80,6.00,4.00,18.45,1.80,0.00,7.41,4.40,2.40,10.46,13.28,18.90,0.00,0.00,0.00,1.00,118.80,113.50,8.01,6.12,0.00,108.40,79.40,0.00,1.64,0.00,0.00,0.00,0.00,11.00
14.00,0.00,15.73,0.00,14.00,4.20,9.10,2.60,4.30,1.82,0.40,3.40,18.00,0.00,0.00,3.10,0.00,7.20,22.55,63.20,8.10,5.00,15.53,4.45,18.45,10.00,5.00,6.00,2.80,0.00,25.80,73.80,1.89,27.40,3.20,10.50,0.00,16.99,0.00,0.70,3.60,4.10,4.30,1.20,89.40,6.00,4.00,18.45,1.80,0.00,7.41,4.40,2.40,9.79,12.95,18.90,0.00,0.00,0.00,1.00,119.70,114.90,7.91,5.95,0.00,108.00,75.20,0.00,1.60,0.00,0.00,0.00,0.00,11.00
15.00,0.00,16.56,0.00,14.00,4.20,9.10,2.60,4.30,1.82,0.40,3.40,18.00,0.00,0.00,3.10,0.00,7.20,21.85,61.60,8.10,5.00,15.53,4.45,18.45,10.00,5.00,6.00,2.80,0.00,25.60,71.90,1.89,27.40,3.20,10.50,0.00,16.99,0.00,0.70,3.60,4.10,4.30,1.20,85.90,6.00,4.00,18.45,1.80,0.00,7.41,4.40,2.40,8.87,12.02,18.90,0.00,0.00,0.00,1.00,120.80,116.60,7.86,5.85,0.00,107.60,71.60,0.00,1.60,0.00,0.00,0.00,0.00,11.00
16.00,0.00,16.68,0.00,14.00,4.20,9.10,2.60,4.30,1.82,0.40,3.40,18.00,0.00,0.00,3.10,0.00,7.20,21.27,56.30,8.00,5.00,15.53,4.45,18.45,10.00,5.00,6.00,2.80,0.00,25.40,70.80,1.89,27.40,3.20,10.50,0.00,16.99,0.00,0.70,3.60,4.10,4.30,1.20,82.90,6.00,4.00,18.45,1.80,0.00,7.41,4.40,2.40,7.87,10.88,18.90,0.00,0.00,0.00,1.00,121.80,116.70,7.88,5.88,0.00,107.40,71.90,0.00,1.56,0.00,0.00,0.00,0.00,11.00
17.00,0.00,16.63,0.00,14.00,4.20,9.10,2.60,4.30,1.82,0.40,3.40,18.00,0.00,0.00,3.10,0.00,7.20,20.72,49.70,8.10,5.00,15.53,4.45,18.45,10.00,5.00,6.00,2.80,0.00,25.20,70.00,1.89,27.40,3.20,10.50,0.00,16.99,0.00,0.70,3.60,4.10,4.30,1.20,80.00,6.00,4.00,18.45,1.80,0.00,7.41,4.40,2.40,7.31,10.67,18.90,0.00,0.00,0.00,1.00,122.80,116.20,7.93,5.96,0.00,107.20,73.60,0.00,1.56,0.00,0.00,0.00,0.00,11.00
18.00,0.00,16.76,0.00,14.00,4.20,9.10,2.60,4.30,1.82,0.40,3.40,18.00,0.00,0.00,3.10,0.00,7.20,20.55,42.70,8.10,5.00,15.53,4.45,18.45,10.00,5.00,6.00,2.80,0.00,25.30,71.30,1.89,27.40,3.20,10.50,0.00,16.99,0.00,0.70,3.60,4.10,4.30,1.20,82.30,6.00,4.00,18.45,1.80,0.00,7.41,4.40,2.40,6.91,10.77,18.90,0.00,0.00,0.00,1.00,122.60,115.50,7.83,5.92,0.00,107.80,75.40,0.00,1.52,0.00,0.00,0.00,0.00,11.00
19.00,0.00,17.05,0.00,14.00,4.20,9.10,2.60,4.30,1.82,0.40,3.40,18.00,0.00,0.00,3.10,0.00,7.20,20.49,35.60,8.10,5.00,15.53,4.45,18.45,10.00,5.00,6.00,2.80,0.00,25.50,73.20,1.89,27.50,3.20,10.50,0.00,16.99,0.00,0.70,3.60,4.10,4.30,1.20,86.40,6.00,4.00,18.45,1.80,0.00,7.41,4.40,2.40,6.87,10.93,18.90,0.00,0.00,0.00,1.00,122.00,114.70,7.70,5.84,0.00,108.70,77.20,0.00,1.48,0.00,0.00,0.00,0.00,11.00
20.00,0.00,17.19,0.00,14.00,4.20,9.10,2.60,4.30,1.82,0.40,3.40,18.00,0.00,0.00,3.10,0.00,7.20,20.66,30.20,8.10,5.00,15.53,4.45,18.45,10.00,5.00,6.00,2.80,0.00,25.60,74.30,1.89,27.60,3.20,10.50,0.00,16.99,0.00,0.70,3.60,4.10,4.30,1.20,85.90,6.00,4.00,18.45,1.80,0.00,7.41,4.40,2.40,6.95,11.11,18.90,0.00,0.00,0.00,1.00,120.90,113.60,7.67,5.85,0.00,109.40,78.20,0.00,1.48,0.00,0.00,0.00,0.00,11.00
21.00,0.00,17.37,0.00,14.00,4.20,9.10,2.60,4.30,1.82,0.40,3.40,18.00,0.00,0.00,3.10,0.00,7.20,20.90,25.40,0.90,5.00,4.80,4.45,18.45,10.00,5.00,6.00,2.80,0.00,25.80,75.20,1.89,27.60,3.20,10.50,0.00,16.99,0.00,0.70,3.60,4.10,4.30,1.20,83.90,6.00,4.00,18.45,1.80,0.00,7.41,4.40,2.40,7.09,11.56,18.90,0.00,0.00,0.00,1.00,119.80,112.30,7.69,5.88,0.00,110.00,79.00,0.00,1.48,0.00,0.00,0.00,0.00,11.00
22.00,0.00,17.43,0.00,14.00,4.20,9.10,2.60,4.30,1.82,0.40,3.40,18.00,0.00,0.00,3.10,0.00,7.20,20.90,21.40,0.00,5.00,4.80,4.45,18.45,10.00,5.00,6.00,2.80,0.00,25.40,75.30,1.89,27.60,3.20,10.50,0.00,16.99,0.00,0.70,3.60,4.10,4.30,1.20,82.50,6.00,4.00,18.45,1.80,0.00,7.41,4.40,2.40,7.24,12.09,18.90,0.00,0.00,0.00,1.00,118.50,112.10,7.69,5.88,0.00,110.60,77.90,0.00,1.44,0.00,0.00,0.00,0.00,11.00
