"ETAPA \ GENERADOR","KALLPATG1GAS","KALLPATG2GAS","KALLPATG3GAS","KALLPACC1GAS","KALLPACC2GAS","KALLPACC3GAS","KALLPACC12GAS","KALLPACC23GAS","KALLPACC13GAS","KALLPACC123GAS","CHILCA1TG1GAS","CHILCA1TG2GAS","CHILCA1TG3GAS","CHILCA1CC1GAS","CHILCA1CC2GAS","CHILCA1CC3GAS","CHILCA1CC12GAS","CHILCA1CC23GAS","CHILCA1CC13GAS","CHILCA1CC123GAS","AGETG1GAS","AGETG2GAS","MAL2TGN4GAS","MAL3TG5D2","VENT3D2","VENT4D2","VENT3GAS","VENT4GAS","VENTCC3GAS","VENTCC4GAS","VENTCC34GAS","VENTCC3GASFD","VENTCC4GASFD","VENTCC34GASFD","RFILO2TG1D2","RFILO2TG2D2","RFILO2TG3D2","INDEPGAS","OLLEROSTG1GAS","LFLORESTG1GAS","SNTV1R500","SNTV2R500","SNTV3R500","SHCUMMINS","CHILSLZ12R500D2","MOLL123D2","FENIXGT12GAS","FENIXCCGT12GAS","FENIXGT11GAS","FENIXCCGT11GAS","FENIXCCGT11GT12GAS","RECKA TG1  D2","PTOBRVO TG3  D2","PTOBRVO TG1  D2","PTOBRVO TG4  D2","PTOBRVO TG2  D2","FENIXCCGT11GT12D2","CTNEPITG43D2","CTNEPITG42D2","CTNEPITG41D2","RF ETEN TG1  D2","RF ETEN TG2  D2","RF PTO MALDONADO  D2","RF PUCALLPA  D2","MALACAS1 TG 6  GAS","CHILCA2 CCOMB TG41  GAS","CHILCA2 TG41  GAS","CHILINA TG  D2","STA ROSA UTI 6  GAS","STA ROSA UTI 5  D2","STA ROSA WEST TG7  D2 CON H2O","STA ROSA UTI 6  D2","STA ROSA UTI 5  GAS","STA ROSA WEST TG7  GAS CON H2O","STAROSA TG8 GAS","MALACAS3 TG 5  GAS","OLLEROS CCOMB TG1  GAS","FENIX GT12  D2","FENIX GT11  D2","FENIX CCOMB GT12  D2","FENIX CCOMB GT11  D2","LFLORES CCOMB TG1  GAS","OQUENDO TG1  GAS","OQUENDO CCOMB TG1  D2","OQUENDO TV1","OQUENDO TG1  D2","OQUENDO CCOMB TG1  GAS","TUMBES MAK 1  D2","TUMBES MAK 2  D2","REFTALARA TV1TV2FXRFG"
1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,10282.880,0.000,3518.277,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1451.817,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3176.956,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,301.644,0.000,0.000,0.000,0.000,2587.932,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,20919.241,0.000,0.000,0.000,0.000,0.000,0.000,0.000,26907.289,0.000,0.000,0.000,0.000,600.708,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4272.990,0.000,0.000,0.000,0.000,0.000,995.286,961.798,517.938
2.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,10282.880,0.000,3518.277,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1451.817,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3176.956,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,301.644,0.000,0.000,0.000,0.000,2587.932,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,20919.241,0.000,0.000,0.000,0.000,0.000,0.000,0.000,29404.558,0.000,0.000,0.000,0.000,600.708,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4272.990,0.000,0.000,0.000,0.000,0.000,995.286,961.798,517.938
3.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,10282.880,0.000,3518.277,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1451.817,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3176.956,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,301.644,0.000,0.000,0.000,0.000,2587.932,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,20919.241,0.000,0.000,0.000,0.000,0.000,0.000,0.000,29432.150,0.000,0.000,0.000,0.000,600.708,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4272.990,0.000,0.000,0.000,0.000,0.000,995.286,961.798,517.938
4.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,10282.880,0.000,3518.277,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1451.817,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3176.956,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,301.644,0.000,0.000,0.000,0.000,2587.932,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,20919.241,0.000,0.000,0.000,0.000,0.000,0.000,0.000,30023.139,0.000,0.000,0.000,0.000,600.708,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4261.394,0.000,0.000,0.000,0.000,0.000,995.286,961.798,517.938
5.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,10482.652,0.000,3518.277,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1451.817,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3176.956,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,301.644,0.000,0.000,0.000,0.000,2587.932,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,20919.241,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,600.708,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4261.394,0.000,0.000,0.000,0.000,0.000,995.286,961.798,517.938
6.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,10482.652,0.000,3518.277,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1451.817,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3176.956,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,301.644,0.000,0.000,0.000,0.000,2587.932,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,20919.241,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,600.708,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4249.798,0.000,0.000,0.000,0.000,0.000,995.286,961.798,517.938
7.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,10482.652,0.000,3518.277,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1451.817,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3176.956,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,301.644,0.000,0.000,0.000,0.000,2587.932,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,20919.241,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,600.708,0.000,0.000,0.000,0.000,0.000,19598.927,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4249.798,0.000,0.000,0.000,0.000,0.000,995.286,961.798,517.938
8.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,10482.652,0.000,3518.277,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1451.817,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3176.956,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,301.644,0.000,0.000,0.000,0.000,2587.932,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,20919.241,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,600.708,0.000,0.000,0.000,0.000,0.000,19598.927,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4238.199,0.000,0.000,0.000,0.000,0.000,995.286,961.798,517.938
9.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,10482.652,0.000,3518.277,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1451.817,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3176.956,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,301.644,0.000,0.000,0.000,0.000,2587.932,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,20919.241,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,600.708,0.000,0.000,0.000,0.000,0.000,19598.927,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4238.199,0.000,0.000,0.000,0.000,591.819,995.286,961.798,517.938
10.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,10482.652,0.000,3518.277,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1451.817,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3176.956,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,301.644,0.000,0.000,0.000,0.000,2587.932,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,20919.241,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,600.708,0.000,0.000,0.000,0.000,0.000,19598.927,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4238.199,0.000,0.000,0.000,0.000,625.297,995.286,961.798,517.938
