"RESTRICCION DE GENERACION","Res1","Res1","Res6","Res6","Res6","Res7","Res14","Res15","Res18"
"ETAPA\UNIDAD DE GENERACION","OQUENDO TG1  GAS","OQUENDO CCOMB TG1  GAS","CARHUAQUERO G1","CARHUAQUERO G2","CARHUAQUERO G3","REFTALARA TV1TV2FXRFG","KALLPACC23GAS","KALLPACC123GAS","CHIMAY G2"
1.000,8.485,8.485,0.000,0.000,0.000,-9.044,0.000,0.000,0.000
2.000,8.515,8.515,0.000,0.000,0.000,-8.982,0.000,0.000,0.000
3.000,8.546,8.546,0.000,0.000,0.000,-8.888,0.000,0.000,0.000
4.000,8.566,8.566,0.000,0.000,0.000,-8.888,0.000,0.000,0.000
5.000,8.581,8.581,0.000,0.000,0.000,-8.812,0.000,0.000,0.000
6.000,8.587,8.587,0.000,0.000,0.000,-8.811,0.000,0.000,0.000
7.000,8.597,8.597,0.000,0.000,0.000,-8.784,0.000,0.000,0.000
8.000,8.592,8.592,0.000,0.000,0.000,-8.785,0.000,0.000,0.000
9.000,8.580,8.580,0.000,0.000,0.000,-8.849,0.000,0.000,0.000
10.000,8.571,8.571,0.000,0.000,0.000,-8.855,0.000,0.000,0.000
11.000,8.541,8.541,0.000,0.000,0.000,-9.013,0.000,0.000,0.000
12.000,8.556,8.556,0.000,0.000,0.000,-9.044,0.000,0.000,0.000
13.000,8.433,8.433,0.000,0.000,0.000,-9.245,0.000,0.000,0.000
14.000,8.368,8.368,0.000,0.000,0.000,-9.332,0.000,0.000,-22.688
15.000,8.392,8.392,0.000,0.000,0.000,-9.376,0.000,0.000,-22.546
16.000,8.392,8.392,0.000,0.000,0.000,-9.410,0.000,0.000,-22.453
17.000,8.281,8.281,0.000,0.000,0.000,-9.670,0.000,0.000,-22.565
18.000,7.807,7.807,0.000,0.000,0.000,-10.263,0.000,0.000,0.000
19.000,7.397,7.397,0.000,0.000,0.000,-10.794,0.000,0.000,0.000
20.000,7.389,7.389,0.000,0.000,0.000,-10.841,0.000,0.000,0.000
21.000,7.271,7.271,0.000,0.000,0.000,-11.003,0.000,0.000,0.000
22.000,7.299,7.299,0.000,0.000,0.000,-11.025,0.000,0.000,0.000
23.000,7.322,7.322,0.000,0.000,0.000,-11.033,0.000,0.000,-23.345
24.000,7.347,7.347,0.000,0.000,0.000,-11.039,0.000,0.000,-23.309
25.000,8.179,8.179,0.000,0.000,0.000,-10.067,0.000,0.000,-22.546
26.000,8.265,8.265,0.000,0.000,0.000,-9.969,0.000,0.000,-22.444
27.000,8.271,8.271,0.000,0.000,0.000,-9.947,0.000,0.000,0.000
28.000,8.271,8.271,0.000,0.000,0.000,-9.883,0.000,0.000,0.000
29.000,8.237,8.237,0.000,0.000,0.000,-9.930,0.000,0.000,-22.449
30.000,7.162,7.162,0.000,0.000,0.000,-11.054,0.000,0.000,-23.585
31.000,7.567,7.567,0.000,0.000,0.000,-10.721,0.000,0.000,-23.081
32.000,7.632,7.632,0.000,0.000,0.000,-10.557,0.000,0.000,-23.050
33.000,7.918,7.918,0.000,0.000,0.000,-10.220,0.000,0.000,0.000
34.000,8.098,8.098,0.000,0.000,0.000,-9.911,0.000,0.000,0.000
35.000,8.178,8.178,0.000,0.000,0.000,-9.855,0.000,0.000,0.000
36.000,8.276,8.276,0.000,0.000,0.000,-9.620,0.000,0.000,0.000
37.000,7.452,7.452,0.000,0.000,0.000,-10.832,0.000,0.000,0.000
38.000,7.323,7.323,0.000,0.000,0.000,-11.184,0.000,0.000,0.000
39.000,5.576,5.576,0.000,0.000,0.000,-13.143,0.000,0.000,0.000
40.000,7.266,7.266,0.000,0.000,0.000,-11.263,0.000,0.000,0.000
41.000,7.376,7.376,0.000,0.000,0.000,-11.141,0.000,0.000,0.000
42.000,7.398,7.398,0.000,0.000,0.000,-11.134,0.000,0.000,0.000
43.000,-0.960,-0.960,0.000,0.000,0.000,-20.537,0.000,0.000,0.000
44.000,-0.941,-0.941,0.000,0.000,0.000,-20.239,0.000,0.000,0.000
45.000,7.396,7.396,0.000,0.000,0.000,-10.775,0.000,0.000,0.000
46.000,7.595,7.595,0.000,0.000,0.000,-10.332,0.000,0.000,0.000
47.000,8.097,8.097,0.000,0.000,0.000,-9.714,0.000,0.000,0.000
48.000,8.282,8.282,0.000,0.000,0.000,-9.330,0.000,0.000,0.000
