"GRUPO :","RSF","RSF"
"ETAPA","Hacia Abajo","Hacia Arriba"
1.00000,0.52786,0.00000
2.00000,0.52786,0.00000
3.00000,0.52786,0.00000
4.00000,0.52786,0.00000
5.00000,1.53305,1.00520
6.00000,1.52836,1.00050
7.00000,0.52786,0.00000
8.00000,0.52786,0.00000
9.00000,0.52786,0.00000
10.00000,0.51613,0.00000
11.00000,0.52771,0.00000
12.00000,0.52691,0.00000
13.00000,0.51479,0.00000
14.00000,0.49178,0.00190
15.00000,0.50914,0.00000
16.00000,0.51981,0.00000
17.00000,0.46308,0.00997
18.00000,0.20045,0.00000
19.00000,0.00174,0.00000
20.00000,0.00000,0.00000
21.00000,0.00000,0.04847
22.00000,0.00000,0.02816
23.00000,0.00000,0.01373
24.00000,0.00000,0.00022
25.00000,0.40123,0.00000
26.00000,0.44686,0.00000
27.00000,0.44721,0.00000
28.00000,0.44651,0.00000
29.00000,1.44511,1.00904
30.00000,1.00904,1.10268
31.00000,0.10669,0.00000
32.00000,0.13656,0.00000
33.00000,0.27437,0.00000
34.00000,0.37278,0.00000
35.00000,0.41188,0.00000
36.00000,0.45646,0.00000
37.00000,0.00000,0.00000
38.00000,0.00000,0.04425
39.00000,0.00000,0.89920
40.00000,0.00000,0.06789
41.00000,0.00000,0.01176
42.00000,0.00000,0.00000
43.00000,0.00000,4.05390
44.00000,0.00000,4.06165
45.00000,0.00000,0.01618
46.00000,0.04094,0.00000
47.00000,0.28568,0.00000
48.00000,0.39076,0.00000
