"ETAPA \ EMBALSE","Emb0","SHEQUE","HUINCO RES","PRESA MALPASO","AGUADA BLANCA","CAMPANARIO","CINCEL","CIRATO","ARICOTA RES","PRESA GALLITO CIEGO","PRESA COMPEN GALLITO","SAN GABAN","TULUMAYO","SAN DIEGO","HUALLAMAYO","TABLACHACA","CHAGLLA EM","PICUNCHE","SHAPIRINGO","CERRO DEL AGUILA EM","PALLCA","EMB CHECRAS","RESER CAPILLUCAS","PULMON MATUCANA","TOMA HUAMPANI","RESERV RESTIT","TOMA SURCO"
1.000,0.000,6.695,10.500,60.623,17.158,10.611,9.826,0.000,0.000,0.000,7.545,19.471,88.341,166.111,30.738,93.707,128.292,13.478,9.699,237.818,0.000,16.804,34.379,13.056,22.362,37.270,12.500
2.000,0.000,6.695,10.500,60.623,15.727,10.599,9.826,0.000,0.000,0.000,7.545,19.471,88.341,128.727,30.712,93.707,127.893,13.549,8.266,237.818,0.000,16.804,35.361,12.500,22.362,37.266,12.500
3.000,0.000,6.441,10.156,60.623,14.921,10.589,9.826,0.000,0.000,0.000,7.545,19.471,88.341,118.233,30.690,93.707,126.879,13.621,7.081,237.818,0.000,16.804,37.486,12.908,22.404,37.262,12.500
4.000,0.000,5.991,10.198,60.623,14.255,10.582,9.826,0.000,0.000,0.000,7.545,19.471,88.341,113.198,30.671,93.707,126.585,13.694,6.903,237.818,0.000,16.804,38.528,12.500,22.153,37.258,12.500
5.000,0.000,5.093,10.071,60.623,14.185,10.576,9.826,0.000,0.000,0.000,7.545,19.471,88.341,110.287,30.655,93.707,125.870,13.768,5.847,237.818,0.000,16.804,36.436,12.399,22.067,37.254,12.500
6.000,0.000,4.494,10.112,60.623,14.679,10.571,9.826,0.000,0.000,0.000,7.545,19.471,88.341,108.437,30.641,93.707,125.710,13.843,5.338,237.818,0.000,16.804,35.630,12.430,22.095,37.251,12.500
7.000,0.000,5.050,10.160,60.623,14.624,10.568,9.826,0.000,0.000,0.000,7.545,19.471,88.341,107.196,30.629,93.707,125.863,13.920,4.978,237.818,0.000,16.804,35.437,12.201,22.128,37.247,12.500
8.000,0.000,5.373,10.356,60.623,16.031,10.565,9.826,0.000,0.000,0.000,7.545,19.471,88.341,106.333,30.619,93.707,125.914,13.998,5.577,237.818,0.000,16.804,38.550,12.415,22.262,37.244,12.500
9.000,0.000,5.788,10.500,60.623,16.472,10.563,9.826,0.000,0.000,0.000,7.545,19.471,88.341,105.719,30.611,93.707,127.896,14.078,7.120,237.818,0.000,16.804,38.178,12.500,22.361,37.241,12.500
10.000,0.000,4.743,10.500,60.623,16.338,10.562,9.826,0.000,0.000,0.000,7.545,19.471,88.341,105.275,30.604,93.707,127.710,14.159,7.673,237.818,0.000,16.804,19.741,12.568,22.361,37.238,12.500
11.000,0.000,6.695,10.500,60.623,14.876,10.562,9.826,0.000,0.000,0.000,7.545,19.471,88.341,104.951,30.599,93.707,128.614,14.242,9.774,237.818,0.000,16.804,39.867,12.987,22.362,37.239,12.500
12.000,0.000,6.150,9.769,60.623,12.199,10.562,9.826,5.000,0.000,0.000,7.545,19.471,88.341,104.712,30.595,93.707,126.832,14.328,5.904,237.818,0.000,16.804,39.867,12.500,21.864,37.239,12.500
13.000,0.000,9.968,9.655,51.612,5.189,10.563,9.826,5.000,0.000,0.000,7.545,19.471,45.024,104.534,30.593,93.707,125.265,14.415,10.500,237.818,0.000,16.804,39.867,14.028,22.830,37.239,12.500
14.000,0.000,10.187,9.560,41.508,2.738,10.564,9.826,5.000,0.000,0.000,7.545,19.471,83.509,104.402,30.591,93.707,126.683,14.505,11.517,237.818,0.000,16.804,39.867,14.659,23.207,37.238,12.500
15.000,0.000,10.343,7.642,21.855,2.738,10.566,9.826,5.000,0.000,0.000,7.545,19.471,83.509,104.303,30.592,93.707,125.569,14.597,9.718,237.818,0.000,16.804,39.867,13.617,21.224,37.237,12.500
16.000,0.000,11.152,7.875,12.738,2.738,10.569,9.826,5.000,0.000,0.000,7.545,19.471,87.866,104.229,30.593,93.707,124.961,14.691,6.847,237.818,0.000,16.804,39.867,13.312,21.187,37.235,12.500
17.000,0.000,11.496,10.500,55.969,2.738,10.572,9.826,5.000,0.000,0.000,7.545,19.471,87.866,104.174,30.596,93.707,132.437,14.788,7.001,237.818,0.000,16.804,39.867,14.300,23.616,37.232,12.500
18.000,0.000,10.691,10.500,60.623,6.184,10.576,9.826,5.000,0.000,0.000,7.545,19.471,45.024,104.133,30.600,93.707,145.319,14.888,15.287,237.818,0.000,16.804,39.867,15.514,24.485,37.228,12.500
19.000,0.000,11.119,10.500,60.623,15.007,10.580,9.826,5.000,0.000,0.000,7.545,19.471,45.024,104.103,30.605,93.707,145.319,14.990,15.287,237.818,7.002,16.804,39.867,15.514,24.484,37.224,12.500
20.000,0.000,11.396,10.500,60.623,14.109,10.585,9.826,5.000,0.000,0.000,7.545,19.471,45.024,104.081,30.612,93.707,145.319,15.096,15.287,237.818,7.103,16.804,39.867,15.514,24.484,37.219,12.500
21.000,0.000,11.936,10.500,60.623,17.087,10.591,9.826,9.055,0.000,0.000,7.545,19.471,45.024,104.066,30.620,93.707,145.319,15.206,15.287,237.818,12.511,16.804,39.867,15.514,24.484,37.213,12.500
22.000,0.000,12.289,10.500,60.623,14.566,10.598,9.826,8.454,0.000,0.000,7.545,19.471,45.024,104.055,30.629,101.047,145.319,15.319,15.287,237.818,9.966,16.804,39.867,15.514,24.484,37.206,12.500
23.000,0.000,12.247,10.500,60.623,12.047,10.607,9.826,8.211,0.000,0.000,7.545,19.471,87.866,104.050,30.640,101.047,145.319,15.436,15.287,237.818,7.721,16.804,39.867,15.514,24.484,37.199,12.500
24.000,0.000,12.208,10.500,60.623,11.307,10.616,9.826,7.096,0.000,0.000,7.545,19.471,87.866,104.048,30.652,101.047,145.319,15.557,15.287,237.818,6.101,16.804,39.867,15.514,24.484,37.191,12.500
25.000,0.000,10.556,10.500,60.623,2.738,10.627,9.826,5.000,0.000,0.000,7.545,19.471,87.866,104.049,30.666,101.047,137.671,15.684,12.135,237.818,2.689,16.804,39.867,14.350,23.651,37.182,12.500
26.000,0.000,10.690,9.237,54.139,2.738,10.640,9.826,5.000,0.000,0.000,7.545,19.471,87.866,104.055,30.681,101.047,134.236,15.816,9.662,237.818,2.689,16.804,39.867,12.168,21.513,37.172,12.500
