Id Equipo,Equipo,Id COES,Considera Equipo,Id Cat Vierte,Id Vierte,Id Cat Turbina,Id Turbina,Id Padre,Id Nod Destino,Id Nod Origen,Id Nodo,Estado
1,AGU1,2465,1,0,0,0,0,0,0,0,0,1
2,AGU2,2466,1,0,0,0,0,0,0,0,0,1
3,AGU3,2467,1,0,0,0,0,0,0,0,0,1
4,AGU4,2468,1,0,0,0,0,0,0,0,0,1
5,MAL2,2470,1,0,0,0,0,0,0,0,0,1
6,MAL3,2471,1,0,0,0,0,0,0,0,0,1
7,MAL4,2472,1,0,0,0,0,0,0,0,0,1
8,MAL0H,2473,1,0,0,0,0,0,0,0,0,1
9,MAL1H,2474,1,0,0,0,0,0,0,0,0,1
10,MAL2H,2475,1,0,0,0,0,0,0,0,0,1
11,MAL3H,2476,1,0,0,0,0,0,0,0,0,1
12,MAL4H,2477,1,0,0,0,0,0,0,0,0,1
13,MAL5H,2478,1,0,0,0,0,0,0,0,0,1
14,MAL6H,2479,1,0,0,0,0,0,0,0,0,1
15,MAL7H,2480,1,0,0,0,0,0,0,0,0,1
16,MAL8H,2481,1,0,0,0,0,0,0,0,0,1
17,MAL21H,2482,1,0,0,0,0,0,0,0,0,1
18,MAL22H,2483,1,0,0,0,0,0,0,0,0,1
19,MAL23H,2484,1,0,0,0,0,0,0,0,0,1
