"ETAPA \ GENERADOR","CALLAHUANCA","HUAMPANI","MOYOPAMPA","MANTARO","RESTITUCION","OROYA","PACHACHACA","YAUPI","HUANCHOR","PARIAC","YANANGO","CHARCANI IV","CHARCANI V","ARICOTA I","ARICOTA II","MACHUPICCHU","SAN GABAN II","YUNCAN","CAHUA","MALPASO","CANON DEL PATO","GALLITO CIEGO","ARCATA","CHARCANI 123","SANTA TERESA","PCH CHAGLLA","CH CARHUAQUERO IV","HUANZA","MCH CERRO DEL AGUILA","CARHUAC","CHAGLLA G1","CHAGLLA G2","HUINCO G1","HUINCO G2","HUINCO G3","HUINCO G4","CERRO DEL AGUILA G1","CERRO DEL AGUILA G2","CERRO DEL AGUILA G3","CH CANA BRAVA","CHIMAY G1","CHIMAY G2","MATUCANA G1","MATUCANA G2","LA VIRGEN","CARHUAQUERO G1","CARHUAQUERO G2","CARHUAQUERO G3","CHEVES G1","CHEVES G2","PLATANAL G1","PLATANAL G2","CHSANGABANIII","CH ANASHIRONI","CH RENOVANDES"
1.00,48.41,0.00,67.13,635.03,206.59,7.75,8.13,110.37,18.44,0.63,29.25,3.92,60.00,5.13,2.82,163.91,112.36,132.71,44.06,35.37,165.01,14.58,1.97,6.88,87.69,6.39,9.98,39.00,6.70,9.02,0.00,144.33,0.00,0.00,67.88,0.00,106.85,113.16,106.86,0.00,74.91,76.30,45.98,30.28,68.48,30.67,30.56,30.55,36.08,36.09,20.62,20.62,203.20,19.42,20.25
2.00,48.41,0.00,67.13,635.03,206.59,7.75,8.13,110.37,18.44,0.63,29.25,12.26,60.00,5.13,2.82,163.91,112.36,132.71,44.06,35.37,165.01,14.58,1.97,6.88,87.69,6.39,9.98,57.08,6.70,13.20,0.00,0.00,0.00,0.00,25.00,0.00,135.81,144.99,135.85,0.00,74.91,76.30,39.19,39.17,68.48,30.67,30.56,30.55,36.08,36.09,22.10,22.10,203.20,19.42,20.25
3.00,48.41,0.00,67.13,635.03,206.59,7.75,8.13,110.37,18.44,0.63,29.25,12.26,60.00,5.13,2.82,163.91,112.36,132.71,44.06,35.37,165.01,14.58,1.97,6.88,87.69,6.39,9.98,56.98,6.70,13.18,0.00,0.00,0.00,0.00,67.88,0.00,149.37,160.35,149.42,0.00,74.91,76.30,44.42,29.75,68.48,30.67,30.56,30.55,36.08,36.09,52.75,52.74,203.20,19.42,20.25
4.00,48.41,0.00,67.13,635.03,206.59,7.75,8.13,110.37,18.44,0.63,29.25,13.53,60.00,5.13,2.82,163.91,112.36,132.71,44.06,35.37,165.01,14.58,1.97,6.88,87.69,6.39,9.98,67.15,6.70,15.53,0.00,0.00,0.00,0.00,67.88,0.00,184.17,197.14,184.23,0.00,74.91,76.30,45.90,35.17,68.48,30.67,30.56,30.55,36.08,36.09,53.01,53.00,203.20,19.42,20.25
5.00,48.41,0.00,65.17,635.03,206.59,7.75,8.13,110.37,18.44,0.63,29.25,14.92,60.00,5.13,2.82,163.91,112.36,132.71,44.06,35.37,165.01,14.58,1.97,6.88,87.69,6.39,9.98,85.48,6.70,19.77,0.00,0.00,57.41,0.00,66.21,35.05,184.17,197.14,184.23,0.00,74.91,76.30,66.56,0.00,68.48,30.67,30.56,30.55,36.08,36.09,53.01,53.00,203.20,19.42,20.25
6.00,48.41,0.00,67.13,635.03,206.59,7.75,8.13,110.37,18.44,0.63,29.25,14.92,60.00,5.13,2.82,163.91,112.36,132.71,44.06,35.37,165.01,27.66,1.97,6.88,87.69,6.39,9.98,85.48,6.70,19.77,0.00,208.65,67.50,0.00,0.00,67.33,184.17,197.14,184.23,0.00,74.91,76.30,43.70,32.56,68.48,30.67,30.56,30.55,36.08,36.09,53.01,53.00,203.20,19.42,20.25
7.00,48.41,0.00,67.13,635.03,206.59,7.75,8.13,110.37,18.44,0.63,29.25,14.92,60.00,5.13,2.82,163.91,112.36,132.71,44.06,35.37,165.01,27.66,1.97,6.88,87.69,6.39,9.98,85.48,6.70,19.77,0.00,215.57,56.54,40.52,36.91,56.41,184.17,197.14,184.23,0.00,74.91,76.30,44.54,34.93,68.48,30.67,30.56,30.55,36.08,36.09,65.15,65.14,203.20,19.42,20.25
8.00,48.41,0.00,67.13,635.03,206.59,7.75,8.13,110.37,18.44,0.63,29.25,14.92,60.00,5.13,2.82,163.91,112.36,132.71,44.06,35.37,165.01,27.66,1.97,6.88,87.69,6.39,9.98,85.48,6.70,19.77,0.00,210.20,58.53,28.07,58.83,35.17,184.17,197.14,184.23,0.00,74.91,76.30,42.07,30.98,68.48,30.67,30.56,30.55,36.08,36.09,40.86,40.86,203.20,19.42,20.25
9.00,48.41,0.00,67.13,635.03,206.59,7.75,8.13,110.37,18.44,0.63,29.25,14.92,120.82,5.13,2.82,163.91,112.36,132.71,44.06,35.37,165.01,27.66,1.97,6.88,87.69,6.39,9.98,85.48,6.70,19.77,228.46,228.19,67.50,67.10,67.88,27.09,184.17,197.14,184.23,0.00,74.91,76.30,45.18,50.92,68.48,30.67,30.56,30.55,36.08,36.09,110.26,110.22,203.20,19.42,20.25
10.00,48.41,0.00,67.13,635.03,206.59,7.75,8.13,110.37,18.44,0.63,29.25,14.92,135.82,5.13,2.82,163.91,112.36,132.71,44.06,35.37,165.01,27.66,1.97,6.88,87.69,6.39,9.98,85.48,6.70,19.77,228.46,228.19,67.50,67.10,67.88,23.56,184.17,197.14,184.23,0.00,74.91,76.30,53.40,66.47,68.48,30.67,30.56,30.55,36.08,36.09,110.26,110.22,203.20,19.42,20.25
11.00,48.41,0.00,67.13,635.03,206.59,7.75,8.13,110.37,18.44,0.63,29.25,14.92,136.33,5.13,2.82,163.91,112.36,132.71,44.06,35.37,165.01,27.66,1.97,6.88,87.69,6.39,9.98,85.48,6.70,19.77,228.46,228.19,67.50,67.10,67.88,25.84,184.17,197.14,184.23,0.00,74.91,76.30,53.40,66.47,68.48,30.67,30.56,30.55,36.08,36.09,110.26,110.22,203.20,19.42,20.25
12.00,48.41,0.00,67.13,635.03,206.59,7.75,8.13,110.37,18.44,0.63,29.25,14.92,137.61,5.13,2.82,163.91,112.36,132.71,44.06,35.37,165.01,27.66,1.97,6.88,87.69,6.39,9.98,85.48,6.70,19.77,228.46,228.19,67.50,67.10,67.88,24.02,184.17,197.14,184.23,0.00,74.91,76.30,53.40,66.47,68.48,30.67,30.56,30.55,36.08,36.09,110.26,110.22,203.20,19.42,20.25
13.00,48.41,0.00,67.13,635.03,206.59,7.75,8.13,110.37,18.44,0.63,29.25,14.92,142.31,5.13,2.82,163.91,112.36,132.71,44.06,35.37,165.01,27.66,1.97,6.88,87.69,6.39,9.98,86.55,6.70,19.77,228.46,228.19,67.50,67.10,67.88,20.62,184.17,197.14,184.23,0.00,74.91,76.30,53.40,66.47,68.48,30.67,30.56,30.55,36.08,36.09,110.26,110.22,203.20,19.42,20.25
14.00,48.41,0.00,67.13,635.03,206.59,7.75,8.13,110.37,18.44,0.63,29.25,14.92,103.67,5.13,2.82,163.91,112.36,132.71,44.06,35.37,165.01,27.66,1.97,6.88,87.69,6.39,9.98,85.48,6.70,19.77,228.46,228.19,67.50,67.10,67.88,30.06,184.17,197.14,184.23,0.00,74.91,76.30,41.13,49.55,68.48,30.67,30.56,30.55,36.08,36.09,110.26,110.22,203.20,19.42,20.25
15.00,48.41,0.00,67.13,635.03,206.59,7.75,8.13,110.37,18.44,0.63,29.25,14.92,98.40,5.13,2.82,163.91,112.36,132.71,44.06,35.37,165.01,27.66,1.97,6.88,87.69,6.39,9.98,85.48,6.70,19.77,228.46,228.19,67.50,67.10,67.88,37.61,184.17,197.14,184.23,0.00,74.91,76.30,44.07,46.90,68.48,30.67,30.56,30.55,36.08,36.09,110.26,110.22,203.20,19.42,20.25
16.00,48.41,0.00,67.13,635.03,206.59,7.75,8.13,110.37,18.44,0.63,29.25,14.92,81.71,5.13,2.82,163.91,112.36,132.71,44.06,35.37,165.01,27.66,1.97,6.88,87.69,6.39,9.98,85.48,6.70,19.77,217.53,217.28,67.50,67.10,67.88,30.05,184.17,197.14,184.23,0.00,74.91,76.30,44.07,46.76,68.48,30.67,30.56,30.55,36.08,36.09,107.06,107.02,203.20,19.42,20.25
17.00,48.41,0.00,67.13,635.03,206.59,7.75,8.13,110.37,18.44,0.63,29.25,14.92,81.71,5.13,2.82,163.91,112.36,132.71,44.06,35.37,165.01,25.00,1.97,6.88,87.69,6.39,9.98,85.48,6.70,19.77,215.07,214.82,67.50,67.10,67.88,22.10,184.17,197.14,184.23,0.00,74.91,76.30,44.11,46.72,68.48,30.67,30.56,30.55,36.08,36.09,109.50,109.45,203.20,19.42,20.25
18.00,48.41,0.00,67.13,635.03,206.59,7.75,8.13,110.37,18.44,0.63,29.25,13.43,73.57,5.13,2.82,163.91,112.36,132.71,44.06,35.37,165.01,25.00,1.97,6.88,87.69,6.39,9.98,85.48,6.70,19.77,206.81,206.58,27.98,67.10,67.88,27.98,184.17,197.14,184.23,0.00,74.91,76.30,44.17,46.65,68.48,30.67,30.56,30.55,36.08,36.09,44.18,44.18,203.20,19.42,20.25
19.00,48.41,0.00,67.13,635.03,206.59,7.75,8.13,110.37,18.44,0.63,29.25,10.96,60.00,5.13,2.82,163.91,112.36,132.71,44.06,35.37,165.01,25.00,1.97,6.88,87.69,6.39,9.98,85.48,6.70,19.77,180.22,180.13,23.30,67.10,67.88,23.30,184.17,197.14,184.23,0.00,74.91,76.30,33.15,35.57,68.48,30.67,30.56,30.55,36.08,36.09,0.00,20.62,203.20,19.42,20.25
20.00,48.41,0.00,67.13,635.03,206.59,7.75,8.13,110.37,18.44,0.63,29.25,13.57,74.29,5.13,2.82,163.91,112.36,132.71,44.06,35.37,165.01,25.00,1.97,6.88,87.69,6.39,9.98,85.48,6.70,19.77,193.18,193.01,23.30,67.10,67.88,23.30,184.17,197.14,184.23,0.00,74.91,76.30,50.20,62.73,68.48,30.67,30.56,30.55,36.08,36.09,0.00,107.28,203.20,19.42,20.25
