"ETAPA \ GENERADOR","MAJES","CARPAPATA","REPARTICION","PARAMONGA","HUAYCOLORO","LA JOYA","STACRUZ12","HUASAHUASI","RONCADOR","PURMACANA","NIMPERIAL","MAPLE","TACNASOLAR","PANAMERICANASOLAR","PIZARRAS","PIAS","POECHOS2","PE TALARA","PE CUPISNIQUE","ELOR","CURUMUY","POECHOS1","CANCHAYLLO","CHANCAY","RUCUY","RUNATULLOII","RUNATULLOIII","LAGRINGAV","MOQUEGUASOLAR","PQEEOLICOMARCONA","PQEEOLICO3HERMANAS","YANAPAMPA","TABLAZO","POTRERO","CH MARANON","CS RUBI","YARUCAYA","INTIPAMPA","CHHER1","CHANGELI","CHANGELII","CHANGELIII","CTB DONA CATALINA","WAYRAI","CHZANA","8AGOSTO","EL CARMEN","CT CANA BRAVA","CT SAN JACINTO","CH MANTA","CTB CALLAO","HUAMBOS","DUNA","CT TALLANCA","SANTA ROSA 1","SANTA ROSA 2","CSF YARUCAYA","TUPURI","CE PUNTA LOMITASBL1","CE PUNTA LOMITASBL2","PTALOMITASEXPBL1","PTALOMITASEXPBL2","CSCLEMESI","PE SAN JUAN","WAYRAEXP","CS CARHUAQUERO","CH HUALLIN","CS MATARANI","CS SAN MARTIN","CTAGROOLMOS","CSSUNNY","CS INTIPAMPA EXP","CTCASAGRANDE"
1.00,0.00,17.13,0.00,14.00,2.90,7.90,5.80,7.30,1.40,0.00,3.00,20.00,0.00,0.00,10.73,0.00,0.00,9.60,27.20,0.00,0.00,0.00,3.40,18.54,10.00,11.71,15.61,1.40,0.00,13.00,34.09,2.18,27.00,5.00,18.05,0.00,17.95,0.00,0.60,19.51,19.51,19.51,1.20,13.00,9.00,12.00,4.00,10.80,8.30,6.50,2.40,0.60,0.00,18.00,0.00,0.00,0.00,1.00,31.60,36.70,2.00,1.02,0.00,38.50,6.40,0.00,1.32,0.00,0.00,11.00,0.00,0.00,23.00
2.00,0.00,17.13,0.00,14.00,2.90,7.90,5.80,7.30,1.40,0.00,3.00,20.00,0.00,0.00,10.73,0.00,0.00,9.80,26.30,0.00,0.00,0.00,3.40,18.54,10.00,11.71,15.61,1.40,0.00,13.50,34.09,2.18,27.00,5.00,18.05,0.00,17.95,0.00,0.60,19.51,19.51,19.51,1.20,11.60,9.00,12.00,4.00,10.80,8.30,6.50,2.40,0.60,0.10,18.00,0.00,0.00,0.00,1.00,31.40,36.30,2.10,1.02,0.00,38.30,4.60,0.00,1.32,0.00,0.00,11.00,0.00,0.00,23.00
3.00,0.00,17.65,0.00,14.00,2.90,7.90,5.80,7.30,1.40,0.00,3.00,20.00,0.00,0.00,10.73,0.00,0.00,10.10,24.80,0.00,0.00,0.00,3.40,18.54,10.00,11.71,15.61,1.40,0.00,14.10,33.50,2.18,27.00,5.00,18.05,0.00,17.95,0.00,0.60,19.51,19.51,19.51,1.20,13.60,9.00,12.00,4.00,10.80,8.30,6.50,2.40,0.70,0.30,18.00,0.00,0.00,0.00,1.00,31.30,38.60,2.30,1.03,0.00,40.50,6.90,0.00,1.36,0.00,0.00,11.00,0.00,0.00,23.00
4.00,0.00,17.85,0.00,14.00,2.90,7.90,5.80,7.30,1.40,0.00,3.00,20.00,0.00,0.00,10.73,0.00,0.00,11.00,23.40,0.00,0.00,0.00,3.40,18.54,10.00,11.71,15.61,1.40,0.00,14.80,33.04,2.18,27.00,5.00,18.05,0.00,17.95,0.00,0.60,19.51,19.51,19.51,1.20,16.70,9.00,12.00,4.00,10.80,8.30,6.50,2.40,0.70,0.50,18.00,0.00,0.00,0.00,1.00,33.80,40.10,2.50,1.05,0.00,42.20,9.50,0.00,1.36,0.00,0.00,11.00,0.00,0.00,23.00
5.00,0.00,17.73,0.00,14.00,2.90,7.90,5.80,7.30,1.40,0.00,3.00,20.00,0.00,0.00,10.73,0.00,0.00,12.00,21.90,0.00,0.00,0.00,3.40,18.54,10.00,11.71,15.61,1.40,0.00,15.60,34.38,2.18,27.00,5.00,18.05,0.00,17.95,0.00,0.60,19.51,19.51,19.51,1.20,23.00,9.00,12.00,4.00,10.80,8.30,6.50,2.40,0.80,0.60,18.00,0.00,0.00,0.00,1.00,37.10,39.60,2.80,1.21,0.00,42.60,13.30,0.00,1.36,0.00,0.00,11.00,0.00,0.00,23.00
6.00,0.00,17.93,0.00,14.00,2.90,7.90,5.80,7.30,1.40,0.00,3.00,20.00,0.00,0.00,10.73,0.00,0.00,13.10,20.60,0.00,0.00,0.00,3.40,18.54,10.00,11.71,15.61,1.40,0.00,15.50,36.33,2.18,27.00,5.00,18.05,0.00,17.95,0.00,0.60,19.51,19.51,19.51,1.20,29.60,9.00,12.00,4.00,10.80,8.30,6.50,2.40,0.90,0.60,18.00,0.00,0.00,0.00,1.00,39.70,39.60,2.90,1.41,0.00,43.20,17.40,0.00,1.36,0.00,0.00,11.00,0.00,0.00,23.00
7.00,0.00,17.92,0.00,14.00,2.90,7.90,5.80,7.30,1.40,0.00,3.00,20.00,0.00,0.00,10.73,0.00,0.00,14.10,19.60,0.00,0.00,0.00,3.40,18.54,10.00,11.71,15.61,1.40,0.00,15.00,36.86,2.18,27.00,5.00,18.05,0.00,17.95,0.00,0.60,19.51,19.51,19.51,1.20,37.10,9.00,12.00,4.00,10.80,8.30,6.50,2.40,1.00,0.50,18.00,0.00,0.00,0.00,1.00,42.00,41.00,2.90,1.55,0.00,44.10,22.70,0.00,1.36,0.00,0.00,11.00,0.00,0.00,23.00
8.00,0.00,18.37,0.00,14.00,2.90,7.90,5.80,7.30,1.40,0.00,3.00,20.00,0.00,0.00,10.73,0.00,0.00,14.40,18.60,0.00,0.00,0.00,3.40,18.54,10.00,11.71,15.61,1.40,0.00,15.00,36.92,2.18,27.00,5.00,18.05,0.00,17.95,0.00,0.60,19.51,19.51,19.51,1.20,43.10,9.00,12.00,4.00,10.80,8.30,6.50,2.40,1.00,0.50,18.00,0.00,0.00,0.00,1.00,44.60,42.20,2.90,1.65,0.00,44.80,27.20,0.00,1.36,0.00,0.00,11.00,0.00,0.00,23.00
9.00,0.00,18.30,0.00,14.00,2.90,7.90,5.80,7.30,1.40,0.00,3.00,20.00,0.00,0.00,10.73,0.00,0.00,14.30,17.50,0.00,0.00,0.00,3.40,18.54,10.00,11.71,15.61,1.40,0.00,15.20,36.78,2.18,27.00,5.00,18.05,0.00,17.95,0.00,0.60,19.51,19.51,19.51,1.20,44.00,9.00,12.00,4.00,10.80,8.30,6.50,2.40,1.10,0.60,18.00,0.00,0.00,0.00,1.00,47.20,43.10,2.90,1.71,0.00,44.60,29.90,0.00,1.36,0.00,0.00,11.00,0.00,0.00,23.00
10.00,0.00,18.31,0.00,14.00,2.90,7.90,5.80,7.30,1.40,0.00,3.00,20.00,0.05,0.01,10.73,0.00,0.00,14.40,16.50,0.00,0.00,0.00,3.40,18.54,10.00,11.71,15.61,1.40,0.00,14.80,36.56,2.18,27.00,5.00,18.05,0.10,17.95,0.02,0.60,19.51,19.51,19.51,1.20,44.70,9.00,12.00,4.00,10.80,8.30,6.50,2.40,1.10,0.80,18.00,0.00,0.00,0.00,1.00,49.70,44.20,3.00,1.75,0.12,44.30,32.20,0.00,1.36,0.01,0.00,11.00,0.00,0.00,23.00
