"ETAPA \ GENERADOR","CALLAHUANCA","HUAMPANI","MOYOPAMPA","MANTARO","RESTITUCION","OROYA","PACHACHACA","YAUPI","HUANCHOR","PARIAC","YANANGO","CHARCANI IV","CHARCANI V","ARICOTA I","ARICOTA II","MACHUPICCHU","SAN GABAN II","YUNCAN","CAHUA","MALPASO","CANON DEL PATO","GALLITO CIEGO","ARCATA","CHARCANI 123","SANTA TERESA","PCH CHAGLLA","CH CARHUAQUERO IV","HUANZA","MCH CERRO DEL AGUILA","CARHUAC","CHAGLLA G1","CHAGLLA G2","HUINCO G1","HUINCO G2","HUINCO G3","HUINCO G4","CERRO DEL AGUILA G1","CERRO DEL AGUILA G2","CERRO DEL AGUILA G3","CH CANA BRAVA","CHIMAY G1","CHIMAY G2","MATUCANA G1","MATUCANA G2","LA VIRGEN","CARHUAQUERO G1","CARHUAQUERO G2","CARHUAQUERO G3","CHEVES G1","CHEVES G2","PLATANAL G1","PLATANAL G2","CH SAN GABAN III","CH ANASHIRONI","CH RENOVANDES"
1.00,0.00,29.95,67.13,635.03,206.59,7.75,8.13,110.37,18.26,4.01,22.63,14.92,105.79,5.13,2.82,163.91,112.36,132.71,44.06,35.37,189.76,13.33,1.97,6.88,87.69,6.39,9.98,68.40,5.46,15.82,223.28,0.00,39.91,67.10,0.00,60.15,67.09,73.43,67.09,0.00,74.91,76.30,47.56,42.40,58.90,30.67,30.56,30.55,44.46,44.48,103.11,103.06,203.20,19.40,0.00
2.00,0.00,29.95,67.13,635.03,206.59,7.75,8.13,110.37,18.26,4.01,22.63,14.92,100.18,5.13,2.82,163.91,112.36,132.71,44.06,35.37,189.76,13.33,1.97,6.88,87.69,6.39,9.98,62.49,5.46,14.45,218.03,0.00,30.62,67.10,0.00,26.65,95.69,0.00,95.70,0.00,74.91,76.30,34.68,48.21,58.90,30.67,30.56,30.55,44.31,44.34,94.95,94.91,203.20,19.40,0.00
3.00,0.00,29.95,67.13,635.03,206.59,7.75,8.13,110.37,18.26,4.01,22.63,14.92,97.67,5.13,2.82,163.91,112.36,132.71,44.06,35.37,189.76,13.33,1.97,6.88,87.69,6.39,9.98,55.71,5.46,12.89,213.99,0.00,26.06,67.10,0.00,26.06,89.40,0.00,89.40,0.00,74.91,75.00,35.94,46.50,58.90,30.67,30.56,30.55,44.31,44.34,84.47,84.43,203.20,19.40,0.00
4.00,0.00,29.95,67.13,635.03,206.59,7.75,8.13,110.37,18.26,4.01,22.63,14.92,92.12,5.13,2.82,163.91,112.36,132.71,44.06,35.37,189.76,13.33,1.97,6.88,87.69,6.39,9.98,49.50,5.46,11.45,208.94,0.00,25.18,67.10,0.00,25.18,82.54,0.00,82.54,0.00,74.91,75.00,35.39,48.55,58.90,30.67,30.56,30.55,44.17,44.19,68.71,68.69,203.20,19.40,0.00
5.00,0.00,29.95,67.13,635.03,206.59,7.75,8.13,110.37,18.26,4.01,22.63,14.92,101.45,5.13,2.82,163.91,112.36,132.71,44.06,35.37,189.76,13.33,1.97,6.88,87.69,6.39,9.98,4.64,5.46,0.00,219.08,0.00,67.50,24.55,0.00,24.55,108.06,0.00,108.07,0.00,74.91,76.30,35.88,48.78,58.90,30.67,30.56,30.55,44.46,44.48,88.14,88.10,203.20,19.40,0.00
6.00,0.00,29.95,67.13,635.03,206.59,7.75,8.13,110.37,18.26,4.01,22.63,14.92,99.34,5.13,2.82,163.91,112.36,132.71,44.06,35.37,189.76,13.33,1.97,6.88,87.69,6.39,9.98,49.55,5.46,11.46,211.07,0.00,38.91,38.82,0.00,38.87,90.40,0.00,90.41,0.00,74.91,76.30,42.35,42.32,58.90,30.67,30.56,30.55,44.32,44.34,30.92,30.92,203.20,19.40,0.00
7.00,0.00,29.95,67.13,635.03,206.59,7.75,8.13,110.37,18.26,4.01,22.63,14.92,109.89,5.13,2.82,163.91,112.36,132.71,44.06,24.75,189.76,13.33,1.97,6.88,87.69,6.39,9.98,77.85,5.46,18.01,228.23,0.00,0.00,66.84,0.00,57.79,137.91,0.00,137.95,0.00,74.91,75.00,32.64,45.22,58.90,30.67,30.56,30.55,44.31,44.34,0.00,0.00,203.20,19.40,0.00
8.00,0.00,29.95,67.13,635.03,206.59,7.75,8.13,110.37,18.26,4.01,22.63,14.92,109.01,5.13,2.82,163.91,112.36,132.71,44.06,24.75,189.76,13.33,1.97,6.88,87.69,6.39,9.98,76.84,5.46,17.77,228.45,0.00,0.00,67.09,0.00,57.04,134.73,0.00,134.76,0.00,74.91,75.00,31.62,46.67,58.90,30.67,30.56,30.55,44.31,44.34,0.00,0.00,203.20,19.40,0.00
9.00,0.00,29.95,67.13,635.03,206.59,7.75,8.13,110.37,18.26,4.01,22.63,14.92,101.74,5.13,2.82,163.91,112.36,132.71,44.06,24.74,189.76,13.33,1.97,6.88,87.69,6.39,9.98,68.43,5.46,15.83,144.33,144.33,0.00,55.85,56.44,20.62,78.28,84.45,78.28,0.00,74.91,76.30,27.25,43.61,58.90,30.67,30.56,30.55,44.32,44.34,0.00,0.00,203.20,19.40,0.00
10.00,0.00,29.95,67.13,635.03,206.59,7.75,8.13,110.37,18.26,4.01,22.63,14.92,87.09,5.13,2.82,163.91,112.36,132.71,44.06,24.75,189.76,13.33,1.97,6.88,87.69,6.39,9.98,75.50,5.46,17.46,225.01,0.00,0.00,67.10,32.64,32.59,82.96,89.03,82.96,0.00,74.91,75.00,66.56,0.00,58.90,30.67,30.56,30.55,44.17,44.19,0.00,0.00,203.20,19.40,0.00
11.00,0.00,29.95,67.13,635.03,206.59,7.75,8.13,110.37,18.26,4.01,22.63,14.92,81.71,5.13,2.82,163.91,112.36,132.71,44.06,24.78,189.76,13.33,1.97,6.88,87.69,6.39,9.98,0.00,5.46,0.00,228.46,0.00,0.00,58.05,42.91,42.72,90.11,96.09,90.11,0.00,74.91,75.00,66.56,0.00,58.90,30.67,30.56,30.55,44.46,44.48,0.00,0.00,203.20,19.40,0.00
12.00,0.00,29.95,67.13,635.03,206.59,7.75,8.13,110.37,18.26,4.01,22.63,14.92,81.71,5.13,2.82,163.91,112.36,132.71,44.06,24.74,189.76,13.33,1.97,6.88,87.69,6.39,9.98,0.00,5.46,0.00,228.46,0.00,0.00,35.75,35.86,35.78,78.73,84.88,78.73,0.00,0.00,75.00,42.28,50.17,58.90,30.67,30.56,30.55,44.31,44.33,0.00,0.00,203.20,19.40,0.00
13.00,0.00,29.95,67.13,635.03,206.59,7.75,8.13,110.37,18.26,4.01,22.63,0.00,67.15,5.13,2.82,163.91,112.36,132.71,44.06,24.74,189.76,13.33,1.97,6.88,87.69,6.39,9.98,80.16,5.46,18.54,228.28,0.00,25.41,52.01,0.00,52.12,0.00,129.33,0.00,0.00,74.91,75.00,31.91,41.81,58.90,30.67,30.56,30.55,44.32,44.34,0.00,0.00,197.74,19.40,0.00
14.00,0.00,29.95,67.13,635.03,206.59,7.75,8.13,110.37,18.26,4.01,22.63,0.00,67.15,5.13,2.82,163.91,112.36,132.71,44.06,24.74,189.76,13.33,1.97,6.88,87.69,6.39,9.98,85.48,5.46,19.77,228.46,0.00,33.44,36.97,0.00,36.98,0.00,0.00,0.00,0.00,74.91,75.00,46.24,46.20,58.90,30.67,30.56,30.55,44.31,44.34,0.00,0.00,180.74,19.40,0.00
15.00,0.00,29.95,67.13,635.03,206.59,7.75,8.13,110.37,18.26,4.01,22.63,0.00,32.29,5.13,2.82,163.91,112.36,132.71,44.06,24.75,189.76,13.33,1.97,6.88,87.69,6.39,9.98,55.83,5.46,12.91,222.31,0.00,20.62,62.58,0.00,62.80,0.00,72.84,0.00,0.00,71.90,55.22,20.62,39.17,58.90,30.67,30.56,30.55,44.17,44.19,61.38,61.37,159.56,19.40,0.00
16.00,0.00,29.95,67.13,635.03,206.59,7.75,8.13,110.37,18.26,4.01,22.63,0.00,15.46,5.13,2.82,163.91,112.36,132.71,44.06,7.39,189.76,13.33,1.97,6.88,87.69,6.39,9.98,68.58,5.46,15.86,228.46,0.00,62.70,62.31,0.00,20.62,0.00,72.84,0.00,0.00,68.95,68.95,20.78,39.33,58.90,30.67,30.56,30.55,44.31,44.34,61.38,61.37,148.97,19.40,0.00
17.00,0.00,29.95,67.13,635.03,206.59,7.75,8.13,110.37,18.26,4.01,22.63,0.00,19.23,5.13,2.82,163.91,112.36,87.08,44.06,35.37,189.76,13.33,1.97,6.88,87.69,6.39,9.98,85.48,5.46,19.77,228.46,0.00,47.25,47.04,0.00,26.88,0.00,80.49,0.00,0.00,74.91,76.30,44.33,45.64,58.90,30.67,30.56,30.55,44.32,44.34,61.38,61.37,153.92,19.40,0.00
