"ETAPA \ GENERADOR","MAJES","CARPAPATA","REPARTICION","PARAMONGA","HUAYCOLORO","LA JOYA","STACRUZ12","HUASAHUASI","RONCADOR","PURMACANA","NIMPERIAL","MAPLE","TACNASOLAR","PANAMERICANASOLAR","PIZARRAS","PIAS","POECHOS2","PE TALARA","PE CUPISNIQUE","ELOR","CURUMUY","POECHOS1","CANCHAYLLO","CHANCAY","RUCUY","RUNATULLOII","RUNATULLOIII","LAGRINGAV","MOQUEGUASOLAR","PQEEOLICOMARCONA","PQEEOLICO3HERMANAS","YANAPAMPA","TABLAZO","POTRERO","CH MARANON","CS RUBI","YARUCAYA","INTIPAMPA","CHHER1","CHANGELI","CHANGELII","CHANGELIII","CTB DONA CATALINA","WAYRAI","CHZANA","8AGOSTO","EL CARMEN","CT CANA BRAVA","CT SAN JACINTO","CH MANTA","CTB CALLAO","HUAMBOS","DUNA","CT TALLANCA","SANTA ROSA 1","SANTA ROSA 2","CSF YARUCAYA","TUPURI","CE PUNTA LOMITASBL1","CE PUNTA LOMITASBL2","PTALOMITASEXPBL1","PTALOMITASEXPBL2","CSCLEMESI","PE SAN JUAN","WAYRAEXP","CS CARHUAQUERO","CH HUALLIN","CS MATARANI","CS SAN MARTIN","CS SUNNY","CT AGROLMOS"
1.00,0.00,23.21,0.00,14.00,1.45,7.80,8.20,9.30,0.00,0.40,3.50,19.00,0.00,0.00,17.48,0.00,4.80,15.71,27.69,0.00,2.70,3.30,3.20,18.45,16.31,12.62,15.53,0.00,0.00,19.78,58.61,3.50,27.10,19.42,17.96,0.00,17.96,0.00,0.60,19.42,19.42,19.42,0.00,44.56,12.82,7.00,8.40,10.00,7.98,17.48,2.40,7.74,12.41,9.50,0.00,0.00,0.00,1.00,35.11,59.82,1.35,1.94,0.00,86.04,34.89,0.00,2.00,0.00,0.00,0.00,11.00
2.00,0.00,23.21,0.00,14.00,1.45,7.80,8.20,9.30,0.00,0.40,3.50,19.00,0.00,0.00,17.48,0.00,4.80,15.71,27.69,0.00,2.70,3.30,3.20,18.45,16.31,12.62,15.53,0.00,0.00,19.78,58.61,3.50,27.10,19.42,17.96,0.00,17.96,0.00,0.60,19.42,19.42,19.42,0.00,44.56,12.82,7.00,8.40,10.00,7.98,17.48,2.40,7.74,12.41,9.50,0.00,0.00,0.00,1.00,35.11,59.82,1.35,1.94,0.00,86.04,34.89,0.00,2.00,0.00,0.00,0.00,11.00
3.00,0.00,23.28,0.00,14.00,1.45,7.80,8.20,9.30,0.00,0.40,3.50,19.00,0.00,0.00,17.48,0.00,4.80,15.87,27.43,0.00,2.70,3.30,3.20,18.45,16.31,12.62,15.53,0.00,0.00,19.14,56.32,3.50,27.00,19.42,17.96,0.00,17.96,0.00,0.60,19.42,19.42,19.42,0.00,41.00,12.82,7.00,8.40,10.80,7.98,17.48,2.40,7.78,12.49,9.50,0.00,0.00,0.00,1.00,32.75,57.01,1.24,1.79,0.00,84.21,33.65,0.00,2.00,0.00,0.00,0.00,11.00
4.00,0.00,23.04,0.00,14.00,1.45,7.80,8.20,9.30,0.00,0.40,3.50,19.00,0.00,0.00,17.48,0.00,4.80,16.34,27.39,0.00,2.70,3.30,3.20,18.45,16.31,12.62,15.53,0.00,0.00,18.62,54.12,3.50,27.10,19.42,17.96,0.00,17.96,0.00,0.60,19.42,19.42,19.42,0.00,37.09,12.82,7.00,8.40,10.80,7.98,17.48,2.40,7.75,12.49,9.50,0.00,0.00,0.00,1.00,30.69,54.07,1.16,1.66,0.00,82.57,32.90,0.00,2.00,0.00,0.00,0.00,11.00
5.00,0.00,23.17,0.00,14.00,1.45,7.80,8.20,9.30,0.00,0.40,3.50,19.00,0.00,0.00,17.48,0.00,4.80,16.95,26.30,0.00,2.70,3.30,3.20,18.45,16.31,12.62,15.53,0.00,0.00,18.11,51.77,3.50,27.10,19.42,17.96,0.00,17.96,0.00,0.60,19.42,19.42,19.42,0.00,35.38,12.82,7.00,8.40,10.80,7.98,17.48,2.40,7.74,12.40,9.50,0.00,0.00,0.00,1.00,28.12,50.56,1.05,1.38,0.00,81.68,32.93,0.00,2.00,0.00,0.00,0.00,11.00
6.00,0.00,23.17,0.00,14.00,1.45,7.80,8.20,9.30,0.00,0.40,3.50,19.00,0.00,0.00,17.48,0.00,4.80,17.60,24.87,0.00,2.70,3.30,3.20,18.45,16.31,12.62,15.53,0.00,0.00,17.59,49.36,3.50,27.20,19.42,17.96,0.00,17.96,0.00,0.60,19.42,19.42,19.42,0.00,34.41,12.82,7.00,8.40,10.80,7.98,17.48,2.40,7.73,12.30,9.50,0.00,0.00,0.00,1.00,25.39,46.85,0.92,1.04,0.00,81.04,33.23,0.00,2.00,0.00,0.00,0.00,11.00
7.00,0.00,23.17,0.00,14.00,1.45,7.80,8.20,9.30,0.00,0.40,3.50,19.00,0.00,0.00,17.48,0.00,4.80,18.01,23.86,0.00,2.70,3.30,3.20,18.45,16.31,12.62,15.53,0.00,0.00,17.14,47.60,3.50,27.20,19.42,17.96,0.00,17.96,0.00,0.60,19.42,19.42,19.42,0.00,36.93,12.82,7.00,8.40,10.80,7.98,17.48,2.40,7.37,12.10,9.50,0.00,0.00,0.00,1.00,23.64,44.83,0.82,0.85,0.00,80.27,34.61,0.00,2.00,0.00,0.00,0.00,11.00
8.00,0.00,23.17,0.00,14.00,1.45,7.80,8.20,9.30,0.00,0.40,3.50,19.00,0.00,0.00,17.48,0.00,4.80,18.34,23.00,0.00,2.70,3.30,3.20,18.45,16.31,12.62,15.53,0.00,0.00,16.70,46.06,3.50,27.20,19.42,17.96,0.00,17.96,0.00,0.60,19.42,19.42,19.42,0.00,40.61,12.82,7.00,8.40,10.80,7.98,17.48,2.40,6.88,11.86,9.50,0.00,0.00,0.00,1.00,22.22,43.37,0.73,0.71,0.00,79.46,36.34,0.00,2.00,0.00,0.00,0.00,11.00
9.00,0.00,23.17,0.00,14.00,1.45,7.80,8.20,9.30,0.00,0.40,3.50,19.00,0.00,0.00,17.48,0.00,4.80,18.89,22.43,5.00,2.70,3.30,3.20,18.45,16.31,12.62,15.53,0.00,0.00,16.59,45.46,3.50,27.20,19.42,17.96,0.00,17.96,0.00,0.60,19.42,19.42,19.42,0.00,41.94,12.82,7.00,8.40,10.80,7.98,17.48,2.40,6.49,11.55,9.50,0.00,0.00,0.00,1.00,22.02,43.95,0.74,0.69,0.00,79.26,38.50,0.00,2.00,0.00,0.00,0.00,11.00
10.00,0.00,23.17,0.08,14.00,1.45,7.80,8.20,9.30,0.00,0.40,3.50,19.00,0.02,0.02,17.48,0.00,4.80,19.52,21.96,5.00,2.70,3.30,3.20,18.45,16.31,12.62,15.53,0.00,0.00,16.59,45.18,3.50,27.20,19.42,17.96,1.04,17.96,0.17,0.60,19.42,19.42,19.42,0.00,42.49,12.82,7.00,8.40,10.80,7.98,17.48,2.40,6.14,11.20,9.50,0.00,0.00,0.00,1.00,22.21,45.22,0.77,0.71,1.02,79.27,40.79,0.00,2.00,0.02,0.03,0.00,11.00
