"ETAPA \ GENERADOR","MAJES","CARPAPATA","REPARTICION","PARAMONGA","HUAYCOLORO","LA JOYA","STACRUZ12","HUASAHUASI","RONCADOR","PURMACANA","NIMPERIAL","MAPLE","TACNASOLAR","PANAMERICANASOLAR","PIZARRAS","PIAS","POECHOS2","PE TALARA","PE CUPISNIQUE","ELOR","CURUMUY","POECHOS1","CANCHAYLLO","CHANCAY","RUCUY","RUNATULLOII","RUNATULLOIII","LAGRINGAV","MOQUEGUASOLAR","PQEEOLICOMARCONA","PQEEOLICO3HERMANAS","YANAPAMPA","TABLAZO","POTRERO","CH MARANON","CS RUBI","YARUCAYA","INTIPAMPA","CHHER1","CHANGELI","CHANGELII","CHANGELIII","CTB DONA CATALINA","WAYRAI","CHZANA","8AGOSTO","RENOVANDESH1","EL CARMEN","CT CANA BRAVA","CT SAN JACINTO","CH MANTA","CTB CALLAO","HUAMBOS","DUNA","CT TALLANCA","CSF YARUCAYA","TUPURI","CE PUNTA LOMITASBL1","CE PUNTA LOMITASBL2","PTALOMITASEXPBL1","PTALOMITASEXPBL2","CSCLEMESI","PE SAN JUAN","WAYRAEXP","CS CARHUAQUERO","CH HUALLIN","CS MATARANI"
1.00,16.18,23.91,18.70,14.00,4.20,7.80,12.29,19.22,1.00,0.00,3.50,0.00,18.70,17.20,18.05,0.00,9.20,1.01,14.35,8.00,8.60,15.61,4.90,19.32,19.32,19.51,19.51,2.60,14.55,20.30,41.33,3.51,0.00,19.51,19.32,136.00,18.15,36.01,0.60,19.51,19.51,19.51,1.20,1.39,12.88,20.00,19.51,8.40,0.00,5.11,0.00,1.20,7.60,7.66,18.00,0.84,1.00,5.86,8.40,1.90,2.90,97.90,62.95,1.06,0.30,2.00,72.70
2.00,17.62,23.89,19.10,14.00,4.20,7.80,12.29,19.22,1.00,0.00,3.50,0.00,19.00,17.40,18.05,0.00,9.20,1.78,23.42,8.00,8.60,15.61,4.90,19.32,19.32,19.51,19.51,2.60,14.57,21.70,45.22,3.51,0.00,19.51,19.32,136.00,18.15,32.53,0.60,19.51,19.51,19.51,1.20,0.97,12.88,20.00,19.51,8.40,0.00,5.11,0.00,1.20,7.80,9.62,18.00,0.86,1.00,1.49,14.79,2.20,3.30,97.92,67.02,0.85,0.30,2.00,74.25
3.00,18.43,24.10,19.00,14.00,4.20,7.80,12.29,19.22,1.00,0.00,3.50,0.00,19.20,17.50,18.05,0.00,9.20,1.72,27.66,8.10,8.60,15.61,4.90,19.32,19.32,19.51,19.51,2.60,14.60,23.20,48.80,3.51,0.00,19.51,19.32,135.00,18.15,35.74,0.60,19.51,19.51,19.51,1.20,1.42,12.88,20.00,19.51,8.40,0.00,5.11,0.00,1.20,7.80,9.39,18.00,0.85,1.00,1.25,16.13,2.70,3.80,97.20,71.09,1.26,0.40,2.00,75.19
4.00,18.70,23.87,18.30,14.00,4.20,7.80,12.29,19.22,1.00,0.00,3.50,0.00,19.30,17.50,18.05,0.00,9.20,2.66,31.41,8.10,8.60,15.61,4.90,19.32,19.32,19.51,19.51,2.60,14.68,24.10,56.66,3.51,0.00,19.51,19.32,134.00,18.15,35.60,0.60,19.51,19.51,19.51,1.20,1.31,12.88,20.00,19.51,8.40,0.00,5.11,0.00,1.20,8.40,9.57,18.00,0.87,1.00,3.89,22.92,3.30,4.30,96.48,80.22,8.87,0.40,2.00,75.21
5.00,17.74,24.13,16.30,14.00,4.20,7.80,12.29,19.22,1.00,0.00,3.50,0.00,19.30,17.70,18.05,0.00,9.20,3.61,35.43,8.00,8.60,15.61,4.90,19.32,19.32,19.51,19.51,2.60,14.40,24.80,58.79,3.51,0.00,19.51,19.32,134.00,18.15,35.21,0.60,19.51,19.51,19.51,1.20,21.54,12.88,20.00,19.51,8.40,0.00,5.11,0.00,1.20,9.10,9.86,18.00,0.86,1.00,22.14,25.95,4.10,4.90,96.48,88.69,19.23,0.40,2.00,74.61
6.00,17.61,24.01,13.10,14.00,4.20,7.80,12.29,19.22,1.00,0.00,3.50,0.00,19.20,17.80,18.05,0.00,9.20,4.59,40.25,8.00,8.60,15.61,4.90,19.32,19.32,19.51,19.51,2.60,14.21,24.80,63.68,3.51,0.00,19.51,19.32,135.00,18.15,36.88,0.60,19.51,19.51,19.51,1.20,31.25,12.88,20.00,19.51,8.40,0.00,5.11,0.00,1.20,7.80,10.46,18.00,0.86,1.00,32.45,31.90,4.90,5.60,97.20,93.18,29.30,0.40,2.00,73.33
7.00,17.08,23.74,10.30,14.00,4.20,7.80,12.29,19.22,1.00,0.00,3.50,0.00,18.90,17.60,18.05,0.00,9.20,5.50,44.21,8.00,8.60,15.61,4.90,19.32,19.32,19.51,19.51,2.60,14.44,24.50,63.02,3.51,0.00,19.51,19.32,136.00,18.15,36.61,0.60,19.51,19.51,19.51,1.20,40.39,12.88,20.00,19.51,8.40,0.00,5.11,0.00,1.20,5.80,10.52,18.00,0.86,1.00,41.67,36.88,5.90,6.30,97.92,91.61,54.27,0.30,2.00,71.02
8.00,15.90,23.72,8.50,14.00,4.20,7.80,12.29,19.22,1.00,0.00,3.50,0.00,18.40,17.30,18.05,0.00,9.20,6.23,45.62,8.10,8.60,15.61,4.90,19.32,19.32,19.51,19.51,2.60,14.45,24.30,67.12,3.51,0.00,19.51,19.32,136.00,18.15,36.32,0.60,19.51,19.51,19.51,1.20,58.43,12.88,20.00,19.51,8.40,0.00,5.11,0.00,1.20,5.00,8.92,18.00,0.72,1.00,69.51,46.42,6.20,6.70,97.92,94.78,67.66,0.20,2.00,68.33
9.00,14.41,23.68,6.30,14.00,4.20,7.80,12.29,19.22,1.00,0.00,3.50,0.00,18.30,17.10,18.05,0.00,9.20,6.67,46.60,8.10,8.60,15.61,4.90,19.32,19.32,19.51,19.51,2.60,14.32,24.20,76.23,3.51,0.00,19.51,19.32,134.00,18.15,32.63,0.60,19.51,19.51,19.51,1.20,76.09,12.88,20.00,19.51,8.40,0.00,5.11,0.00,1.20,4.70,7.40,18.00,0.70,1.00,71.85,55.70,6.40,6.90,96.48,97.99,80.52,0.20,2.00,65.31
10.00,12.30,23.71,4.20,14.00,4.20,7.80,12.29,19.22,1.00,0.00,3.50,0.00,17.80,16.70,18.05,0.00,9.20,6.19,46.28,8.10,8.60,15.61,4.90,19.32,19.32,19.51,19.51,2.60,13.88,24.20,76.30,3.51,0.00,19.51,19.32,131.00,18.15,28.46,0.60,19.51,19.51,19.51,1.20,93.74,12.88,20.00,19.51,8.40,0.00,5.11,0.00,1.20,4.00,6.14,18.00,0.66,1.00,74.69,80.03,6.50,7.00,94.32,102.96,91.47,0.10,2.00,61.37
11.00,9.70,23.86,2.40,14.00,4.20,7.80,12.29,19.22,1.00,0.00,3.50,0.00,15.60,15.90,18.05,0.00,9.20,5.73,46.00,8.00,8.60,15.61,4.90,19.32,19.32,19.51,19.51,2.60,13.17,24.40,81.75,3.51,0.00,19.51,19.32,124.00,18.15,31.48,0.60,19.51,19.51,19.51,1.20,106.37,12.88,20.00,19.51,8.40,0.00,5.11,0.00,1.20,3.30,5.20,18.00,0.55,1.00,77.67,84.29,6.50,7.10,89.28,113.62,101.78,0.10,2.00,55.57
12.00,5.36,23.70,1.00,14.00,4.20,7.80,12.29,19.22,1.00,0.00,3.50,0.00,11.70,13.70,18.05,0.00,9.20,5.29,45.87,8.00,8.60,15.61,4.90,19.32,19.32,19.51,19.51,2.60,12.17,24.20,80.33,3.51,0.00,19.51,19.32,111.00,18.15,27.10,0.60,19.51,19.51,19.51,1.20,112.68,12.88,20.00,19.51,8.40,0.00,5.11,0.00,1.20,3.10,5.26,18.00,0.40,1.00,77.47,85.95,6.20,6.90,79.92,113.13,110.95,0.10,2.00,45.65
13.00,3.72,23.69,0.10,14.00,4.20,7.80,12.29,19.22,1.00,0.00,3.50,0.00,5.30,8.40,18.05,0.00,9.20,4.87,45.54,8.00,8.60,15.61,4.90,19.32,19.32,19.51,19.51,2.60,9.52,23.90,78.34,3.51,0.00,19.51,19.32,87.00,18.15,17.71,0.60,19.51,19.51,19.51,1.20,116.84,12.88,20.00,19.51,8.40,0.00,5.11,0.00,1.20,3.10,5.11,18.00,0.34,1.00,76.19,86.67,5.70,6.50,62.64,112.33,114.74,0.10,2.00,26.82
14.00,2.85,23.64,0.00,14.00,4.20,7.80,12.29,19.22,1.00,0.00,3.50,0.00,0.90,2.00,18.05,0.00,9.20,4.50,44.62,8.00,8.60,15.61,4.90,19.32,19.32,19.51,19.51,2.60,4.48,24.10,76.96,3.51,0.00,19.51,19.32,52.00,18.15,10.34,0.60,19.51,19.51,19.51,1.20,117.30,12.88,20.00,19.51,8.40,0.00,5.11,0.00,1.20,2.70,4.38,18.00,0.24,1.00,74.24,87.35,5.20,5.90,37.44,113.22,117.24,0.10,2.00,10.56
15.00,0.75,23.77,0.00,14.00,4.20,7.80,12.29,19.22,1.00,0.00,3.50,0.00,0.00,0.00,18.05,0.00,9.20,4.24,44.03,8.00,8.60,15.61,4.90,19.32,19.32,19.51,19.51,2.60,0.88,24.40,76.02,3.51,0.00,19.51,19.32,25.00,18.15,2.24,0.60,19.51,19.51,19.51,1.20,117.67,12.88,20.00,19.51,8.40,0.00,5.11,0.00,1.20,2.30,3.75,18.00,0.08,1.00,71.92,87.34,4.70,5.10,18.00,115.00,119.31,0.00,2.00,3.33
16.00,0.00,23.71,0.00,14.00,4.20,7.80,12.29,19.22,1.00,0.00,3.50,0.00,0.00,0.00,18.05,0.00,9.20,4.30,44.39,8.00,8.60,15.61,4.90,19.32,19.32,19.51,19.51,2.60,0.04,24.20,73.34,3.51,0.00,19.51,19.32,6.00,18.15,0.02,0.60,19.51,19.51,19.51,1.20,117.77,12.88,20.00,19.51,8.40,0.00,5.11,0.00,1.20,1.80,3.46,18.00,0.04,1.00,70.87,87.18,4.50,4.70,4.32,116.29,119.12,0.00,2.00,0.70
17.00,0.00,23.80,0.00,14.00,4.20,7.80,12.29,19.22,1.00,0.00,3.50,0.00,0.00,0.00,18.05,0.00,9.20,4.14,43.72,8.00,8.60,15.61,4.90,19.32,19.32,19.51,19.51,2.60,0.00,23.90,70.07,3.51,0.00,19.51,19.32,0.00,18.15,0.00,0.60,19.51,19.51,19.51,2.40,117.60,12.88,20.00,19.51,8.40,0.00,5.11,0.00,1.20,1.40,3.14,18.00,0.00,1.00,70.27,87.05,4.30,4.50,0.00,117.39,118.17,0.00,2.00,0.00
18.00,0.00,23.62,0.00,14.00,4.20,7.80,12.29,19.22,1.00,0.00,3.50,0.00,0.00,0.00,18.05,0.00,9.20,3.32,39.94,8.10,8.60,15.61,4.90,19.32,19.32,19.51,19.51,2.60,0.00,23.40,67.57,3.51,0.00,19.51,19.32,0.00,18.15,0.00,0.60,19.51,19.51,19.51,2.40,116.59,12.88,20.00,19.51,8.40,0.00,5.11,0.00,1.20,1.20,2.72,18.00,0.00,1.00,69.20,86.11,4.40,4.30,0.00,116.94,113.61,0.00,2.00,0.00
19.00,0.00,23.57,0.00,14.00,4.20,7.80,12.29,19.22,1.00,0.00,3.50,0.00,0.00,0.00,18.05,0.00,9.20,2.62,36.83,8.10,8.60,15.61,4.90,19.32,19.32,19.51,19.51,2.60,0.00,22.80,65.33,3.51,0.00,19.51,19.32,0.00,18.15,0.00,0.60,19.51,19.51,19.51,2.40,114.23,12.88,20.00,19.51,8.40,0.00,5.11,0.00,1.20,1.20,2.31,18.00,0.00,1.00,67.97,84.91,4.40,4.20,0.00,115.98,107.83,0.00,2.00,0.00
