"ETAPA \ GENERADOR","MAJES","CARPAPATA","REPARTICION","PARAMONGA","HUAYCOLORO","LA JOYA","STACRUZ12","HUASAHUASI","RONCADOR","PURMACANA","NIMPERIAL","MAPLE","TACNASOLAR","PANAMERICANASOLAR","PIZARRAS","PIAS","POECHOS2","PE TALARA","PE CUPISNIQUE","ELOR","CURUMUY","POECHOS1","CANCHAYLLO","CHANCAY","RUCUY","RUNATULLOII","RUNATULLOIII","LAGRINGAV","MOQUEGUASOLAR","PQEEOLICOMARCONA","PQEEOLICO3HERMANAS","YANAPAMPA","TABLAZO","POTRERO","CH MARANON","CS RUBI","YARUCAYA","INTIPAMPA","CHHER1","CHANGELI","CHANGELII","CHANGELIII","CTB DONA CATALINA","WAYRAI","CHZANA","8AGOSTO","RENOVANDESH1","EL CARMEN","CT CANA BRAVA","CT SAN JACINTO","CH MANTA","CTB CALLAO","HUAMBOS","DUNA","CT TALLANCA","SANTA ROSA 1","SANTA ROSA 2","CSF YARUCAYA","TUPURI","CE PUNTA LOMITASBL1","CE PUNTA LOMITASBL2","PTALOMITASEXPBL1","PTALOMITASEXPBL2","CSCLEMESI","PE SAN JUAN","WAYRAEXP","CS CARHUAQUERO","CH HUALLIN","CS MATARANI","CS SAN MARTIN","ANASHIRONI","CT AGROLMOS"
11.00,0.00,8.37,0.00,14.00,4.20,7.60,3.40,4.60,1.51,0.40,3.40,17.00,0.00,0.00,4.00,0.00,7.00,14.46,9.44,0.00,4.20,4.80,1.60,18.93,10.00,4.50,6.50,2.80,0.00,6.51,15.89,0.00,27.20,6.00,10.68,0.00,16.50,0.00,0.60,3.00,3.30,3.40,2.40,14.00,7.50,6.50,19.42,2.00,10.60,7.63,6.10,1.20,7.52,11.90,18.90,0.00,0.00,0.00,0.00,22.14,46.30,0.65,0.51,0.00,18.79,11.00,0.00,1.12,0.00,0.00,0.00,6.50
12.00,0.46,8.25,0.00,14.00,4.20,7.60,3.40,4.60,1.51,0.40,3.40,17.00,0.11,0.09,4.00,0.00,7.00,14.65,9.46,0.00,4.20,4.80,1.60,18.93,10.00,4.50,6.50,2.80,0.10,5.89,14.49,0.00,27.20,6.00,10.68,2.73,16.50,0.40,0.60,3.00,3.30,3.40,2.40,13.00,7.50,6.50,19.42,2.00,10.60,7.63,6.00,1.20,7.89,12.22,18.90,0.00,0.00,0.00,0.00,20.48,43.49,0.48,0.40,1.90,17.51,11.00,0.00,1.08,0.25,0.00,0.00,6.50
13.00,5.00,7.79,0.09,14.00,4.20,7.60,3.40,4.60,1.51,0.40,3.40,17.00,0.74,1.11,4.00,0.00,7.00,14.95,9.44,0.00,4.20,4.80,1.60,18.93,10.00,4.50,6.50,2.80,2.23,5.31,13.12,0.00,27.20,6.00,10.68,24.93,16.50,4.42,0.60,3.00,3.30,3.40,2.40,11.00,7.50,6.50,19.42,2.00,10.60,7.63,6.00,1.20,8.54,12.40,18.90,0.00,0.00,0.04,0.00,20.59,43.03,0.34,0.35,15.84,16.95,10.00,0.00,1.08,12.30,15.45,0.00,6.50
14.00,9.31,8.22,2.04,14.00,4.20,7.60,3.40,4.60,1.51,0.40,3.40,17.00,1.23,5.17,4.00,0.00,7.00,15.07,10.21,0.00,4.20,4.80,1.60,18.93,10.00,4.50,6.50,2.80,8.22,4.80,11.85,0.00,27.20,6.00,10.68,74.01,16.50,14.71,0.60,3.00,3.30,3.40,2.40,9.00,7.50,6.50,19.42,2.00,10.60,7.63,6.00,1.20,9.27,12.54,18.90,0.00,0.00,0.07,0.00,21.29,43.35,0.20,0.32,54.81,16.39,9.00,0.00,1.08,35.31,60.09,0.00,6.50
15.00,11.18,8.62,5.45,14.00,4.20,7.60,3.40,4.60,1.51,0.40,3.40,17.00,2.56,11.24,4.00,0.00,7.00,15.12,11.25,0.00,4.20,4.80,1.60,18.93,10.00,4.50,6.50,2.80,10.72,4.35,10.70,0.00,27.20,6.00,10.68,111.86,16.50,24.77,0.60,3.00,3.30,3.40,2.40,8.00,7.50,6.50,19.42,2.00,10.60,7.63,6.00,1.20,9.51,12.58,18.90,0.00,0.00,0.08,0.00,21.02,41.25,0.20,0.37,78.78,16.84,8.00,0.00,1.08,58.42,121.19,0.00,6.50
16.00,12.12,8.60,8.59,14.00,4.20,7.60,3.40,4.60,1.51,0.40,3.40,17.00,5.62,14.62,4.00,0.00,7.00,15.58,11.61,0.00,4.20,4.80,1.60,18.93,10.00,4.50,6.50,2.80,11.94,4.04,9.78,0.00,27.20,6.00,10.68,124.25,16.50,30.09,0.60,3.00,3.30,3.40,2.40,6.00,7.50,6.50,19.42,2.00,10.60,7.63,6.00,1.20,9.59,12.58,18.90,0.00,0.00,0.12,0.00,20.42,38.34,0.23,0.46,88.33,17.30,7.00,0.00,1.08,65.20,194.71,0.00,6.50
17.00,12.73,8.47,11.28,14.00,4.20,7.60,3.40,4.60,1.51,0.40,3.40,17.00,10.01,16.18,4.00,0.00,7.00,16.17,11.76,0.00,4.20,4.80,1.60,18.93,10.00,4.50,6.50,2.80,12.38,3.86,9.09,0.00,27.10,6.00,10.68,128.75,16.50,32.17,0.60,3.00,3.30,3.40,2.40,4.00,7.50,6.50,19.42,2.00,10.60,7.63,6.00,1.20,10.17,13.08,18.90,0.00,0.00,0.59,0.00,19.06,36.17,0.41,0.65,94.83,18.82,6.00,0.10,1.04,69.04,239.11,0.00,6.50
18.00,13.47,7.95,13.18,14.00,4.20,7.60,3.40,4.60,1.51,0.40,3.40,17.00,13.89,16.83,4.00,0.00,7.00,16.21,14.02,0.00,4.20,4.80,1.60,18.93,10.00,4.50,6.50,2.80,12.68,3.71,8.92,0.00,27.20,6.00,10.68,129.87,16.50,32.65,0.60,3.00,3.30,3.40,2.40,3.00,7.50,6.50,19.42,2.00,10.60,7.63,6.00,1.20,10.90,13.75,18.90,0.00,0.00,0.80,0.00,17.46,34.25,0.63,0.88,96.82,20.35,6.00,0.20,1.04,70.40,250.00,0.00,6.50
19.00,14.17,7.66,14.76,14.00,4.20,7.60,3.40,4.60,1.51,0.40,3.40,17.00,16.01,17.07,4.00,0.00,7.00,16.05,16.99,0.00,4.20,4.80,1.60,18.93,10.00,4.50,6.50,2.80,12.89,3.61,9.26,0.00,27.20,6.00,10.68,130.01,16.50,32.84,0.60,3.00,3.30,3.40,2.40,2.00,7.50,6.50,19.42,2.00,10.60,7.63,6.00,1.20,11.55,14.19,18.90,0.00,0.00,0.99,0.00,18.82,34.09,0.98,1.06,97.46,21.99,6.00,0.20,1.04,70.89,250.00,0.00,6.50
20.00,14.68,7.68,15.97,14.00,4.20,7.60,3.40,4.60,1.51,0.40,3.40,17.00,16.64,17.07,4.00,0.00,7.00,16.19,24.05,0.00,4.20,4.80,1.60,18.93,10.00,4.50,6.50,2.80,12.98,3.65,9.96,0.00,27.10,6.00,10.68,130.00,16.50,32.86,0.60,3.00,3.30,3.40,2.40,1.00,7.50,6.50,19.42,2.00,10.60,7.63,6.00,1.20,12.16,14.57,18.90,0.00,0.00,1.11,0.00,21.16,34.51,1.36,1.22,97.70,23.63,5.00,0.30,1.04,71.27,245.13,0.00,6.50
