"ETAPA \ GENERADOR","CALLAHUANCA","HUAMPANI","MOYOPAMPA","MANTARO","RESTITUCION","OROYA","PACHACHACA","YAUPI","HUANCHOR","PARIAC","YANANGO","CHARCANI IV","CHARCANI V","ARICOTA I","ARICOTA II","MACHUPICCHU","SAN GABAN II","YUNCAN","CAHUA","MALPASO","CANON DEL PATO","GALLITO CIEGO","ARCATA","CHARCANI 123","SANTA TERESA","PCH CHAGLLA","CH CARHUAQUERO IV","HUANZA","MCH CERRO DEL AGUILA","CARHUAC","CHAGLLA G1","CHAGLLA G2","HUINCO G1","HUINCO G2","HUINCO G3","HUINCO G4","CERRO DEL AGUILA G1","CERRO DEL AGUILA G2","CERRO DEL AGUILA G3","CH CANA BRAVA","CHIMAY G1","CHIMAY G2","MATUCANA G1","MATUCANA G2","LA VIRGEN","CARHUAQUERO G1","CARHUAQUERO G2","CARHUAQUERO G3","CHEVES G1","CHEVES G2","PLATANAL G1","PLATANAL G2","CHSANGABANIII","CH ANASHIRONI","CH RENOVANDES"
1.00,48.41,0.00,67.13,635.03,146.22,7.75,8.13,93.22,18.44,0.63,26.42,14.92,86.99,5.13,2.82,163.91,112.36,90.31,36.25,35.37,171.71,14.58,1.97,6.88,87.69,6.39,9.98,85.48,3.45,19.77,144.33,0.00,26.79,61.91,59.46,58.95,184.17,197.14,0.00,0.00,74.91,76.30,42.08,48.75,61.05,30.67,30.56,30.55,43.81,43.83,101.44,101.39,203.20,11.85,20.25
2.00,48.41,0.00,67.13,635.03,146.22,7.75,8.13,95.21,18.44,0.63,26.42,14.92,84.19,5.13,2.82,163.91,112.36,92.73,36.25,0.00,171.71,14.58,1.97,6.88,87.69,6.39,9.98,85.48,3.45,19.77,144.33,0.00,39.44,63.21,39.44,62.03,130.25,138.69,130.28,0.00,74.91,76.30,66.56,0.00,61.05,30.67,30.56,30.55,43.66,43.68,92.45,92.41,203.20,11.85,20.25
3.00,48.41,0.00,67.13,635.03,146.22,7.75,8.13,89.30,18.44,0.63,26.42,14.92,82.64,5.13,2.82,163.91,112.36,85.54,36.25,31.72,171.71,14.58,1.97,6.88,87.69,6.39,9.98,85.48,3.45,19.77,144.33,0.00,40.16,49.44,40.16,58.52,123.74,131.41,123.77,0.00,74.91,76.30,59.22,0.00,61.05,30.67,30.56,30.55,43.66,43.68,64.26,64.25,203.20,11.85,20.25
4.00,48.41,0.00,67.13,635.03,146.22,7.75,8.13,86.39,18.44,0.63,26.42,14.92,81.66,5.13,2.82,163.91,112.36,82.00,36.25,24.63,171.71,14.58,1.97,6.88,87.69,6.39,9.98,85.48,3.45,19.77,144.33,0.00,36.46,58.56,36.46,36.46,116.97,123.96,116.99,0.00,74.91,76.30,49.17,56.52,61.05,30.67,30.56,30.55,43.66,43.68,46.71,46.71,203.20,11.85,20.25
5.00,48.41,0.00,67.13,635.03,146.22,7.75,8.13,88.23,18.44,0.63,26.42,14.92,81.76,5.13,2.82,163.91,112.36,84.24,36.25,0.00,171.71,14.58,1.97,6.88,87.69,6.39,9.98,85.48,3.45,19.77,144.33,0.00,51.00,50.82,33.92,33.86,120.88,128.24,120.91,0.00,74.91,76.30,0.00,66.47,61.05,30.67,30.56,30.55,43.52,43.54,69.60,69.58,203.20,11.85,20.25
6.00,48.41,0.00,67.13,635.03,146.22,7.75,8.13,110.37,18.44,0.63,26.42,14.92,81.18,5.13,2.82,163.91,112.36,111.18,36.25,29.55,171.71,14.58,1.97,6.88,87.69,6.39,9.98,85.48,3.45,19.77,0.00,0.00,41.12,41.00,41.23,41.07,123.53,131.17,123.56,0.00,74.91,76.30,55.28,55.21,61.05,30.67,30.56,30.55,43.66,43.68,60.49,60.47,203.20,11.85,20.25
7.00,48.41,0.00,67.13,635.03,146.22,7.75,8.13,110.37,18.44,0.63,26.42,14.92,81.24,5.13,2.82,163.91,112.36,111.18,36.25,35.37,171.71,14.58,1.97,6.88,87.69,6.39,9.98,85.48,3.45,19.77,0.00,0.00,37.02,36.59,59.86,37.02,125.64,133.52,125.67,0.00,74.91,76.30,57.11,55.60,61.05,30.67,30.56,30.55,43.81,43.83,71.66,71.63,203.20,11.85,20.25
8.00,48.41,0.00,67.13,635.03,146.22,7.75,8.13,82.22,18.44,0.63,26.42,14.92,81.95,5.13,2.82,163.91,112.36,76.92,36.25,21.45,171.71,14.58,1.97,6.88,87.69,6.39,9.98,78.30,3.45,18.11,144.33,0.00,29.06,58.88,32.84,29.06,116.72,123.69,116.74,0.00,74.91,76.30,47.12,50.45,61.05,30.67,30.56,30.55,42.47,42.49,53.95,53.94,203.20,11.85,20.25
9.00,48.41,0.00,67.13,635.03,146.22,7.75,8.13,81.36,18.44,0.63,26.42,14.92,82.47,5.13,2.82,163.91,112.36,75.88,36.25,24.74,171.71,14.58,1.97,6.88,87.69,6.39,9.98,78.09,3.45,18.06,144.33,0.00,46.09,45.50,29.93,27.77,179.18,0.00,179.25,0.00,74.91,76.30,47.04,49.84,61.05,30.67,30.56,30.55,42.76,42.78,61.78,61.76,203.20,11.85,20.25
10.00,48.41,0.00,67.13,635.03,146.22,7.75,8.13,81.47,18.44,0.63,26.42,14.92,81.71,5.13,2.82,163.91,112.36,76.02,36.25,21.02,171.71,14.58,1.97,6.88,87.69,6.39,9.98,78.17,3.45,18.08,0.00,144.33,24.47,50.81,23.69,50.92,178.15,0.00,178.22,0.00,74.91,76.30,44.85,52.68,61.05,30.67,30.56,30.55,42.62,42.63,59.67,59.66,203.20,11.85,20.25
11.00,48.41,0.00,67.13,635.03,146.22,7.75,8.13,82.37,18.44,0.63,26.42,14.92,81.71,5.13,2.82,163.91,112.36,77.10,36.25,0.00,171.71,14.58,1.97,6.88,87.69,6.39,9.98,72.80,3.45,16.84,0.00,144.33,0.00,56.47,29.00,56.64,150.83,0.00,150.88,0.00,74.91,76.30,50.77,44.41,61.05,30.67,30.56,30.55,42.62,42.63,0.00,110.22,203.20,11.85,20.25
