"ETAPA \ GENERADOR","MAJES","CARPAPATA","REPARTICION","PARAMONGA","HUAYCOLORO","LA JOYA","STACRUZ12","HUASAHUASI","RONCADOR","PURMACANA","NIMPERIAL","MAPLE","TACNASOLAR","PANAMERICANASOLAR","PIZARRAS","PIAS","POECHOS2","PE TALARA","PE CUPISNIQUE","ELOR","CURUMUY","POECHOS1","CANCHAYLLO","CHANCAY","RUCUY","RUNATULLOII","RUNATULLOIII","LAGRINGAV","MOQUEGUASOLAR","PQEEOLICOMARCONA","PQEEOLICO3HERMANAS","YANAPAMPA","TABLAZO","POTRERO","CH MARANON","CS RUBI","YARUCAYA","INTIPAMPA","CHHER1","CHANGELI","CHANGELII","CHANGELIII","CTB DONA CATALINA","WAYRAI","CHZANA","8AGOSTO","EL CARMEN","CT CANA BRAVA","CT SAN JACINTO","CH MANTA","CTB CALLAO","HUAMBOS","DUNA","CT TALLANCA","SANTA ROSA 1","SANTA ROSA 2","CSF YARUCAYA","TUPURI","CE PUNTA LOMITASBL1","CE PUNTA LOMITASBL2","PTALOMITASEXPBL1","PTALOMITASEXPBL2","CSCLEMESI","PE SAN JUAN","WAYRAEXP","CS CARHUAQUERO","CH HUALLIN","CS MATARANI","CS SAN MARTIN","CTAGROOLMOS","CSSUNNY","CTCASAGRANDETV1","CTCASAGRANDETV3"
1.00,17.01,12.36,17.76,14.00,1.45,7.30,5.80,6.30,1.60,0.40,3.30,20.00,18.79,18.74,18.05,0.00,0.00,14.60,10.73,8.10,0.00,4.80,2.50,18.15,14.63,17.56,19.51,1.40,15.88,6.97,22.70,2.20,27.00,19.51,18.05,144.48,18.05,39.28,0.60,19.51,19.51,19.51,2.40,41.64,12.88,13.66,3.00,10.80,8.77,9.60,2.40,1.58,1.20,18.00,0.00,0.00,0.90,1.00,35.72,39.22,4.40,3.56,112.61,31.64,61.80,0.30,2.00,80.00,252.40,11.00,204.00,0.00,22.40
2.00,17.74,12.43,18.50,14.00,1.45,7.30,5.80,6.30,1.60,0.40,3.30,20.00,18.89,18.71,18.05,0.00,0.00,15.70,16.05,8.10,0.00,4.80,2.50,18.15,14.63,17.56,19.51,1.40,15.93,8.17,28.13,2.20,27.00,19.51,18.05,144.46,18.05,39.45,0.60,19.51,19.51,19.51,2.40,50.66,12.88,13.66,3.00,10.80,8.77,9.60,2.40,2.94,2.59,18.00,0.00,0.00,0.92,1.00,39.88,42.60,5.10,4.06,112.60,36.16,63.64,0.40,2.00,80.00,252.40,11.00,204.00,0.00,22.40
3.00,17.91,12.34,18.71,14.00,1.45,7.30,5.80,6.30,1.60,0.40,3.30,20.00,18.57,18.70,18.05,0.00,0.00,17.10,22.62,8.10,0.00,4.80,2.50,18.15,14.63,17.56,19.51,1.40,15.96,9.47,34.05,2.20,27.00,19.51,18.05,139.26,18.05,39.47,0.60,19.51,19.51,19.51,2.40,60.42,12.88,13.66,3.00,10.80,8.77,9.60,2.40,4.39,4.32,18.00,0.00,0.00,0.91,1.00,44.42,46.29,5.90,4.49,112.43,41.08,64.48,0.40,2.00,80.00,252.40,11.00,204.00,0.00,22.40
4.00,17.86,13.35,18.72,14.00,1.45,7.30,5.80,6.30,1.60,0.40,3.30,20.00,17.70,18.73,18.05,0.00,0.00,18.40,29.95,8.10,0.00,4.80,2.50,18.15,14.63,17.56,19.51,1.40,15.98,10.66,39.48,2.20,27.00,19.51,18.05,138.84,18.05,39.31,0.60,19.51,19.51,19.51,2.40,69.44,12.88,13.66,3.00,10.80,8.77,9.60,2.40,6.14,7.04,18.00,0.00,0.00,0.93,1.00,48.58,49.67,6.30,4.72,112.21,45.60,69.08,0.40,2.00,80.00,252.40,11.00,204.00,0.00,22.40
5.00,17.72,13.38,18.47,14.00,1.45,7.30,5.80,6.30,1.60,0.40,3.30,20.00,17.41,18.79,18.05,0.00,0.00,19.50,37.52,8.10,0.00,4.80,2.50,18.15,14.63,17.56,19.51,1.40,16.00,11.53,43.44,2.20,27.00,19.51,18.05,143.04,18.05,38.91,0.60,19.51,19.51,19.51,2.40,76.22,12.88,13.66,3.00,10.80,8.77,9.40,2.40,7.90,9.49,18.00,0.00,0.00,0.92,1.00,51.63,52.14,6.60,4.98,111.87,48.94,74.93,0.40,2.00,80.00,252.40,11.00,204.00,0.00,22.40
6.00,17.27,13.31,17.88,14.00,1.45,7.30,5.80,6.30,1.60,0.40,3.30,20.00,17.62,18.75,18.05,0.00,0.00,19.80,44.85,8.10,0.00,4.80,2.50,18.15,14.63,17.56,19.51,1.40,16.00,11.47,43.23,2.20,27.00,19.51,18.05,144.48,18.05,38.46,0.60,19.51,19.51,19.51,2.40,81.36,12.88,13.66,3.00,10.80,8.77,9.40,2.40,9.65,11.15,18.00,0.00,0.00,0.92,1.00,51.23,51.98,6.80,5.37,111.78,49.83,82.76,0.30,2.00,80.00,252.40,11.00,204.00,0.00,22.40
7.00,16.20,13.26,16.76,14.00,1.45,7.30,5.80,6.30,1.60,0.40,3.30,20.00,18.36,18.68,18.05,0.00,0.00,19.60,51.42,8.10,0.00,4.80,2.50,18.15,14.63,17.56,19.51,1.40,15.98,11.33,42.77,2.20,27.00,19.51,18.05,144.48,18.05,38.33,0.60,19.51,19.51,19.51,2.40,92.66,12.88,13.66,3.00,10.80,8.77,9.40,2.40,11.05,12.46,18.00,0.00,0.00,0.92,1.00,50.36,51.64,6.90,5.66,112.06,51.79,91.22,0.20,2.00,80.00,252.36,11.00,204.00,0.00,22.40
8.00,14.71,13.33,15.60,14.00,1.45,7.30,5.80,6.30,1.60,0.40,3.30,20.00,18.83,18.72,18.05,0.00,0.00,19.20,56.74,8.10,0.00,4.80,2.50,18.15,14.63,17.56,19.51,1.40,15.98,11.19,42.32,2.20,27.00,19.51,18.05,144.48,18.05,37.92,0.60,19.51,19.51,19.51,2.40,103.97,12.88,13.66,3.00,10.80,8.77,9.40,2.40,11.39,12.70,18.00,0.00,0.00,0.77,1.00,49.49,51.29,6.50,5.66,111.97,53.74,100.98,0.20,2.00,80.00,251.43,11.00,204.00,0.00,22.40
9.00,12.90,14.13,14.18,14.00,1.45,7.30,5.80,6.30,1.60,0.40,3.30,20.00,18.36,18.61,18.05,0.00,0.00,18.70,60.31,8.10,0.00,4.80,2.50,18.15,14.63,17.56,19.51,1.40,15.87,11.13,42.11,2.20,27.00,19.51,18.05,144.48,18.05,37.24,0.60,19.51,19.51,19.51,2.40,109.11,12.88,13.66,3.00,10.80,8.77,9.40,2.40,11.77,12.94,18.00,0.00,0.00,0.75,1.00,49.09,51.14,6.10,5.58,110.82,54.63,111.18,0.10,2.00,80.00,249.21,11.00,203.91,0.00,22.40
10.00,11.18,14.92,12.24,14.00,1.45,7.30,5.80,6.30,1.60,0.40,3.30,20.00,17.33,18.30,18.05,0.00,0.00,18.10,60.55,8.10,0.00,4.80,2.50,18.15,14.63,17.56,19.51,1.40,15.57,10.94,41.98,2.20,27.00,19.51,18.05,144.48,18.05,35.69,0.60,19.51,19.51,19.51,2.40,115.99,12.88,13.66,3.00,10.80,8.77,9.40,2.40,12.27,13.17,18.00,0.00,0.00,0.70,1.00,47.01,50.96,5.80,5.27,108.82,54.32,118.23,0.10,2.00,80.00,241.72,11.00,202.44,0.00,22.40
