"ETAPA \ GENERADOR","CALLAHUANCA","HUAMPANI","MOYOPAMPA","MANTARO","RESTITUCION","OROYA","PACHACHACA","YAUPI","HUANCHOR","PARIAC","YANANGO","CHARCANI IV","CHARCANI V","ARICOTA I","ARICOTA II","MACHUPICCHU","SAN GABAN II","YUNCAN","CAHUA","MALPASO","CANON DEL PATO","GALLITO CIEGO","ARCATA","CHARCANI 123","SANTA TERESA","PCH CHAGLLA","CH CARHUAQUERO IV","HUANZA","MCH CERRO DEL AGUILA","CARHUAC","CHAGLLA G1","CHAGLLA G2","HUINCO G1","HUINCO G2","HUINCO G3","HUINCO G4","CERRO DEL AGUILA G1","CERRO DEL AGUILA G2","CERRO DEL AGUILA G3","CH CANA BRAVA","CHIMAY G1","CHIMAY G2","MATUCANA G1","MATUCANA G2","LA VIRGEN","CARHUAQUERO G1","CARHUAQUERO G2","CARHUAQUERO G3","CHEVES G1","CHEVES G2","PLATANAL G1","PLATANAL G2","CH SAN GABAN III"
1.00,35.87,27.31,67.13,635.03,206.59,7.98,8.37,88.30,18.09,3.57,27.33,14.92,60.00,6.61,3.63,163.91,112.36,92.00,40.95,35.37,0.00,13.33,1.97,6.88,87.69,6.39,9.98,4.64,6.91,0.00,144.33,0.00,34.32,34.28,64.75,64.21,0.00,0.00,0.00,5.67,74.91,76.30,0.00,0.00,62.30,30.67,30.56,30.55,32.69,32.69,61.38,61.37,203.20
2.00,35.87,27.31,67.13,635.03,206.59,7.98,8.37,88.30,18.09,3.57,27.33,14.92,60.00,6.61,3.63,163.91,112.36,92.00,40.95,35.37,0.00,13.33,1.97,6.88,87.69,6.39,9.98,44.97,6.91,10.40,144.33,0.00,65.87,65.46,66.24,0.00,0.00,0.00,0.00,5.67,74.91,76.30,0.00,0.00,62.30,30.67,30.56,30.55,32.69,32.69,61.38,61.37,203.20
3.00,48.41,29.95,67.13,635.03,206.59,7.98,8.37,88.30,18.09,3.57,27.33,14.92,60.00,6.61,3.63,163.91,112.36,92.00,40.95,35.37,0.00,13.33,1.97,6.88,87.69,6.39,9.98,85.48,6.91,19.77,144.33,0.00,42.65,42.51,42.78,0.00,0.00,86.45,0.00,5.67,74.91,76.30,0.00,0.00,62.30,30.67,30.56,30.55,32.69,32.69,61.38,61.37,203.20
4.00,48.41,29.95,67.13,635.03,206.59,7.98,8.37,88.30,18.09,3.57,27.33,14.92,60.00,6.61,3.63,163.91,112.36,92.00,40.95,35.37,0.00,25.41,1.97,6.88,87.69,6.39,9.98,85.48,6.91,19.77,144.33,0.00,58.60,28.34,28.36,0.00,0.00,130.00,122.50,5.67,74.91,76.30,0.00,0.00,62.30,30.67,30.56,30.55,32.69,32.69,61.38,61.37,203.20
5.00,48.41,29.95,67.13,635.03,206.59,7.98,8.37,88.30,18.09,3.57,27.33,14.92,60.00,6.61,3.63,163.91,112.36,92.00,40.95,35.37,0.00,25.41,1.97,6.88,87.69,6.39,9.98,85.48,6.91,19.77,147.70,147.70,21.67,21.67,21.67,0.00,0.00,197.14,184.23,5.67,74.91,76.30,38.95,50.15,62.30,30.67,30.56,30.55,32.69,32.69,61.38,61.37,203.20
6.00,48.41,29.95,67.13,635.03,206.59,7.98,8.37,88.30,18.09,3.57,27.33,14.92,95.73,6.61,3.63,163.91,112.36,92.00,40.95,35.37,0.00,25.41,1.97,6.88,87.69,6.39,9.98,85.48,6.91,19.77,181.63,181.54,38.45,38.36,38.52,38.41,0.00,197.14,184.23,5.67,74.91,76.30,47.98,41.12,62.30,30.67,30.56,30.55,32.69,32.69,100.41,100.37,203.20
7.00,48.41,29.95,67.13,635.03,206.59,7.98,8.37,88.30,18.09,3.57,27.33,14.92,142.31,6.61,3.63,163.91,112.36,92.00,40.95,35.37,0.00,25.41,1.97,6.88,87.69,6.39,9.98,85.48,6.91,19.77,211.96,211.71,67.50,55.79,56.44,55.98,0.00,197.14,184.23,5.67,74.91,76.30,54.00,47.85,62.30,30.67,30.56,30.55,32.69,32.69,110.26,110.22,203.20
8.00,48.41,29.95,67.13,635.03,206.59,7.98,8.37,88.30,18.09,3.57,27.33,14.92,142.31,6.61,3.63,163.91,112.36,92.00,40.95,35.37,0.00,25.41,1.97,6.88,87.69,6.39,9.98,91.60,6.91,19.77,217.04,216.79,64.56,64.16,64.39,63.85,0.00,197.14,184.23,5.67,74.91,76.30,52.00,61.98,62.30,30.67,30.56,30.55,32.69,32.69,110.26,110.22,203.20
9.00,48.41,29.95,67.13,635.03,206.59,7.98,8.37,88.30,18.09,3.57,27.33,14.92,142.31,6.61,3.63,163.91,112.36,92.00,40.95,35.37,0.00,25.41,1.97,6.88,87.69,6.39,9.98,95.45,6.91,19.77,224.47,224.21,67.50,67.10,67.88,67.33,0.00,197.14,184.23,5.67,74.91,76.30,66.56,66.47,62.30,30.67,30.56,30.55,32.69,32.69,110.26,110.22,203.20
10.00,48.41,29.95,67.13,635.03,206.59,7.98,8.37,88.30,18.09,3.57,27.33,14.92,112.05,6.61,3.63,163.91,112.36,92.00,40.95,35.37,0.00,25.41,1.97,6.88,87.69,6.39,9.98,89.00,6.91,19.77,217.63,217.37,63.85,62.75,64.22,62.98,0.00,197.14,184.23,5.67,74.91,76.30,55.77,55.70,62.30,30.67,30.56,30.55,32.69,32.69,110.26,110.22,203.20
