"ETAPA \ GENERADOR","CALLAHUANCA","HUAMPANI","MOYOPAMPA","MANTARO","RESTITUCION","OROYA","PACHACHACA","YAUPI","HUANCHOR","PARIAC","YANANGO","CHARCANI IV","CHARCANI V","CHARCANI VI","ARICOTA I","MACHUPICCHU","SAN GABAN II","YUNCAN","CAHUA","MALPASO","CANON DEL PATO","GALLITO CIEGO","ARCATA","CHARCANI 123","SANTA TERESA","QUITARACSA","PCH CHAGLLA","CH CARHUAQUERO IV","HUANZA","MCH CERRO DEL AGUILA","CARHUAC","CHAGLLA G1","CHAGLLA G2","HUINCO G1","HUINCO G2","HUINCO G3","HUINCO G4","CERRO DEL AGUILA G1","CERRO DEL AGUILA G2","CERRO DEL AGUILA G3","CH CANA BRAVA","CHIMAY G1","CHIMAY G2","MATUCANA G1","MATUCANA G2","LA VIRGEN","CARHUAQUERO G1","CARHUAQUERO G2","CARHUAQUERO G3","CHEVES G1","CHEVES G2","PLATANAL G1","PLATANAL G2"
27.000,0.000,0.436,8.435,0.000,12.024,0.000,0.000,3.404,0.214,0.000,0.333,0.000,0.000,9.826,0.017,55.480,0.000,7.564,11.193,0.000,9.249,0.310,0.000,0.410,2.701,0.000,0.010,0.000,0.000,0.218,0.055,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.493,0.000,0.000,0.000,0.000,0.000,0.000,0.000
28.000,0.000,0.436,8.435,0.000,12.024,0.000,0.000,3.420,0.214,0.000,0.333,0.000,0.000,9.826,0.017,55.480,0.000,7.579,11.193,0.000,6.606,0.310,0.000,0.428,2.701,0.000,0.010,0.000,0.000,0.218,0.218,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.493,0.000,0.000,0.000,0.000,0.000,0.000,0.000
29.000,0.000,0.436,8.435,0.000,12.024,0.000,0.000,3.438,0.214,0.000,0.333,0.000,0.000,9.826,0.017,55.480,0.000,7.598,11.193,0.000,4.510,0.310,0.000,0.449,2.701,0.000,0.010,0.000,0.000,0.218,0.763,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.493,0.000,0.000,0.000,0.000,0.000,0.000,0.000
30.000,0.000,0.436,8.435,0.000,12.024,0.000,0.000,3.460,0.214,0.000,0.333,0.000,0.000,9.826,0.017,55.480,0.000,7.620,11.193,0.000,46.894,0.310,0.000,0.476,2.701,0.000,0.010,0.000,0.000,0.218,0.055,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.493,0.000,0.000,0.000,0.000,0.000,0.000,0.000
31.000,0.000,0.436,8.435,0.000,12.024,0.000,0.000,3.486,0.214,0.000,0.333,0.000,0.000,9.826,0.017,55.480,0.000,7.645,11.193,0.000,22.957,0.310,0.000,0.510,2.701,0.000,0.010,0.000,0.000,0.218,0.129,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.493,0.000,0.000,0.000,0.000,0.000,0.000,0.000
32.000,0.000,0.436,8.435,0.000,12.024,0.000,0.000,3.515,0.214,0.000,0.333,0.000,0.000,9.826,0.017,55.480,0.000,7.674,11.193,0.000,16.053,0.310,0.000,0.557,2.701,0.000,0.010,0.000,0.000,0.218,0.124,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.493,0.000,0.000,0.000,0.000,0.000,0.000,0.000
33.000,0.000,0.436,8.435,0.000,12.024,0.000,0.000,3.548,0.214,0.000,0.333,0.000,0.000,9.826,0.017,55.480,0.000,7.708,11.193,0.000,12.280,0.310,0.000,0.623,2.701,0.000,0.010,0.000,0.000,0.218,0.166,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.493,0.000,0.000,0.000,0.000,0.000,0.000,0.000
34.000,0.000,0.436,8.435,0.000,12.024,0.000,0.000,3.587,0.214,0.000,0.333,0.000,0.000,9.826,0.017,55.480,0.000,7.746,11.193,0.000,9.675,0.310,0.000,0.727,2.701,0.000,0.010,0.000,0.000,0.218,0.763,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.493,0.000,0.000,0.000,0.000,0.000,0.000,0.000
35.000,0.000,0.436,2.268,0.000,12.024,0.000,0.000,3.630,0.214,0.000,0.333,0.000,0.000,9.826,0.017,55.480,0.000,7.790,11.193,0.000,7.618,0.310,0.000,0.932,2.701,0.000,0.010,0.000,0.000,0.218,0.055,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.493,0.000,0.000,0.000,0.000,0.000,0.000,0.000
36.000,0.000,0.436,2.268,0.000,12.024,0.000,0.000,3.680,0.214,0.000,0.333,5.459,0.000,15.285,0.017,55.480,0.000,7.840,11.193,0.000,5.810,0.310,0.000,1.642,2.701,0.000,0.010,0.000,0.000,0.218,0.055,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.493,0.000,0.000,0.000,0.000,0.000,0.000,0.000
