"GRUPO :","RSF","RSF"
"ETAPA","Hacia Abajo","Hacia Arriba"
1.00000,1.00905,0.00000
2.00000,1.11614,0.00000
3.00000,1.00905,0.00000
4.00000,1.00904,0.00000
5.00000,1.00904,1.00904
6.00000,1.00904,1.00904
7.00000,1.00904,0.00000
8.00000,1.00904,0.00000
9.00000,1.00904,0.00000
10.00000,1.00904,0.00000
11.00000,1.00905,0.20822
12.00000,1.00904,0.19822
13.00000,1.00904,0.00000
14.00000,1.00905,0.00000
15.00000,1.00905,0.48215
16.00000,1.00905,0.52465
17.00000,1.00905,0.54924
18.00000,1.00905,0.63076
19.00000,1.00905,0.63428
20.00000,1.00905,0.61927
21.00000,1.00905,0.65508
22.00000,1.00905,0.65950
23.00000,1.00905,0.65277
24.00000,1.00905,0.64399
25.00000,1.00905,0.63079
26.00000,1.00905,0.62918
27.00000,0.44562,0.00000
28.00000,0.26478,0.00000
29.00000,0.44200,0.00000
30.00000,0.41797,0.00000
31.00000,0.31339,0.00000
32.00000,0.30209,0.00000
33.00000,0.28319,0.00000
34.00000,0.37321,0.00000
35.00000,0.43920,0.00000
36.00000,0.43470,0.00000
37.00000,0.29059,0.00000
38.00000,0.31215,0.00000
39.00000,0.23826,0.00000
40.00000,0.25078,0.00000
41.00000,0.25405,0.00000
42.00000,0.26760,0.00000
43.00000,0.25025,0.00000
44.00000,0.28901,0.00000
45.00000,0.28715,0.00000
46.00000,0.39971,0.00000
47.00000,0.51582,0.00000
48.00000,0.51262,0.00000
