"ETAPA \ GENERADOR","MAJES","CARPAPATA","REPARTICION","PARAMONGA","HUAYCOLORO","LA JOYA","STACRUZ12","HUASAHUASI","RONCADOR","PURMACANA","NIMPERIAL","MAPLE","TACNASOLAR","PANAMERICANASOLAR","PIZARRAS","POECHOS2","PE TALARA","PE CUPISNIQUE","ELOR","CURUMUY","POECHOS1","CANCHAYLLO","CHANCAY","RUCUY","RUNATULLOII","RUNATULLOIII","LAGRINGAV","MOQUEGUASOLAR","PQEEOLICOMARCONA","PQEEOLICO3HERMANAS","YANAPAMPA","TABLAZO","POTRERO","CH MARANON","CS RUBI","YARUCAYA","INTIPAMPA","CHHER1","CHANGELI","CHANGELII","CHANGELIII","CTB DONA CATALINA","WAYRAI","CHZANA","8AGOSTO","EL CARMEN","CT CANA BRAVA","CT SAN JACINTO","CH MANTA","CTB CALLAO","HUAMBOS","DUNA","CT TALLANCA","CSF YARUCAYA","TUPURI","CE PUNTA LOMITASBL1","CE PUNTA LOMITASBL2","PTALOMITASEXPBL1","PTALOMITASEXPBL2","CSCLEMESI","PE SAN JUAN","WAYRAEXP","CS CARHUAQUERO","CH HUALLIN","CS MATARANI","CS SAN MARTIN","CTAGROOLMOS","CSSUNNY","CASAGRANDE","CSCOENERGY","CSEXPANSIONINTIPAMPA","CSSUNNYEXPANSION"
27.00,0.00,0.00,0.00,14.00,4.50,7.30,4.50,10.05,2.60,0.40,3.50,0.00,0.00,0.00,4.00,9.80,21.59,51.47,0.00,11.11,15.46,3.50,17.97,16.04,7.00,10.63,1.40,0.00,24.96,70.60,2.58,28.12,0.00,18.16,0.00,14.49,0.00,0.60,7.00,7.50,7.50,2.20,101.55,9.00,9.00,3.00,10.70,0.00,8.00,0.00,2.93,4.14,18.96,0.00,1.10,78.61,81.75,5.99,6.56,0.00,94.84,65.94,0.00,1.72,0.00,0.00,12.00,0.00,13.50,0.00,0.00,0.00
28.00,0.00,0.00,0.00,14.00,4.50,7.30,4.50,10.05,2.70,0.40,3.50,0.00,0.00,0.00,4.00,9.80,20.77,46.43,0.00,11.11,15.46,3.50,17.97,16.04,7.00,10.63,1.40,0.00,24.79,70.21,2.58,28.12,0.00,18.16,0.00,14.49,0.00,0.60,7.00,7.50,7.50,2.20,93.78,9.00,9.00,3.00,10.70,0.00,8.00,0.00,2.55,4.41,18.96,0.00,1.10,73.37,81.61,5.28,6.42,0.00,94.65,63.42,0.00,1.72,0.00,0.00,12.00,0.00,13.50,0.00,0.00,0.00
29.00,0.00,0.00,0.00,14.00,4.50,7.30,4.50,10.05,2.70,0.40,3.50,0.00,0.00,0.00,4.00,9.80,20.01,42.47,0.00,11.11,15.46,3.50,17.97,16.04,7.00,10.63,1.40,0.00,24.60,68.66,2.58,28.12,0.00,18.16,0.00,14.49,0.00,0.60,7.00,7.50,7.50,2.20,81.50,9.00,9.00,3.00,10.70,0.00,8.00,0.00,2.82,4.67,18.96,0.00,1.10,73.39,81.20,5.08,6.54,0.00,94.27,59.26,0.00,1.76,0.00,0.00,12.00,0.00,13.50,0.00,0.00,0.00
30.00,0.00,0.00,0.00,14.00,4.50,7.30,4.50,10.05,2.70,0.40,3.50,0.00,0.00,0.00,4.00,9.80,19.25,38.51,0.00,11.11,15.46,3.50,17.97,16.04,7.00,10.63,1.40,0.00,24.42,67.10,2.58,28.12,0.00,18.16,0.00,14.49,0.00,0.60,7.00,7.50,7.50,2.20,69.23,9.00,9.00,3.00,10.70,0.00,8.00,0.00,3.25,5.26,18.96,0.00,1.09,73.41,80.80,5.08,6.44,0.00,93.89,55.10,0.00,1.72,0.00,0.00,12.00,0.00,13.50,0.00,0.00,0.00
31.00,0.00,0.00,0.00,14.00,4.50,7.30,4.50,10.05,2.70,0.40,3.50,0.00,0.00,0.00,4.00,9.80,18.56,35.16,0.00,11.11,15.46,3.50,17.97,16.04,7.00,10.63,1.40,0.00,24.63,69.02,2.58,28.12,0.00,18.16,0.00,14.49,0.00,0.60,7.00,7.50,7.50,2.20,63.24,9.00,9.00,3.00,10.70,0.00,8.00,0.00,3.98,5.74,18.96,0.00,1.09,69.61,81.01,4.65,5.86,0.00,94.36,54.60,0.00,1.72,0.00,0.00,12.00,0.00,13.50,0.00,0.00,0.00
32.00,0.00,0.00,0.00,14.00,4.50,7.30,4.50,10.05,2.70,0.40,3.50,0.00,0.00,0.00,4.00,9.80,17.86,31.81,0.00,11.11,15.46,3.50,17.97,16.04,7.00,10.63,1.40,0.00,24.85,70.94,2.58,28.12,0.00,18.16,0.00,14.49,0.00,0.60,7.00,7.50,7.50,2.20,57.25,9.00,9.00,3.00,10.70,0.00,8.00,0.00,4.38,6.06,18.96,0.00,1.09,65.81,81.22,4.52,5.88,0.00,94.83,54.09,0.00,1.68,0.00,0.00,12.00,0.00,13.50,0.00,0.00,0.00
33.00,0.00,0.00,0.00,14.00,4.50,7.30,4.50,10.05,2.70,0.40,3.50,0.00,0.00,0.00,4.00,9.80,17.64,31.14,0.00,11.11,15.46,3.50,17.97,16.04,7.00,10.63,1.40,0.00,24.42,70.52,2.58,28.12,0.00,18.16,0.00,14.49,0.00,0.60,7.00,7.50,7.50,2.20,58.65,9.00,9.00,3.00,10.70,0.00,8.00,0.00,4.44,6.61,18.96,0.00,1.09,70.84,81.00,2.02,4.24,0.00,93.97,53.51,0.00,1.68,0.00,0.00,12.00,0.00,13.50,0.00,0.00,0.00
34.00,0.00,0.00,0.00,14.00,4.50,7.30,4.50,10.05,2.70,0.40,3.50,0.00,0.00,0.00,4.00,9.80,17.42,30.47,0.00,11.11,15.46,3.50,17.97,16.04,7.00,10.63,1.40,0.00,24.00,70.11,2.58,28.12,0.00,18.16,0.00,14.49,0.00,0.60,7.00,7.50,7.50,2.20,60.05,9.00,9.00,3.00,10.70,0.00,8.00,0.00,4.29,6.72,18.95,0.00,1.09,75.86,80.78,2.02,4.18,0.00,93.11,52.92,0.00,1.68,0.00,0.00,12.00,0.00,13.50,0.00,0.00,0.00
35.00,0.00,0.00,0.00,14.00,4.50,7.30,4.50,10.05,2.70,0.40,3.50,0.00,0.00,0.00,4.00,9.80,16.99,29.06,0.00,11.11,15.46,3.50,17.97,16.04,7.00,10.63,1.40,0.00,23.91,69.90,2.58,28.12,0.00,18.16,0.00,14.49,0.00,0.60,7.00,7.50,7.50,2.20,55.42,9.00,9.00,3.00,10.70,0.00,8.00,0.00,4.70,6.55,18.95,0.00,1.09,73.07,80.49,2.35,4.48,0.00,92.61,50.99,0.00,1.72,0.00,0.00,12.00,0.00,13.50,0.00,0.00,0.00
36.00,0.00,0.00,0.00,14.00,4.50,7.30,4.50,10.05,2.70,0.40,3.50,0.00,0.00,0.00,4.00,9.80,16.56,27.64,0.00,11.11,15.46,3.50,17.97,16.04,7.00,10.63,1.40,0.00,23.82,69.69,2.58,28.12,0.00,18.16,0.00,14.49,0.00,0.60,7.00,7.50,7.50,2.20,50.79,9.00,9.00,3.00,10.70,0.00,8.00,0.00,4.96,6.67,18.95,0.00,1.09,70.27,80.20,2.35,4.49,0.00,92.12,49.06,0.00,1.68,0.00,0.00,12.00,0.00,13.50,0.00,0.00,0.00
